feature,correlation,correlation_raw,p_value,direction,p_adj
o__OFGB9583,0.23657764041648993,-0.23657764041648993,0.0011863430992961079,negative,0.25699491150278064
o__OFGB58251,0.22690640724073322,-0.22690640724073322,0.001896641413304654,negative,0.25699491150278064
o__Candidatus_Saccharibacteria_unclassified,0.21546121961456577,-0.21546121961456577,0.003225365963994898,negative,0.2913580587475391
o__Selenomonadales,0.19650668427465307,0.19650668427465307,0.007343456628281363,positive,0.45798764002823233
o__OFGB2837,0.19198535787823653,-0.19198535787823653,0.008845105796279817,negative,0.45798764002823233
o__OFGB1226,0.1800437027902509,0.1800437027902509,0.014193245925387154,positive,0.45798764002823233
o__OFGB38642,0.1731583866061875,0.1731583866061875,0.018419321988805772,positive,0.45798764002823233
o__OFGB7869,0.17109100072924074,-0.17109100072924074,0.01988491917600503,negative,0.45798764002823233
o__Pasteurellales,0.16695785318088308,-0.16695785318088308,0.023119891744021293,negative,0.45798764002823233
o__OFGB1217,0.16516284936297865,0.16516284936297865,0.02466023791349199,positive,0.45798764002823233
o__OFGB3071,0.164647308104254,-0.164647308104254,0.025118619135006577,negative,0.45798764002823233
o__OFGB1473,0.16169737431064957,-0.16169737431064957,0.027884586438365343,negative,0.45798764002823233
o__OFGB72899,0.16052593433339563,-0.16052593433339563,0.029053094961946045,negative,0.45798764002823233
o__OFGB2801,0.15930156048128458,-0.15930156048128458,0.03031882591303294,negative,0.45798764002823233
o__Caulobacterales,0.15904248553224504,-0.15904248553224504,0.030592592265959843,negative,0.45798764002823233
o__OFGB82363,0.1565741015022112,0.1565741015022112,0.03330820240445588,positive,0.45798764002823233
o__OFGB75721,0.1507646895057667,0.1507646895057667,0.0405162806329892,positive,0.45798764002823233
o__OFGB2942,0.1474368264495281,-0.1474368264495281,0.04520692013847487,negative,0.45798764002823233
o__OFGB1425,0.14568159925353616,-0.14568159925353616,0.04785853386127645,negative,0.45798764002823233
o__OFGB1872,0.14208984633499996,-0.14208984633499996,0.05368962979992598,negative,0.45798764002823233
o__OFGB618,0.14122014698173652,0.14122014698173652,0.055186745754471384,positive,0.45798764002823233
o__OFGB77202,0.1386347209631047,-0.1386347209631047,0.0598423401462155,negative,0.45798764002823233
o__Verrucomicrobiales,0.1382988058917275,0.1382988058917275,0.06047027456382383,positive,0.45798764002823233
o__OFGB3038,0.1381182566340966,0.1381182566340966,0.060810011471108115,positive,0.45798764002823233
o__OFGB2937,0.13764062180524103,-0.13764062180524103,0.06171633876195672,negative,0.45798764002823233
o__OFGB3054,0.13730546294707505,0.13730546294707505,0.06235891100051701,positive,0.45798764002823233
o__OFGB1362,0.13649869860621278,-0.13649869860621278,0.06392818077581643,negative,0.45798764002823233
o__OFGB10312,0.13414336636538945,0.13414336636538945,0.06869552659902321,positive,0.45798764002823233
o__OFGB11739,0.13244201913367631,-0.13244201913367631,0.07231631663661368,negative,0.45798764002823233
o__OFGB79015,0.13026883270118794,-0.13026883270118794,0.07716506204154443,negative,0.45798764002823233
o__OFGB8294,0.13026883247959326,-0.13026883247959326,0.07716506254903209,negative,0.45798764002823233
o__Marinilabiliales,0.13026883153076882,-0.13026883153076882,0.0771650647219953,negative,0.45798764002823233
o__OFGB2941,0.12936775063553613,-0.12936775063553613,0.07925109503055534,negative,0.45798764002823233
o__OFGB2889,0.12936775061543032,-0.12936775061543032,0.07925109507760388,negative,0.45798764002823233
o__OFGB2950,0.12936775042751927,-0.12936775042751927,0.07925109551731864,negative,0.45798764002823233
o__OFGB2921,0.129367742945924,-0.129367742945924,0.07925111302439107,negative,0.45798764002823233
o__OFGB1258,0.1289322447442257,-0.1289322447442257,0.08027548355951902,negative,0.45798764002823233
o__OFGB544,0.1284439897723267,-0.1284439897723267,0.0814366044928869,negative,0.45798764002823233
o__OFGB28369,0.12844398976978583,-0.12844398976978583,0.08143660449896409,negative,0.45798764002823233
o__OFGB2846,0.12839854655335803,-0.12839854655335803,0.08154535722993347,negative,0.45798764002823233
o__Bacteroidales,0.12827558228646374,0.12827558228646374,0.08184021603795125,positive,0.45798764002823233
o__OFGB1402,0.12788151574833984,-0.12788151574833984,0.08279094022285238,negative,0.45798764002823233
o__OFGB2165,0.12782594241322365,-0.12782594241322365,0.08292572770691663,negative,0.45798764002823233
o__Actinomycetales,0.12735337230208366,-0.12735337230208366,0.08407903756408522,negative,0.45798764002823233
o__OFGB1207,0.12659976364955045,-0.12659976364955045,0.08594482874816516,negative,0.45798764002823233
o__OFGB67123,0.12647069353667134,-0.12647069353667134,0.08626768454504778,negative,0.45798764002823233
o__OFGB9714,0.12602001688463213,-0.12602001688463213,0.08740263221741325,negative,0.45798764002823233
o__Candidatus_Nanogingivales,0.12582471876870863,-0.12582471876870863,0.08789815161919934,negative,0.45798764002823233
o__Methanomicrobiales,0.12535271196352377,-0.12535271196352377,0.08910502934140578,negative,0.45798764002823233
o__OFGB1249,0.12373845052826028,-0.12373845052826028,0.09333289803232543,negative,0.45798764002823233
o__OFGB3040,0.12300998034503556,-0.12300998034503556,0.09529236900238484,negative,0.45798764002823233
o__Firmicutes_unclassified,0.12186098073922146,-0.12186098073922146,0.09844926160141891,negative,0.45798764002823233
o__OFGB2947,0.12079056543124236,-0.12079056543124236,0.10146423266191185,negative,0.45798764002823233
o__OFGB77241,0.11709547044578217,-0.11709547044578217,0.1124353827220564,negative,0.45798764002823233
o__OFGB3047,0.11541912927175263,0.11541912927175263,0.11770898027083604,positive,0.45798764002823233
o__OFGB1705,0.1129591862251718,-0.1129591862251718,0.12579374716359687,negative,0.45798764002823233
o__OFGB78857,0.11283990449355395,-0.11283990449355395,0.1261964175624425,negative,0.45798764002823233
o__OFGB73223,0.11216487815301496,0.11216487815301496,0.1284939522873301,positive,0.45798764002823233
o__OFGB2959,0.10987701811304883,0.10987701811304883,0.13652125797334302,positive,0.45798764002823233
o__OFGB3072,0.10943354644798295,0.10943354644798295,0.13812072948305296,positive,0.45798764002823233
o__OFGB1359,0.10623335527190873,0.10623335527190873,0.15009041908602774,positive,0.45798764002823233
o__OFGB51922,0.10430946894349553,-0.10430946894349553,0.1576546846688193,negative,0.45798764002823233
o__OFGB1337,0.10430946881724237,-0.10430946881724237,0.15765468517444514,negative,0.45798764002823233
o__OFGB536,0.1043094687999915,-0.1043094687999915,0.15765468524353146,negative,0.45798764002823233
o__Methanomassiliicoccales,0.10417398267709725,-0.10417398267709725,0.15819798945866478,negative,0.45798764002823233
o__OFGB78183,0.10417398214126783,-0.10417398214126783,0.15819799161013726,negative,0.45798764002823233
o__OFGB79244,0.10417398213550277,-0.10417398213550277,0.1581979916332851,negative,0.45798764002823233
o__OFGB4623,0.1039377765506362,-0.1039377765506362,0.15914854547658003,negative,0.45798764002823233
o__OFGB2905,0.1039377733359718,-0.1039377733359718,0.1591485584423425,negative,0.45798764002823233
o__OFGB2117,0.10393777309079494,-0.10393777309079494,0.1591485594312196,negative,0.45798764002823233
o__OFGB2164,0.10393777304911161,-0.10393777304911161,0.1591485595993414,negative,0.45798764002823233
o__OFGB2874,0.10393777296604674,-0.10393777296604674,0.15914855993436844,negative,0.45798764002823233
o__OFGB78461,0.10349315294891606,-0.10349315294891606,0.1609494460138816,negative,0.45798764002823233
o__OFGB10290,0.10349315283515215,-0.10349315283515215,0.16094944647661596,negative,0.45798764002823233
o__OFGB1789,0.103493152828677,-0.103493152828677,0.16094944650295256,negative,0.45798764002823233
o__OFGB8140,0.10343282149073263,-0.10343282149073263,0.16119498396147638,negative,0.45798764002823233
o__OFGB9512,0.10343282143199532,-0.10343282143199532,0.16119498420066292,negative,0.45798764002823233
o__OFGB79211,0.10343282134724306,-0.10343282134724306,0.1611949845457843,negative,0.45798764002823233
o__OFGB1777,0.10343282130292399,-0.10343282130292399,0.16119498472625823,negative,0.45798764002823233
o__OFGB540,0.10343282128140265,-0.10343282128140265,0.16119498481389638,negative,0.45798764002823233
o__OFGB74971,0.1030627189148785,-0.1030627189148785,0.1627073771919664,negative,0.45798764002823233
o__OFGB4616,0.10266241455657037,-0.10266241455657037,0.1643551107487565,negative,0.45798764002823233
o__OFGB2954,0.10262523162042383,-0.10262523162042383,0.1645087936487431,negative,0.45798764002823233
o__OFGB9828,0.102625230730912,-0.102625230730912,0.16450879732652024,negative,0.45798764002823233
o__OFGB9977,0.10262523010015963,-0.10262523010015963,0.16450879993442774,negative,0.45798764002823233
o__OFGB2873,0.10262523008941575,-0.10262523008941575,0.1645087999788497,negative,0.45798764002823233
o__OFGB1778,0.10262523004661285,-0.10262523004661285,0.1645088001558225,negative,0.45798764002823233
o__Fusobacteriales,0.10183602776032248,-0.10183602776032248,0.16779606341313744,negative,0.45798764002823233
o__OFGB1262,0.10154740169450867,0.10154740169450867,0.16901041604980765,positive,0.45798764002823233
o__Elusimicrobiales,0.10148595207319171,-0.10148595207319171,0.16926979864586778,negative,0.45798764002823233
o__OFGB72924,0.10127575607309706,0.10127575607309706,0.17015928764599733,positive,0.45798764002823233
o__Tissierellales,0.10105782835382668,-0.10105782835382668,0.17108515845622996,negative,0.45798764002823233
o__OFGB77153,0.10056159157035979,-0.10056159157035979,0.17320738281507472,negative,0.45798764002823233
o__OFGB1814,0.10030936787711911,-0.10030936787711911,0.17429350335804997,negative,0.45798764002823233
o__OFGB2403,0.10030936741788686,-0.10030936741788686,0.1742935053401686,negative,0.45798764002823233
o__OFGB2880,0.09970085016721064,-0.09970085016721064,0.17693464119464175,negative,0.45798764002823233
o__Planctomycetales,0.09969717530343752,-0.09969717530343752,0.17695068047489396,negative,0.45798764002823233
o__Sphingobacteriales,0.09969717106822872,-0.09969717106822872,0.17695069896047105,negative,0.45798764002823233
o__Deinococcales,0.09969717021608258,-0.09969717021608258,0.17695070267986612,negative,0.45798764002823233
