feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
o__Candidatus_Saccharibacteria_unclassified,4,1.6781318006024077,1,1,1,1
o__OFGB38642,4,1.5753300315941288,1,1,1,1
o__Pasteurellales,4,1.2123938517823851,1,1,1,1
o__OFGB9583,3,1.5244216215449597,1,1,0,1
o__OFGB1226,3,1.1660106830496102,1,1,0,1
o__Selenomonadales,3,0.7535935801148698,0,1,1,1
o__OFGB1217,3,0.6811519545178286,0,1,1,1
o__Verrucomicrobiales,3,0.4113145583944696,0,1,1,1
o__OFGB58251,2,1.4317618435611281,1,0,0,1
o__OFGB2837,2,1.2051051160108035,1,0,0,1
o__OFGB7869,2,1.0710848241435298,1,0,0,1
o__OFGB1473,2,1.0111711418816438,1,0,0,1
o__OFGB2801,2,0.9959215834648593,1,0,0,1
o__OFGB618,2,0.5796086811904357,0,0,1,1
o__OFGB3054,2,0.46694386313474917,0,0,1,1
o__Firmicutes_unclassified,2,0.4387920695525102,0,1,1,0
o__OFGB75721,2,0.41723839579480065,0,0,1,1
o__OFGB3038,2,0.41677787394709886,0,0,1,1
o__Bacteroidales,2,0.3521300283846752,0,1,1,0
o__OFGB1380,2,0.2830285623072405,0,1,1,0
