feature,coefficient,abs_coefficient
o__OFGB38642,0.17965613726158922,0.17965613726158922
o__Firmicutes_unclassified,-0.15619193824107072,0.15619193824107072
o__Bacteroidales,0.12655146285416818,0.12655146285416818
o__OFGB1217,0.12464645003465086,0.12464645003465086
o__Selenomonadales,0.12099632458834512,0.12099632458834512
o__OFGB618,0.11886735489078509,0.11886735489078509
o__Candidatus_Saccharibacteria_unclassified,-0.10486497954025797,0.10486497954025797
o__OFGB3048,-0.09703639158045022,0.09703639158045022
o__OFGB1380,0.08992788309041029,0.08992788309041029
o__OFGB1765,-0.08542872208300098,0.08542872208300098
o__OFGB3054,0.07693317489623963,0.07693317489623963
o__Corynebacteriales,0.06829061536083017,0.06829061536083017
o__OFGB3038,0.05621654427156225,0.05621654427156225
o__OFGB3072,0.052175470004263175,0.052175470004263175
o__Pasteurellales,-0.05138207109916403,0.05138207109916403
o__OFGB75721,0.0462836067133069,0.0462836067133069
o__OFGB3047,0.04438051452574412,0.04438051452574412
o__Clostridia_unclassified,-0.0429926280119503,0.0429926280119503
o__Acidaminococcales,-0.04068682753420761,0.04068682753420761
o__Verrucomicrobiales,0.03875783886421304,0.03875783886421304
o__Candidatus_Nanogingivales,-0.035076269333447645,0.035076269333447645
o__OFGB2960,-0.029820289076758683,0.029820289076758683
o__Veillonellales,-0.029253614078634173,0.029253614078634173
o__OFGB45628,-0.026942028152311427,0.026942028152311427
o__Synergistales,-0.018281305171793105,0.018281305171793105
o__Tissierellales,-0.018041804258790328,0.018041804258790328
o__Lactobacillales,0.011042548164925493,0.011042548164925493
o__OFGB4806,-0.008099197892362188,0.008099197892362188
o__Burkholderiales,-0.005044773680904533,0.005044773680904533
o__OFGB9491,-0.004732558674852392,0.004732558674852392
o__OFGB14936,-0.003135803110071604,0.003135803110071604
