feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
o__Synergistales,0.2922743125583731,3479.0,0.027913256766413166,-0.027913256766413166,0.0,-2.0012794104746905,-1.9214544506361402,down,0.4686765603746693
o__Bacteroidales,0.1755902710348991,4311.0,0.27146135559210033,0.27146135559210033,0.06924428533976879,8.819747855195855,8.406429255176592,up,0.43075626058190347
o__Coriobacteriales,0.4434864698541091,4108.0,0.1812529412543444,0.1812529412543444,0.1450250595952023,4.6845619297836185,4.2365476127847765,up,0.5834215210216678
o__Methanobacteriales,0.4932199620204014,3606.0,0.07939579639557101,0.07939579639557101,0.0,-0.7424288396692741,-0.885805611009686,up,0.6216865567792036
o__Eubacteriales,0.2530552682899847,3448.0,0.006308866719204822,0.006308866719204822,0.0007535394171190698,9.815149695363159,9.810024446600094,up,0.45718651804390564
o__Acidaminococcales,0.36067578647309806,3527.0,0.11580180085416775,-0.11580180085416775,-0.1349631477093581,3.5703417319550277,3.920466452709153,down,0.524899556002812
o__OFGB3012,0.09203815196156913,3261.0,0.1293314796122936,-0.1293314796122936,0.0,-0.0036846812259944436,0.23043909763552403,down,0.43075626058190347
o__Desulfovibrionales,0.4180679940513017,4123.0,0.13843389662912042,0.13843389662912042,0.2184040207068646,2.849729140670058,2.449387076073273,up,0.5636638128751381
o__Lactobacillales,0.3839618941349211,3542.0,0.14527946670358152,-0.14527946670358152,-0.07286117850461556,5.6920443736943485,5.9868954948748145,down,0.5391382036816768
o__Eggerthellales,0.5061043515437766,3613.0,0.06272949747413857,-0.06272949747413857,-0.027088208290712838,5.10161746987232,5.1983109504777785,down,0.6337644087059698
o__Erysipelotrichales,0.26903145554701025,3461.0,0.17424430782222455,-0.17424430782222455,-0.06894483940684014,5.550013035156431,5.821681848957074,down,0.4614400281850619
o__Enterobacterales,0.8859638499333452,3893.0,0.06753036144351449,0.06753036144351449,0.04775136719188404,5.41035800834691,5.234213218237464,up,0.9163977226409792
o__OFGB2875,0.5098178638298946,3615.0,0.11550532840482867,0.11550532840482867,0.0,-1.7746688261204546,-1.88108149747331,up,0.6337644087059698
o__Corynebacteriales,0.9757313096618778,3854.0,0.10007940877316202,0.10007940877316202,0.0,-1.2805977498483245,-1.4415138746013416,up,0.9866536750685406
o__Bifidobacteriales,0.28699611780492806,3475.0,0.1588990912588479,-0.1588990912588479,-0.11248989464724254,5.73998499840723,6.2054544179087925,down,0.4686765603746693
o__OFGB9120,0.319638628626962,3499.0,0.08640097479064499,-0.08640097479064499,-0.152180984326595,0.7066089493977052,0.7852178698636479,down,0.48878881725713225
o__Candidatus_Saccharimonadales,0.4048698163833925,3555.0,0.16303675168436282,-0.16303675168436282,0.0,-0.4191937280521631,0.014434161250250177,down,0.5592034547904087
o__OFGB15212,0.6775904247774084,3987.0,0.12799125215982118,0.12799125215982118,0.26980200328931236,0.8592251479396432,0.7126700101767259,up,0.7494979800599089
o__OFGB618,0.833628920255754,3916.0,0.29938651815679473,0.29938651815679473,0.0,-3.4631822413884326,-3.8904756590226097,up,0.8769874875389749
o__OFGB82363,0.6151959200329282,4017.0,0.33271390331699585,0.33271390331699585,0.0,-1.022590457705914,-1.3142574780296414,up,0.7141443251361996
o__Candidatus_Saccharibacteria_unclassified,0.010830533992028957,2963.0,0.4630763179377125,-0.4630763179377125,-1.2443954897017595,0.926051957122366,2.1939954510279684,down,0.43075626058190347
o__Candidatus_Nanoperiomorbales,0.7620718365769341,3948.0,0.05002024529873362,0.05002024529873362,0.0,-2.1136574269523076,-2.194519085624774,up,0.8260858708493966
o__OFGB1226,0.026369129300410077,4610.0,0.3841446211199031,0.3841446211199031,0.0,-1.6565282190217845,-2.574405939572535,up,0.43075626058190347
o__OFGB1262,0.9965325204027958,3841.0,0.2142302797129051,0.2142302797129051,0.0,-1.0131529451090326,-1.2963866771199701,up,0.9965325204027958
o__Selenomonadales,0.16742252448523254,4320.0,0.42061993122626407,0.42061993122626407,0.0,-0.7628641630238147,-2.0717739625800053,up,0.43075626058190347
o__Actinomycetales,0.06267719746833793,3200.0,0.26947744872110874,-0.26947744872110874,-0.6142281816753021,1.4405938075449216,2.205172919327244,down,0.43075626058190347
o__OFGB1126,0.36220006262924664,3528.0,0.009757210581322806,0.009757210581322806,0.0,-3.144681978638437,-3.1581291856760134,up,0.524899556002812
o__Candidatus_Nanosynbacterales,0.28048938585664285,3470.0,0.0862531585939997,-0.0862531585939997,0.0,-1.8225890049259095,-1.7269102585930447,down,0.46777236385602894
o__Burkholderiales,0.40978967770556185,3558.0,0.09841169091401082,-0.09841169091401082,-0.08280396543767873,3.728322097935253,3.948570552344069,down,0.5608737507990266
o__Firmicutes_unclassified,0.058312122862757304,3189.0,0.25767645019149654,-0.25767645019149654,0.0,-0.11845128547617258,0.47643662208893367,down,0.43075626058190347
o__OFGB1776,0.646081934820836,3684.0,0.08962590246657894,0.08962590246657894,3.0961008613722325,0.3116773672573318,0.03644903526266502,up,0.7356647241027167
o__OFGB14936,0.4573962075932687,3586.0,0.01665167747312998,-0.01665167747312998,0.0,-0.44953854725744685,-0.3947774885791398,down,0.5953597513735209
o__OFGB31455,0.47154759723520256,3594.0,0.1394690398634328,0.1394690398634328,0.0,-1.0375813473274555,-1.3202545754557335,up,0.60506290102909
o__OFGB2982,0.8951232935970244,3889.0,0.1771779162165114,0.1771779162165114,0.9040847783682038,0.6362328154370015,0.33998474306004267,up,0.9223513785733597
o__OFGB1765,0.4315162155038318,3571.0,0.0512322128131019,-0.0512322128131019,-0.1416672079269562,1.5678308551953013,1.7295984450849229,down,0.5732396784389138
o__OFGB1779,0.5652226789666978,3644.0,0.07519303764274328,0.07519303764274328,0.0,-1.3331969243961628,-1.4062968779657352,up,0.6747812599117846
o__OFGB3069,0.6440029875388902,3683.0,0.10268222304557718,0.10268222304557718,0.0,-0.8079373062040511,-1.037172810262285,up,0.7356647241027167
