feature,importance
o__Candidatus_Saccharibacteria_unclassified,0.01963142554906878
o__OFGB1380,0.0194029515270716
o__Selenomonadales,0.01936313336490027
o__Bacteria_unclassified,0.019123217745028932
o__Firmicutes_unclassified,0.016104074649944476
o__Micrococcales,0.015509967706206329
o__Acidaminococcales,0.014035442517499433
o__OFGB38642,0.013963928138917356
o__Actinomycetales,0.01372828746437957
o__Pasteurellales,0.013080010227274484
o__OFGB1217,0.013070043568414706
o__Erysipelotrichales,0.012654225899100984
o__Verrucomicrobiales,0.012607449816827352
o__OFGB1226,0.012544678409767394
o__Corynebacteriales,0.012261754129152935
o__Bacteroidales,0.011917123749751582
o__Enterobacterales,0.011703920955772348
o__Candidatus_Nanogingivales,0.011430636063805654
o__Eggerthellales,0.011415607430493541
o__OFGB1765,0.011297748339353916
o__Lactobacillales,0.011280368018114082
o__Clostridia_unclassified,0.011064326932167311
o__Tissierellales,0.010918315605749847
o__Coriobacteriales,0.010892127928306895
o__Bifidobacteriales,0.010402537255131886
o__Desulfovibrionales,0.010079852918357545
o__Bacillales,0.009817964024696795
o__Candidatus_Saccharimonadales,0.009809192782283468
o__Eubacteriales,0.00980660101022473
o__OFGB9583,0.009739066196516473
o__Burkholderiales,0.009632963550500768
o__Veillonellales,0.009466175885782526
o__OFGB3047,0.00946456748233374
o__OFGB3038,0.009393741277588477
o__OFGB1292,0.009048283686489243
o__OFGB3048,0.008459913113150731
o__OFGB618,0.008317189453547414
o__Candidatus_Nanoperiomorbales,0.008227445284696613
o__Synergistales,0.008098830602518769
o__Propionibacteriales,0.007745969796251873
o__OFGB4806,0.007624313587217781
o__OFGB3057,0.007300240259150794
o__OFGB79291,0.007278806756118141
o__OFGB1473,0.0071036379449772565
o__OFGB58251,0.007091927929327049
o__OFGB77988,0.0068871273358038125
o__OFGB75721,0.006743090395016744
o__OFGB14936,0.006710307547712422
o__OFGB45628,0.006664584051955198
o__OFGB1011,0.006600671675211713
o__Fusobacteriales,0.006572402985946793
o__OFGB82363,0.0062066836463704955
o__OFGB9491,0.006199170023705472
o__OFGB1359,0.006160596383825905
o__OFGB3072,0.005839723109493182
o__OFGB3023,0.005836385814167168
o__OFGB1354,0.005798147405276987
o__Candidatus_Nanosynbacterales,0.00578588234226733
o__OFGB72924,0.005507602164150686
o__OFGB4559,0.00547181773208431
o__OFGB4605,0.005328203896599378
o__OFGB28775,0.005253912673970983
o__OFGB3069,0.00519612667958556
o__OFGB1776,0.005076729772951983
o__OFGB1474,0.00504137840960565
o__OFGB667,0.00501981099807651
o__OFGB2837,0.0049696246252708305
o__OFGB79245,0.004896584470162822
o__OFGB2960,0.0045382067214793775
o__OFGB1227,0.004512426118559845
o__Saccharomycetales,0.004460176213195092
o__OFGB1126,0.004138010567222267
o__OFGB1249,0.004109808593845879
o__OFGB2915,0.00405802146203882
o__OFGB1872,0.004046056761131626
o__OFGB1425,0.004018938045469583
o__OFGB9120,0.004018172867767224
o__OFGB15212,0.0039947402298111225
o__OFGB10477,0.003888764180912546
o__OFGB3054,0.0038264702694910785
o__OFGB1262,0.0038077628539841513
o__Hyphomicrobiales,0.0037150632603294093
o__Tissierellia_unclassified,0.003618658455413604
o__OFGB3004,0.0036103983241978902
o__OFGB529,0.003553493040666185
o__OFGB2997,0.0035322195002761244
o__OFGB668,0.0034442863967485
o__OFGB2941,0.0034292944546859103
o__OFGB2404,0.00330763936753928
o__OFGB3012,0.0032986091920884507
o__OFGB32970,0.0032792017892607416
o__OFGB79237,0.0032044429264982957
o__OFGB3062,0.003201354586328032
o__OFGB11257,0.003200984200896351
o__OFGB7869,0.0031986474079538025
o__OFGB1325,0.0031052680869138806
o__OFGB1779,0.0030522842555701815
o__OFGB2834,0.002992380729819618
o__OFGB3625,0.002987363615176256
o__OFGB4355,0.0029426242254112366
o__OFGB2959,0.0028909930374161528
o__OFGB1211,0.0028820212943865054
o__OFGB10312,0.0028783832986606253
o__OFGB2982,0.002841882862591745
o__OFGB9989,0.002785793779161413
o__Candidatus_Brocadiales,0.002772288534721301
o__OFGB3040,0.002710062391568039
o__OFGB2898,0.002641795073535172
o__OFGB9238,0.0026272249669078763
o__OFGB9272,0.002614832771070062
o__OFGB2952,0.002550678642451508
o__OFGB1374,0.0025230305929830766
o__OFGB1347,0.0024702899705908487
o__OFGB1705,0.002432209751914681
o__OFGB3070,0.0024252036456690346
o__OFGB2881,0.0024085942810438154
o__OFGB2984,0.0024085710361371063
o__Moraxellales,0.0023424990570881194
o__OFGB45555,0.0023239282116369366
o__OFGB30287,0.002311122590774938
o__OFGB40183,0.0022266648701142052
o__OFGB4405,0.002208443473212103
o__OFGB45503,0.002193537585786315
o__OFGB10055,0.0021876262246717276
o__OFGB16911,0.0021771065260031705
o__Candidatus_Borkfalkiales,0.002151168988531201
o__Neisseriales,0.002132181249771364
o__OFGB2918,0.002128958298578239
o__OFGB77241,0.002123628052520765
o__OFGB2890,0.002118817706506185
o__OFGB2930,0.0021148778412143545
o__Victivallales,0.0020637787428499596
o__OFGB10318,0.0020507812148500113
o__OFGB28369,0.002050345208073214
o__OFGB31455,0.002034219435116027
o__OFGB2846,0.0020205854442063094
o__OFGB2889,0.0020184361291660335
o__OFGB9714,0.0020161318480851616
o__OFGB2936,0.001981692047589001
o__OFGB9119,0.0019707056470179172
o__OFGB30328,0.0019317831530787177
o__OFGB629,0.0018963151603020507
o__OFGB1311,0.0018662977488109335
o__OFGB2950,0.001859879311130002
o__OFGB52309,0.0018584131856920357
o__OFGB1303,0.0018540153852220072
o__OFGB2942,0.0018299077582692716
o__OFGB73223,0.001829861395764952
o__OFGB1201,0.0018272008281088774
o__OFGB1355,0.0018088038125610992
o__Campylobacterales,0.001794846834983254
o__OFGB1298,0.0017932178044673024
o__Marinilabiliales,0.0017788823555270586
o__OFGB1670,0.0017507641631950676
o__OFGB2921,0.0017114685344599538
o__Candidatus_Gastranaerophilales,0.0016369471648585404
o__OFGB3041,0.0016269450936897182
o__OFGB2880,0.0016220865707068841
o__OFGB2906,0.0016109819670220465
o__OFGB24517,0.0016029487291615533
o__OFGB2949,0.0015772601460265533
o__OFGB77220,0.0015523262391622771
o__OFGB38791,0.0015420107123689884
o__OFGB83839,0.001518522244585196
o__OFGB658,0.001502301223542312
o__Methanobacteriales,0.0015001698072797639
o__OFGB10314,0.001494636972699139
o__OFGB2801,0.0014916761372766468
o__OFGB79294,0.0014899967618933964
o__OFGB1780,0.001487858268179264
o__OFGB1787,0.0014695475259966157
o__OFGB2345,0.0014694605822278813
o__OFGB2840,0.001464173540906981
o__OFGB3172,0.001458191242435581
o__OFGB77202,0.001452004662678016
o__Deinococcales,0.0014408112267594172
o__OFGB2917,0.0014404232223789875
o__OFGB10021,0.0014324750919581144
o__OFGB2937,0.0014241461400046772
o__OFGB2378,0.001421024407311711
o__Methanomicrobiales,0.001417737055872591
o__OFGB78857,0.0014084804317186547
o__OFGB1207,0.0014024755618347055
o__OFGB3071,0.0013797244954930272
o__OFGB10309,0.0013759397663606128
o__OFGB79015,0.0013744854864870227
o__OFGB602,0.0013435802286906478
o__OFGB2947,0.0013172774851582126
o__OFGB544,0.0012831350482035426
o__OFGB78291,0.0012753874839464669
o__OFGB8294,0.0012658936478969116
o__OFGB73062,0.0012402244897285334
o__Caulobacterales,0.0011994386737541813
o__Flavobacteriales,0.0011806545182627812
