feature,correlation,correlation_raw,p_value,direction,p_adj
f__Odoribacteraceae,0.274709525443278,0.274709525443278,0.00015420771241034218,positive,0.04903805254648881
f__FGB9583,0.24699047415998876,-0.24699047415998876,0.0007006369660888876,negative,0.07462278089173034
f__FGB58251,0.24252685765119528,-0.24252685765119528,0.0008805027064274572,negative,0.07462278089173034
f__Barnesiellaceae,0.24126293611472452,0.24126293611472452,0.0009386513319714509,positive,0.07462278089173034
f__Candidatus_Saccharibacteria_unclassified,0.21844238190081683,-0.21844238190081683,0.0028158254260857735,negative,0.1790864970990552
f__FGB2837,0.20315255328345833,-0.20315255328345833,0.005546945579394595,negative,0.2730371156210388
f__Selenomonadaceae,0.19411349022591642,0.19411349022591642,0.00810737417962642,positive,0.2730371156210388
f__FGB7869,0.18882465213626942,-0.18882465213626942,0.010050592918094315,negative,0.2730371156210388
f__Carnobacteriaceae,0.18668401091340858,-0.18668401091340858,0.010947343813177746,negative,0.2730371156210388
f__FGB3071,0.18232252423812484,-0.18232252423812484,0.012995166310402225,negative,0.2730371156210388
f__FGB2801,0.17778289459005447,-0.17778289459005447,0.015476274074561125,negative,0.2730371156210388
f__FGB1473,0.17718523403633946,-0.17718523403633946,0.015831925642309966,negative,0.2730371156210388
f__FGB1226,0.17709066601734513,0.17709066601734513,0.015888848861929882,positive,0.2730371156210388
f__Bacteroidales_unclassified,0.17624116063158018,-0.17624116063158018,0.016408245195223912,negative,0.2730371156210388
f__FGB72899,0.1741361181959737,-0.1741361181959737,0.017759489352891185,negative,0.2730371156210388
f__Caulobacteraceae,0.17365763717470284,-0.17365763717470284,0.018079785470770205,negative,0.2730371156210388
f__Pasteurellaceae,0.17121685308273862,-0.17121685308273862,0.019792898482227466,negative,0.2730371156210388
f__FGB38642,0.17078808110458663,0.17078808110458663,0.02010792802823298,positive,0.2730371156210388
f__FGB2942,0.16595897265527698,-0.16595897265527698,0.023966506460024926,negative,0.2730371156210388
f__Rikenellaceae,0.16184255878011217,0.16184255878011217,0.027742603208788432,positive,0.2730371156210388
f__FGB1217,0.1615378936861682,0.1615378936861682,0.0280412662519549,positive,0.2730371156210388
f__Streptococcaceae,0.16087424524633745,-0.16087424524633745,0.028701366883563898,negative,0.2730371156210388
