feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
f__Odoribacteraceae,4,2.1953719274652608,1,1,1,1
f__Barnesiellaceae,4,1.85673048815355,1,1,1,1
f__Candidatus_Saccharibacteria_unclassified,4,1.6896312724928841,1,1,1,1
f__Pasteurellaceae,4,1.4425369571891793,1,1,1,1
f__Carnobacteriaceae,4,1.3806016604713836,1,1,1,1
f__FGB38642,4,1.2782201767202528,1,1,1,1
f__FGB1226,3,1.135930462581026,1,1,0,1
f__Firmicutes_unclassified,3,1.0711828076191818,1,1,1,0
f__Rikenellaceae,3,1.0469329219617372,1,1,0,1
f__Streptococcaceae,3,1.038307107666658,1,1,0,1
f__FGB1217,3,0.8002655213008499,0,1,1,1
f__Selenomonadaceae,3,0.711962279298793,0,1,1,1
f__FGB9583,2,1.563872148518395,1,0,0,1
f__FGB58251,2,1.5343896427846613,1,0,0,1
f__FGB1473,2,1.110063294961364,1,0,0,1
f__Bacteroidales_unclassified,2,1.1040192550401895,1,0,0,1
f__Actinomycetaceae,2,0.5853536068303683,1,1,0,0
f__FGB2837,2,0.5261922727818699,0,0,1,1
f__Lactobacillaceae,2,0.24768037369048565,0,1,1,0
f__FGB1380,2,0.2353746970456047,0,1,1,0
