feature,coefficient,abs_coefficient
f__Firmicutes_unclassified,-0.19286883944941233,0.19286883944941233
f__FGB1217,0.1780681070515959,0.1780681070515959
f__Odoribacteraceae,0.1464237111606444,0.1464237111606444
f__Pasteurellaceae,-0.13277745119764464,0.13277745119764464
f__Barnesiellaceae,0.11667521627297654,0.11667521627297654
f__FGB3048,-0.1137684606824145,0.1137684606824145
f__Selenomonadaceae,0.10962735154568963,0.10962735154568963
f__Candidatus_Saccharibacteria_unclassified,-0.10629901664476789,0.10629901664476789
f__Lactobacillaceae,0.08437904647945267,0.08437904647945267
f__FGB1380,0.0811791643729148,0.0811791643729148
f__FGB45628,-0.07604736740326239,0.07604736740326239
f__FGB1765,-0.07541289917226258,0.07541289917226258
f__FGB38642,0.07237133425967977,0.07237133425967977
f__Carnobacteriaceae,-0.06455308136339027,0.06455308136339027
f__Corynebacteriaceae,0.06274675141737508,0.06274675141737508
f__Acidaminococcaceae,-0.05859313886708256,0.05859313886708256
f__FGB3054,0.055393645014144406,0.055393645014144406
f__Synergistaceae,-0.05273330464336913,0.05273330464336913
f__FGB2837,-0.04795486648598128,0.04795486648598128
f__FGB75721,0.046592084632151726,0.046592084632151726
f__Atopobiaceae,0.045354449280131395,0.045354449280131395
f__Candidatus_Nanogingivalaceae,-0.04176587717214138,0.04176587717214138
f__Eubacteriales_unclassified,0.03903360718697141,0.03903360718697141
f__Muribaculaceae,-0.038148998572616895,0.038148998572616895
f__Clostridia_unclassified,-0.03715095906272329,0.03715095906272329
f__FGB618,0.0363135959906101,0.0363135959906101
f__FGB3038,0.025108154797280974,0.025108154797280974
f__Akkermansiaceae,0.024707970961846296,0.024707970961846296
f__Enterococcaceae,0.022684765734392022,0.022684765734392022
f__FGB2960,-0.013829981697315658,0.013829981697315658
f__Turicibacteraceae,0.01118711212569535,0.01118711212569535
f__FGB14936,-0.0084269759092414,0.0084269759092414
f__FGB4806,-0.007179499047902281,0.007179499047902281
f__Peptoniphilaceae,-0.005221239431382548,0.005221239431382548
f__Prevotellaceae,-0.005210064919221414,0.005210064919221414
f__FGB72924,0.0022427963369294384,0.0022427963369294384
f__Bacteroidaceae,0.0013450957692582638,0.0013450957692582638
