feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
f__Synergistaceae,0.2091333517618883,3409.0,0.034003588171075676,-0.034003588171075676,0.0,-2.0928318747219983,-1.9959203712712605,down,0.31820289885301667
f__Rikenellaceae,0.029460182481198475,4595.0,0.3442052674959369,0.3442052674959369,0.30028073580244685,5.824888774644539,4.730359289716177,up,0.22618057459011634
f__Prevotellaceae,0.8133358444726065,3925.0,0.11991069234119694,0.11991069234119694,0.5070509123841112,1.894535735559647,1.3331077941703524,up,0.862135995140963
f__Porphyromonadaceae,0.9226807905914411,3877.0,0.18809645773065511,0.18809645773065511,0.0,-2.5620950268816154,-2.8777893634018668,up,0.941427869422703
f__Tannerellaceae,0.48051337265230964,4087.0,0.0642731221377887,0.0642731221377887,0.04563877014537415,4.859102630418877,4.707793806678017,up,0.5659379722349425
f__Bacteroidaceae,0.9249819087489507,3876.0,0.08079463622104868,0.08079463622104868,0.02387165201940057,8.018366353844604,7.886781548055095,up,0.941427869422703
f__Coriobacteriaceae,0.24473194311253998,4245.0,0.26098267779396045,0.26098267779396045,0.30802754763263734,4.173488386149498,3.3711158535391665,up,0.35374889958994415
f__Methanobacteriaceae,0.3516148586125657,3521.0,0.06997032905107559,0.06997032905107559,0.0,-0.8339813039165823,-0.9602715316448066,up,0.4620393596644458
f__Eubacteriales_unclassified,0.32388337271014656,4184.0,0.26130605012687425,0.26130605012687425,0.16832715125400938,5.63920546986071,5.018181871675732,up,0.4382762234971345
f__Oscillospiraceae,0.8133358444726065,3925.0,0.07738351101768254,0.07738351101768254,0.010712429193859532,8.472965990753409,8.410284761475616,up,0.862135995140963
f__Odoribacteraceae,0.00020733175252255092,5124.0,0.599616168815633,0.599616168815633,1.778810960331469,2.7952198101771546,0.8145926926229545,up,0.06593149730217118
f__Acidaminococcaceae,0.33248250724407213,3508.0,0.12157681065531746,-0.12157681065531746,-0.14477367383566084,3.4787892677077195,3.8460005320740325,down,0.44611576921356516
f__FGB3012,0.04638750153790283,3155.0,0.13857324078744312,-0.13857324078744312,0.0,-0.09523714547330268,0.15597317700040342,down,0.22618057459011634
f__Lachnospiraceae,0.1133440373440132,3296.0,0.11181187413767778,-0.11181187413767778,-0.016694168668658613,8.908911226457095,9.01259959357198,down,0.23348514935241063
f__Clostridiaceae,0.15528927545579307,3352.0,0.1518916331034689,-0.1518916331034689,-0.03970648988715848,6.246055950869636,6.420350159599244,down,0.2640748106681401
f__Desulfovibrionaceae,0.4247610057779011,4119.0,0.13297245072093744,0.13297245072093744,0.21583525390651997,2.75817667642275,2.3749211554381526,up,0.529701960146559
f__Christensenellaceae,0.5750598330724247,4037.0,0.08336675942799945,0.08336675942799945,0.0,0.20161950920705823,-0.026815405414924436,up,0.6461188216097061
f__Eubacteriales_Family_XIII_Incertae_Sedis,0.8676917940820186,3901.0,0.03848424315396226,-0.03848424315396226,-0.042346680294722265,2.831788299968788,2.9161402282928353,down,0.9076512845989536
f__Lactobacillaceae,0.0960200552505211,4418.0,0.262412614774804,0.262412614774804,0.6650140789992396,2.4576553379637307,1.5500003347545426,up,0.22618057459011634
f__Eggerthellaceae,0.4895712435200428,3604.0,0.07420629526737003,-0.07420629526737003,-0.0323975196595226,5.0100650056250124,5.1238450298426566,down,0.5702698001442257
f__Erysipelotrichaceae,0.1755902710348991,3375.0,0.21884196607453416,-0.21884196607453416,-0.09283160075556625,5.329019333224171,5.683192834570348,down,0.2805914883874267
f__Eubacteriales_incertae_sedis,0.541949052062811,4054.0,0.17981818850533174,0.17981818850533174,0.22948279745199301,4.132106516660699,3.52444146956552,up,0.6154992805570496
f__Streptococcaceae,0.032152749747424145,3103.0,0.3420909837051135,-0.3420909837051135,-0.19922059699640152,4.8465188325255815,5.564181399363557,down,0.22618057459011634
f__Enterobacteriaceae,0.9042967407195746,3885.0,0.05934129867774867,0.05934129867774867,0.042626201149361574,5.3117480793288845,5.157101800241093,up,0.9336570245091711
f__Eubacteriaceae,0.5098178638298946,4071.0,0.08139777961912506,0.08139777961912506,0.05696850743112679,5.3889908414290595,5.18033941962957,up,0.5895348389014781
f__FGB2875,0.3168291093546528,3497.0,0.09633777903382762,0.09633777903382762,0.0,-1.8662212903677626,-1.955547418108431,up,0.4324105440977665
f__Corynebacteriaceae,0.9295860094299646,3812.0,0.07961150444392874,0.07961150444392874,0.0,-2.4269372367506765,-2.598479668855974,up,0.941427869422703
f__Peptostreptococcaceae,0.6398534511962908,3681.0,0.12768104063980706,-0.12768104063980706,-0.15601695455501088,2.9824152586309336,3.323027197266093,down,0.7016324051048981
f__Bifidobacteriaceae,0.2518542968230808,3447.0,0.16408868813525565,-0.16408868813525565,-0.1182691293188506,5.648432534159921,6.1309884972736715,down,0.3607642630168455
f__FGB9120,0.19881869438129618,3399.0,0.10471691902170195,-0.10471691902170195,-0.20862724067327518,0.6150564851503971,0.7107519492285272,down,0.3084114381134253
f__Candidatus_Saccharimonadaceae,0.382381436477942,3541.0,0.1698260680417236,-0.1698260680417236,0.0,-0.5107461922994714,-0.060031759384870424,down,0.490311680645103
f__FGB15212,0.9272836547466871,3875.0,0.11375476119283567,0.11375476119283567,0.26647345992051796,0.767672683692335,0.6382040895416052,up,0.941427869422703
f__FGB618,0.9388011313998506,3816.0,0.28812154546092894,0.28812154546092894,0.0,-3.5547347056357417,-3.9649415796577303,up,0.9477420945560396
f__FGB82363,0.833628920255754,3916.0,0.3118921797223463,0.3118921797223463,0.0,-1.1141429219532224,-1.388723398664762,up,0.8748976786842566
f__Coprobacillaceae,0.2740835859765747,3465.0,0.08268030422160753,-0.08268030422160753,0.0,-1.1944347109060152,-0.9600688013416733,down,0.3856574351351803
f__Candidatus_Saccharibacteria_unclassified,0.008270292585160629,2931.0,0.46980228381295386,-0.46980228381295386,-1.344760988938443,0.8344994928750579,2.1195295303928474,down,0.22618057459011634
f__Candidatus_Nanoperiomorbaceae,0.9872864061599828,3849.0,0.03955747707027892,0.03955747707027892,0.0,-2.2052098911996154,-2.2689850062598946,up,0.9872864061599828
f__FGB1226,0.04482037573951536,4536.0,0.3776382167070485,0.3776382167070485,0.0,-1.7480806832690927,-2.6488718602076555,up,0.22618057459011634
f__Enterococcaceae,0.7075175768592604,3713.0,0.0023248466280653885,-0.0023248466280653885,0.0,-0.8718153894555727,-0.8622142915352948,down,0.7652741137457306
f__FGB1262,0.8088427299105183,3759.0,0.20237463760930235,0.20237463760930235,0.0,-1.104705409356341,-1.3708525977550907,up,0.862135995140963
f__Barnesiellaceae,0.008341283600469603,4754.0,0.5217642081441857,0.5217642081441857,0.0,0.5113659871246979,-1.593386513441663,up,0.22618057459011634
f__Selenomonadaceae,0.20392856801592918,4282.0,0.4152954682943871,0.4152954682943871,0.0,-0.8544166272711227,-2.1462398832151255,up,0.313281568256355
f__Actinomycetaceae,0.049998063609564956,3166.0,0.276033554563303,-0.276033554563303,-0.6593976540788735,1.3490413432976134,2.1307069986921237,down,0.22618057459011634
f__FGB1126,0.24827525202021272,3444.0,0.002649268240883562,-0.002649268240883562,0.0,-3.236234442885745,-3.232595106311134,down,0.35724674272591694
f__Bianqueaceae,0.4366232378886705,3574.0,0.0392082278660066,0.0392082278660066,0.0,-2.425587615759197,-2.484692245989235,up,0.5381635257697567
f__Atopobiaceae,0.8974153898208029,3798.0,0.007510380874787613,-0.007510380874787613,0.0,-0.6035994739959634,-0.5823133036395577,down,0.9295703386417438
f__Candidatus_Nanosynbacteraceae,0.1755902710348991,3375.0,0.10159768132399433,-0.10159768132399433,0.0,-1.9141414691732175,-1.8013761792281653,down,0.2805914883874267
f__Sutterellaceae,0.2187431941159773,3418.0,0.12971840536329135,-0.12971840536329135,-0.15431222619045576,3.112490006964769,3.4638619449673644,down,0.3265743461449802
f__Firmicutes_unclassified,0.0387173557512328,3129.0,0.26592426940245734,-0.26592426940245734,0.0,-0.21000374972348074,0.4019707014538129,down,0.22618057459011634
f__FGB1776,0.4913937842779684,3605.0,0.08418438808389658,0.08418438808389658,0.0,0.2201249030100235,-0.03801688537245559,up,0.5703037350379342
f__FGB14936,0.3412277324083528,3514.0,0.021883925637050956,-0.021883925637050956,0.0,-0.5410910115047549,-0.46924340921426033,down,0.450250700854175
f__FGB31455,0.30712374273397225,3490.0,0.13088010921038487,0.13088010921038487,0.0,-1.1291338115747638,-1.394720496090854,up,0.4209713370232896
f__FGB2982,0.8813897567546035,3791.0,0.16726414102325515,0.16726414102325515,1.036595688110746,0.5446803511896932,0.26551882242492203,up,0.9159540609410586
f__FGB1765,0.28438129927131384,3473.0,0.056685516120439726,-0.056685516120439726,-0.16498193151467508,1.4762783909479928,1.6551325244498023,down,0.3949050356693354
f__Turicibacteraceae,0.6254192581915899,3674.0,0.056953471601517563,0.056953471601517563,0.0,-0.5831878264348751,-0.7296766028892188,up,0.6881775920585661
f__FGB1779,0.36833743737163716,3532.0,0.05751012060048486,0.05751012060048486,0.0,-1.4247493886434708,-1.480762798600856,up,0.47808695952726776
f__FGB3069,0.47154759723520256,3594.0,0.09494333464472841,0.09494333464472841,0.0,-0.8994897704513595,-1.1116387308974056,up,0.5616184865947356
f__FGB9238,0.12218290420673283,3309.0,0.04152061863633182,0.04152061863633182,0.0,-2.4166201434595433,-2.450831846672774,up,0.23827610482507022
f__FGB3041,0.13835718820958753,3331.0,0.09582860655399263,-0.09582860655399263,-0.07357035393855887,0.7952661664421926,0.8368726786268068,down,0.24716685141619885
f__FGB1217,0.13990576495256538,4353.0,0.3435399305713411,0.3435399305713411,0.0,-1.080994684446179,-1.8963375708712757,up,0.24716685141619885
f__FGB75721,0.4769159581062755,4089.0,0.3120267768679868,0.3120267768679868,0.0,-2.230797670138602,-2.923970523741292,up,0.5637891251962662
f__Pasteurellaceae,0.006959502752231893,2911.0,0.3647275904150116,-0.3647275904150116,0.0,-0.2796725570834962,0.4596045004063491,down,0.22618057459011634
f__FGB10318,0.28438129927131384,3473.0,0.0006162552134672436,0.0006162552134672436,0.0,-0.1461994227251051,-0.1467044708381739,up,0.3949050356693354
f__FGB3048,0.484125523012081,3601.0,0.0455331323111597,-0.0455331323111597,0.0,-1.1279656610517987,-1.0075126611874738,down,0.5680882520953571
f__FGB9119,0.5515880755070217,3637.0,0.12045314254075315,0.12045314254075315,0.16409917582752406,0.8021609801221474,0.7159171371396829,up,0.6242171103602594
f__FGB3038,0.13835718820958753,4355.0,0.286660571193562,0.286660571193562,0.0,-0.2974873314784277,-1.0588120919010997,up,0.24716685141619885
f__FGB2918,0.4538959872343159,3584.0,0.11085851409215403,0.11085851409215403,0.0,-1.8553482981266012,-1.967683307153903,up,0.5467383482595168
f__FGB1011,0.8722535791390225,3899.0,0.12120827658837201,0.12120827658837201,0.0,-1.7659924467672008,-2.0873926080548744,up,0.909431600544948
f__Clostridia_unclassified,0.15613316733688348,3353.0,0.1734770229247892,-0.1734770229247892,0.0,-0.0264550867653415,0.5298335980281189,down,0.26409759155919654
f__FGB3047,0.4662127249192326,4095.0,0.23778299914988393,0.23778299914988393,0.0,-2.0102639833462534,-2.5731346364077896,up,0.5573520546026915
f__FGB2840,0.14068503790559056,3334.0,0.09857808659670592,-0.09857808659670592,0.0,-0.564625487174486,-0.5242313322571195,down,0.24717039808827512
f__Veillonellaceae,0.4538959872343159,3584.0,0.14697529874566165,-0.14697529874566165,-0.1792202143270653,3.8450264335560025,4.353614693138686,down,0.5467383482595168
f__FGB38642,0.036068827318457106,4567.0,0.36378673897606933,0.36378673897606933,0.8501096303156932,2.0943267232737597,1.1618122089407525,up,0.22618057459011634
f__Bacteria_unclassified,0.4486740918451758,4105.0,0.17266786612701743,0.17266786612701743,0.8881995144477908,0.7846678548669813,0.4239466086088926,up,0.5466603877653866
f__FGB3023,0.6775904247774084,3987.0,0.190293228096744,0.190293228096744,0.0,-0.574715234825958,-0.9198783337000118,up,0.7379238187644379
f__FGB1354,0.7820211505520459,3747.0,0.058561337285874,0.058561337285874,0.0,-0.42183501102760773,-0.5907811853643241,up,0.8373155753385542
f__FGB1359,0.5770369350225049,4036.0,0.2108811952648613,0.2108811952648613,0.0,0.1285658163258593,-0.14526995836796344,up,0.6461188216097061
f__FGB9491,0.4644419093435326,3590.0,0.04413775514517457,-0.04413775514517457,0.0,-2.8055189819839983,-2.7036822891812093,down,0.5573302912122391
f__FGB2915,0.9226807905914411,3809.0,0.1543656231058199,0.1543656231058199,0.0,-2.065171926534367,-2.2682677049172875,up,0.941427869422703
f__Carnobacteriaceae,0.00396036245041043,2848.0,0.3988146852390481,-0.3988146852390481,0.0,-0.9706214997910314,0.13083566724501267,down,0.22618057459011634
f__FGB1227,0.4452118587540129,3579.0,0.04632288379152122,0.04632288379152122,0.0,-1.8148021259516596,-1.907330230179273,up,0.5445283503222158
f__FGB1538,0.4048698163833925,3555.0,0.012109697299856195,0.012109697299856195,0.0,-1.5331012592586142,-1.538535648786269,up,0.5109071492457096
f__FGB3057,0.5116799531297559,3616.0,0.03774948397040105,-0.03774948397040105,0.0,-0.6673740687625443,-0.5722891600337068,down,0.5895442938234143
f__FGB4405,0.30438732963633797,3488.0,0.08515018549378009,0.08515018549378009,0.04110055060640532,1.928543683155545,1.8743771526838413,up,0.41902671352534837
f__Akkermansiaceae,0.22421709506220588,4263.0,0.28867176636049274,0.28867176636049274,1.6063671227345837,1.7524729412522186,0.5755547375306762,up,0.3301976078822493
f__FGB1292,0.9088883369072378,3803.0,0.05673019571727789,-0.05673019571727789,-0.10001772103641442,2.2070855520162964,2.3655247804383075,down,0.9353608127394875
f__Oxalobacteraceae,0.21658073108879372,4270.0,0.2919715794751689,0.2919715794751689,0.0,-1.6112344261271931,-2.4264991758816206,up,0.3264107700769498
f__FGB2404,0.13990576495256538,3333.0,0.03282729090383332,-0.03282729090383332,0.0,-0.24140785960800218,-0.19909112057043105,down,0.24716685141619885
f__FGB10055,0.08818999857094488,3254.0,0.13850132700540388,-0.13850132700540388,-0.14353918780329547,0.7854680202329697,0.8676370894909359,down,0.22618057459011634
f__FGB1380,0.9480244561907574,3866.0,0.2024266979284137,0.2024266979284137,0.0,0.37840574679788874,-0.23960107350039359,up,0.9510150696172266
f__FGB3062,0.945717923325358,3819.0,0.13112211611603908,0.13112211611603908,0.3600717793747275,1.0688442336272463,0.8327641339130636,up,0.9510150696172266
f__Candidatus_Gastranaerophilales_unclassified,0.19579804609320417,3396.0,0.05490484608652919,0.05490484608652919,0.0,-1.9216133786222163,-1.959268123353143,up,0.30671812146620164
f__FGB77988,0.7753547108460846,3744.0,0.12007042838142197,0.12007042838142197,0.0,-0.7182939654271814,-0.9851020647420755,up,0.8329824258414017
f__Propionibacteriaceae,0.831368388817229,3769.0,0.04332904479408001,0.04332904479408001,0.0,-1.9840217043338413,-2.0692001891254566,up,0.8748976786842566
f__FGB45628,0.2253235248756229,3424.0,0.1624693372199898,-0.1624693372199898,0.0,-3.0355878878634273,-2.7308307679640573,down,0.3301976078822493
