feature,importance
f__Odoribacteraceae,0.026887087015275975
f__Firmicutes_unclassified,0.019054056730245426
f__Selenomonadaceae,0.016555639994245353
f__Carnobacteriaceae,0.016073854919331537
f__Candidatus_Saccharibacteria_unclassified,0.015798133151141074
f__Bacteria_unclassified,0.01557227737338701
f__Akkermansiaceae,0.013862253004030689
f__Barnesiellaceae,0.012996052984429449
f__Pasteurellaceae,0.012901480733189032
f__Lactobacillaceae,0.01224425249728466
f__Rikenellaceae,0.011612423136546337
f__Peptostreptococcaceae,0.01144901782812353
f__Actinomycetaceae,0.011095499234587452
f__FGB1380,0.010808928704439249
f__Streptococcaceae,0.010792216587918704
f__FGB1217,0.010673155433174594
f__Enterococcaceae,0.01065640302169301
f__Eubacteriales_Family_XIII_Incertae_Sedis,0.010583025517499468
f__Acidaminococcaceae,0.01048813983957478
f__FGB1765,0.009818688538197062
f__Candidatus_Saccharimonadaceae,0.009720124691238024
f__Bacillales_unclassified,0.009515390793539222
f__FGB38642,0.009380733636580514
f__Micrococcaceae,0.00930818264068014
f__Candidatus_Nanoperiomorbaceae,0.00917888952442237
f__Lachnospiraceae,0.009036692217478963
f__Erysipelotrichaceae,0.008996450565654101
f__Clostridia_unclassified,0.008850626524691478
f__FGB1226,0.008824232377412944
f__Prevotellaceae,0.008795596533501536
f__Tannerellaceae,0.008769554059880932
f__Coriobacteriaceae,0.00867259761862069
f__Sutterellaceae,0.008585517989438912
f__Eubacteriaceae,0.00832282950754619
f__Eggerthellaceae,0.008246284590879574
f__FGB3047,0.008052045070339993
f__Clostridiaceae,0.0079025356035602
f__Bifidobacteriaceae,0.00775229445607533
f__FGB3048,0.007713380161774671
f__Christensenellaceae,0.007684544863133303
f__Eubacteriales_unclassified,0.00758475495312306
f__Oscillospiraceae,0.007499927824531356
f__FGB1292,0.007406365000019118
f__Eubacteriales_incertae_sedis,0.007319908391327038
f__FGB3057,0.007224503966924341
f__Corynebacteriaceae,0.007210323452566902
f__Synergistaceae,0.007087259770901717
f__Candidatus_Nanogingivalaceae,0.00708368548270598
f__FGB618,0.007013784771520651
f__FGB9491,0.006916660256386559
f__Bacteroidaceae,0.006863542712235293
f__Enterobacteriaceae,0.006692387056683718
f__Desulfovibrionaceae,0.006671338615102385
f__FGB9583,0.006300203308506147
f__Veillonellaceae,0.006202368473886889
f__FGB3038,0.0061711253961840426
f__FGB79291,0.006013588350030746
f__Propionibacteriaceae,0.005966825876206295
f__Oxalobacteraceae,0.005884005451748412
f__Coprobacillaceae,0.00580895999536582
f__Aerococcaceae,0.005504123574700032
f__FGB4806,0.005490431444967319
f__Atopobiaceae,0.005478747092907082
f__Bianqueaceae,0.005398110308423626
f__FGB1473,0.005396330833961798
f__FGB1011,0.005391956424337223
f__Peptoniphilaceae,0.005361936833491304
f__FGB4559,0.005245340912429741
f__Turicibacteraceae,0.005237906524774852
f__FGB79245,0.005179006868468308
f__FGB45628,0.005163325608456392
f__FGB58251,0.0049577392904872186
f__Fusobacteriaceae,0.00492588131879479
f__FGB2837,0.004892930987735026
f__FGB75721,0.0048902827141268325
f__FGB1474,0.004770843805867383
f__FGB14936,0.004629407581507489
f__Muribaculaceae,0.0043532776472429684
f__FGB2997,0.004209120251764389
f__FGB4605,0.004014234725647463
f__FGB77988,0.003982545243891602
f__FGB3069,0.0039241774778861075
f__Candidatus_Nanosynbacteraceae,0.003907421350586505
f__FGB2404,0.003897709963866009
f__FGB10477,0.0038958279133383357
f__FGB72924,0.0038257667741525424
f__Porphyromonadaceae,0.0036264713788793606
f__FGB28775,0.003565057336338389
f__FGB3012,0.0035588422492875997
f__Saccharomycetaceae,0.003510468447912457
f__FGB82363,0.0034292600707448223
f__FGB1227,0.0033928255864387425
f__Burkholderiaceae,0.003301945840597552
f__FGB3023,0.003225934514319271
f__FGB3072,0.003221188705398607
f__FGB3054,0.0032122994744610204
f__FGB15212,0.003136909592925914
f__FGB1354,0.003069538892279168
f__FGB1126,0.0030640384215141754
f__FGB1776,0.0030441103348370613
f__FGB1325,0.0029677028385114964
f__Candidatus_Brocadiaceae,0.002924096387847542
f__FGB667,0.002920540238886665
f__FGB1249,0.0029098787558136966
f__Nitrobacteraceae,0.0028861729426163966
f__FGB2834,0.00286507756658228
f__FGB2952,0.002852375121957762
f__FGB32970,0.0027618521472862487
f__FGB1359,0.002742675512278517
f__FGB2982,0.002736349212574088
f__FGB3004,0.002653046907190218
f__FGB1425,0.0026371102937509
f__FGB1298,0.0026262886113663994
f__FGB1347,0.0026167089179726243
f__Yeguiaceae,0.00261153210688354
f__FGB2801,0.002584339487648916
f__FGB7869,0.0025563982681438774
f__FGB3070,0.0025313160834883673
f__FGB2960,0.002519353232868874
f__Morganellaceae,0.0024533005253096615
f__FGB9989,0.0023579934767763303
f__FGB1872,0.0023499534532829764
f__Tissierellia_unclassified,0.002314136123888758
f__Methanobacteriaceae,0.002265542091866046
f__FGB2930,0.0022232421164667428
f__FGB2915,0.0021942355192961466
f__Neisseriaceae,0.0021817390043703776
f__Feifaniaceae,0.002175760039616495
f__FGB4355,0.0021698006389322022
f__FGB9119,0.0021429260994060284
f__FGB3062,0.00210389815704496
f__FGB1262,0.002098523172569078
f__FGB3625,0.0020419260305696517
f__FGB73223,0.0020415533535227954
f__FGB9272,0.0020381594040791715
f__FGB72899,0.002036450834524037
f__FGB2984,0.0020218863186717167
f__FGB31455,0.002015281042190443
f__Victivallaceae,0.0019964052328602278
f__FGB9238,0.001985574341829904
f__FGB30328,0.0019829103010502954
f__FGB2918,0.0018618509504337928
f__FGB8294,0.0018468646051664388
f__FGB45503,0.0018422833415309694
f__FGB1374,0.0018046631847875986
f__FGB2959,0.0018009551609579565
f__FGB79237,0.0017899796623382306
f__Comamonadaceae,0.0017401007469132518
f__FGB79152,0.0016485232969446883
f__FGB668,0.0016295511480404106
f__FGB1258,0.0015861315227184048
f__FGB629,0.0015619106879488736
f__Bacillaceae,0.0015496556950254199
f__Hafniaceae,0.0015159369870391018
f__FGB2917,0.0015072487633100782
f__FGB529,0.0015012875393844297
f__FGB3040,0.0014675366494769236
f__FGB10312,0.0014579909848360293
f__FGB16911,0.0014540632818563729
f__FGB30287,0.0014460588436113787
f__Marinilabiliaceae,0.001441342380871465
f__FGB1787,0.0014296375662932667
f__FGB1201,0.0014249465033941212
f__FGB2840,0.0014230405267696697
f__FGB1779,0.0014188836945920693
f__FGB544,0.001411097033360334
f__FGB9714,0.0013774131187131138
f__FGB2890,0.0013700717816062104
f__Bacteroidales_unclassified,0.0013683781361286263
f__FGB10055,0.0013640069265245926
f__FGB77241,0.0013620109666732188
f__FGB11257,0.0013610950446935276
f__FGB1311,0.0013585851383503891
f__FGB10021,0.0013428017575848072
f__FGB2921,0.0013424251663998361
f__Puniceicoccaceae,0.0013317777496656437
f__FGB72939,0.0013268476525464393
f__FGB79015,0.0013226242351683736
f__FGB2937,0.0013122867120706277
f__FGB10309,0.0013044546649465113
f__FGB38791,0.0013024048428228125
f__FGB2846,0.0013008161855801986
f__FGB2906,0.0012998877947322338
f__FGB1211,0.0012849648792351044
f__FGB2898,0.0012834908100536073
f__FGB1670,0.001260540458414034
f__FGB67123,0.001236248135052987
f__FGB24517,0.0012339089901117824
f__FGB3172,0.0012103708223196057
f__FGB77202,0.0012086795989204938
f__FGB2950,0.0012006651323359105
f__FGB4405,0.0011986618573141317
f__FGB2165,0.001181383522370769
f__Campylobacteraceae,0.0011725436344261076
f__FGB2942,0.001171566336075233
f__Lawsonellaceae,0.0011556469866279696
f__FGB40183,0.00115431521255214
f__FGB83839,0.0011492758423938042
f__FGB73062,0.001135095187006361
f__FGB2947,0.0011292464258006955
f__Xanthomonadaceae,0.0011111667956086857
f__Reyranellaceae,0.0010929955442151116
f__FGB79294,0.0010891438804446695
f__FGB52309,0.001075218117477223
f__FGB79363,0.001064598595544694
f__FGB2949,0.0010632248589736335
f__Acetobacteraceae,0.001062558192371849
f__Staphylococcaceae,0.0010514933497193725
f__Candidatus_Borkfalkiaceae,0.0010350395017775275
f__Tropherymataceae,0.0009979897429494532
f__FGB77566,0.0009820093775122197
f__FGB602,0.0009777069457490091
f__FGB78291,0.0009776408688764579
f__FGB45555,0.0009220078804799844
f__FGB1362,0.0009073923461166896
f__Leptotrichiaceae,0.000903330378629883
f__FGB77220,0.0008997276815770965
f__FGB2345,0.00089256694713272
f__Methanomicrobiaceae,0.0008884205396040658
f__FGB1538,0.0008839786379920816
f__FGB2889,0.0008830252313806869
f__FGB1402,0.0008681449339879496
f__FGB2875,0.0008547804020157209
f__FGB2992,0.0008546804568748928
f__FGB2941,0.0008544556236421046
f__FGB78645,0.0008374530654094703
f__FGB2936,0.0008201052409241231
f__FGB9120,0.0008098736373049778
f__Moraxellaceae,0.0008092526516060767
f__FGB2957,0.00080437078551468
f__FGB1012,0.0007929452674885559
f__FGB1260,0.0007916655106246565
f__FGB1780,0.0007795882594125381
f__FGB10318,0.000774437684520896
f__Sphingobacteriaceae,0.0007643654096640097
f__FGB78857,0.0007589240163227353
f__FGB9718,0.0007474939316795066
f__Weeksellaceae,0.0007313598073241493
f__Dysgonomonadaceae,0.0007201080359696984
f__FGB28369,0.0007122874174575836
f__FGB1303,0.000701221348490808
f__Pseudomonadaceae,0.0007012017117358433
f__Nakamurellaceae,0.0006967682716296462
f__Methanotrichaceae,0.0006890856411809958
f__FGB2378,0.0006879180144212131
f__FGB2880,0.0006850727818107377
f__Succinivibrionaceae,0.0006773169878871618
f__FGB3039,0.0006729147484537321
f__FGB2164,0.0006579538973995201
f__FGB2873,0.0006554786555046683
f__FGB73902,0.0006538505073143643
f__FGB3041,0.0006428644452490743
f__FGB10341,0.0006193195976236752
f__FGB1355,0.0006159692696436035
f__FGB1337,0.0006129640759756021
f__FGB3071,0.0006082720922123052
f__Nocardioidaceae,0.0005804642675533352
f__FGB10314,0.0005744863050640105
f__FGB9828,0.0005696286543456766
f__FGB2945,0.0005679346712761463
f__FGB74971,0.0005617420334489293
f__FGB78461,0.0005552876768177621
f__FGB3009,0.000553765862655976
f__FGB658,0.0005535200011533065
f__FGB4648,0.0005511236593781488
f__FGB1207,0.0005508256250625532
f__FGB2881,0.0005505390332455699
f__Methylobacteriaceae,0.0005345887473973556
f__FGB536,0.0005321368888154421
f__Methanomassiliicoccaceae,0.0005263793616030824
f__Caulobacteraceae,0.0005239524359578022
f__FGB9977,0.0005235580202827938
f__FGB8140,0.0005005745923638318
f__FGB1705,0.0004965402353000522
f__Coriobacteriales_unclassified,0.0004963250411343515
f__FGB10290,0.00046654686092998033
f__Erythrobacteraceae,0.00046564778043614574
f__Sphingomonadaceae,0.000463232677484034
f__FGB2954,0.0004480747397419696
f__FGB12107,0.00044430719573120627
f__FGB77153,0.00042950843573421466
f__FGB2107,0.0004166268142326941
f__FGB2932,0.0004107712721722656
f__Hyphomicrobiaceae,0.0004064015705266371
f__FGB79244,0.0003961456018328001
f__FGB2985,0.0003947450136550304
f__FGB2983,0.0003933505875992914
f__FGB2839,0.0003879058339987902
f__FGB1777,0.0003644026681852822
f__FGB9115,0.0003542814559149972
f__FGB10325,0.00034593715028570884
f__Budviciaceae,0.00034580019917306135
f__FGB540,0.00033193578711911094
f__FGB58291,0.00032191786599000406
f__FGB51922,0.0003133762763513226
f__FGB4616,0.00031310502115466937
f__FGB11739,0.0003090175328493735
f__FGB3043,0.0003051571588226066
f__FGB2403,0.0003011767644766005
f__Candidatus_Gastranaerophilales_unclassified,0.0003003126264757602
f__FGB1789,0.0002999778928891508
f__FGB4623,0.00029727336105248345
f__Boseaceae,0.00029524316238883913
f__FGB9512,0.0002914092684600121
f__FGB79211,0.0002874059314875233
f__Deinococcaceae,0.00023940174885890217
f__FGB2874,0.00023411025413827566
f__Microbacteriaceae,0.0002316781638521106
f__Planctomycetaceae,0.00021308332291942555
f__FGB1778,0.00020551483543247817
f__FGB78183,0.00018575073986746153
f__FGB5194,0.0001815527866789743
f__FGB2117,0.00015037300057195284
f__FGB1814,0.00012737189674860908
f__FGB79270,0.00011642027588367756
f__Elusimicrobiaceae,0.00011169947722956786
f__Phyllobacteriaceae,9.328895444406327e-05
f__FGB2905,7.375985387835792e-05
