feature,correlation,correlation_raw,p_value,direction,p_adj
g__GGB3490,0.24021195339188953,-0.24021195339188953,0.0009896678361270266,negative,0.2791155661184968
g__GGB9423,0.23920479914639342,-0.23920479914639342,0.0010409338834818777,negative,0.2791155661184968
g__GGB9762,0.2376947196434242,-0.2376947196434242,0.0011223787813111818,negative,0.2791155661184968
g__Luxibacter,0.22363025843232653,-0.22363025843232653,0.0022138690507108242,negative,0.2791155661184968
g__Barnesiella,0.2196257107181729,0.2196257107181729,0.0026667676537310363,positive,0.2791155661184968
g__Candidatus_Saccharibacteria_unclassified,0.21713174947371475,-0.21713174947371475,0.002989693414373563,negative,0.2791155661184968
g__Odoribacter,0.21345480492844576,0.21345480492844576,0.0035305389583665595,positive,0.2791155661184968
g__Butyricimonas,0.20678735126230938,0.20678735126230938,0.004740787493890235,positive,0.2791155661184968
g__Alloscardovia,0.2039998675268202,-0.2039998675268202,0.00534877189571706,negative,0.2791155661184968
g__GGB44238,0.2002903087661133,-0.2002903087661133,0.006265876942999589,negative,0.2791155661184968
g__Robinsoniella,0.1996401524943288,-0.1996401524943288,0.0064403447550978755,negative,0.2791155661184968
g__Tetragenococcus,0.19354653223954,-0.19354653223954,0.008298374897923224,negative,0.2791155661184968
g__GGB9364,0.19279678263489883,-0.19279678263489883,0.008557082179044172,negative,0.2791155661184968
g__Oscillibacter,0.19178313503672575,0.19178313503672575,0.008918210596861327,positive,0.2791155661184968
g__GGB8965,0.19052343059389548,-0.19052343059389548,0.009385771580895033,negative,0.2791155661184968
g__GGB3649,0.18994776494461063,-0.18994776494461063,0.00960656713413376,negative,0.2791155661184968
g__Megamonas,0.18738904817256394,0.18738904817256394,0.010644497983826112,positive,0.2791155661184968
g__GGB74505,0.1873718876361126,-0.1873718876361126,0.010651780574877947,negative,0.2791155661184968
g__GGB9595,0.18482086946990625,0.18482086946990625,0.011784489962083112,positive,0.2791155661184968
g__Negativibacillus,0.1846963049677297,-0.1846963049677297,0.011842415992337747,negative,0.2791155661184968
g__Granulicatella,0.1842280567342593,-0.1842280567342593,0.012062410792696788,negative,0.2791155661184968
g__GGB9529,0.18420873959046816,-0.18420873959046816,0.012071563130433989,negative,0.2791155661184968
g__GGB9758,0.1821322003064313,0.1821322003064313,0.013091717028172696,positive,0.2791155661184968
g__GGB74802,0.1813994343031109,-0.1813994343031109,0.01346934597326542,negative,0.2791155661184968
g__GGB9778,0.1806636590006166,-0.1806636590006166,0.013858097006415365,negative,0.2791155661184968
g__Enteroscipio,0.18060606576457758,-0.18060606576457758,0.013888937265689663,negative,0.2791155661184968
g__Eggerthellaceae_unclassified,0.17959280087577648,-0.17959280087577648,0.014441438857947549,negative,0.2791155661184968
g__GGB9454,0.1792729780802331,-0.1792729780802331,0.01461977432461581,negative,0.2791155661184968
g__GGB1521,0.17869191799554188,-0.17869191799554188,0.014948708645425999,negative,0.2791155661184968
g__Methanosphaera,0.17847051437272785,-0.17847051437272785,0.015075734747949725,negative,0.2791155661184968
g__GGB70869,0.17804626453957917,-0.17804626453957917,0.015321776400144876,negative,0.2791155661184968
g__GGB51111,0.1775987691704718,-0.1775987691704718,0.015585091441467348,negative,0.2791155661184968
g__Vescimonas,0.1769063682429891,0.1769063682429891,0.016000296078043798,positive,0.2791155661184968
g__GGB45596,0.17660371402543334,-0.17660371402543334,0.0161847939513817,negative,0.2791155661184968
g__GGB9542,0.1764757516713665,-0.1764757516713665,0.01626335579380985,negative,0.2791155661184968
g__Caniella,0.17595548493729773,-0.17595548493729773,0.016586203392673953,negative,0.2791155661184968
g__Aggregatibacter,0.17467011271445032,-0.17467011271445032,0.017407865939484214,negative,0.2791155661184968
g__Lactobacillus,0.17256707150766618,0.17256707150766618,0.01882861926818343,positive,0.2791155661184968
g__GGB9359,0.1720791420165269,0.1720791420165269,0.01917227302629904,positive,0.2791155661184968
g__GGB9724,0.17026282271634244,-0.17026282271634244,0.020499755303736406,negative,0.2791155661184968
g__Massiliimalia,0.16980884562053336,0.16980884562053336,0.020843712138667186,positive,0.2791155661184968
g__Bacteroidales_unclassified,0.16970287028100092,-0.16970287028100092,0.020924719074568048,negative,0.2791155661184968
g__GGB9278,0.16868412136830507,-0.16868412136830507,0.021717425980456232,negative,0.2791155661184968
g__GGB4596,0.16867273801807348,-0.16867273801807348,0.02172642803077064,negative,0.2791155661184968
g__GGB52002,0.1683926471270402,-0.1683926471270402,0.021948943138368045,negative,0.2791155661184968
g__GGB4602,0.1659902218607326,-0.1659902218607326,0.023939622171932882,negative,0.2791155661184968
g__GGB9271,0.16556655153370423,-0.16556655153370423,0.024306330561101073,negative,0.2791155661184968
g__GGB3730,0.16491927985020194,-0.16491927985020194,0.024875898470013858,negative,0.2791155661184968
g__GGB2982,0.1648822206713399,0.1648822206713399,0.024908852861341323,positive,0.2791155661184968
g__Lachnospira,0.1642568925151482,-0.1642568925151482,0.025470597710261285,negative,0.2791155661184968
g__Alistipes,0.1637390721460065,0.1637390721460065,0.025943960983812298,positive,0.2791155661184968
g__GGB29535,0.16346741772215326,-0.16346741772215326,0.026195295631168587,negative,0.2791155661184968
g__GGB3680,0.16241035477954627,-0.16241035477954627,0.027193248768349818,negative,0.2791155661184968
g__GGB4611,0.16223026641488794,-0.16223026641488794,0.02736647090995369,negative,0.2791155661184968
g__GGB9548,0.16223026635453783,-0.16223026635453783,0.027366470968160632,negative,0.2791155661184968
g__GGB1523,0.16223026633832482,-0.16223026633832482,0.02736647098379809,negative,0.2791155661184968
g__GGB1525,0.16223026624526776,-0.16223026624526776,0.027366471073550606,negative,0.2791155661184968
g__Salmonella,0.16223026612597455,-0.16223026612597455,0.027366471188607557,negative,0.2791155661184968
g__GGB6126,0.16223026610269456,-0.16223026610269456,0.027366471211060672,negative,0.2791155661184968
g__GGB34231,0.16223026579372155,-0.16223026579372155,0.027366471509061525,negative,0.2791155661184968
g__GGB55957,0.16185780596746735,-0.16185780596746735,0.02772772815226903,negative,0.2791155661184968
g__Erysipelatoclostridium,0.16157170606276047,-0.16157170606276047,0.028007984972570326,negative,0.2791155661184968
g__Streptococcus,0.16153534434501018,-0.16153534434501018,0.028043776920131734,negative,0.2791155661184968
g__GGB9502,0.16145983235509298,0.16145983235509298,0.028118230600758794,positive,0.2791155661184968
g__GGB6572,0.16117325566878662,-0.16117325566878662,0.02840233017255211,negative,0.2791155661184968
g__GGB9619,0.1609620879906656,-0.1609620879906656,0.028613238747426287,negative,0.2791155661184968
g__GGB4255,0.15987122872224244,-0.15987122872224244,0.029724187259595275,negative,0.2791155661184968
g__Levilactobacillus,0.15987122865919437,-0.15987122865919437,0.02972418732485248,negative,0.2791155661184968
g__GGB4672,0.15987122860565328,-0.15987122860565328,0.02972418738026943,negative,0.2791155661184968
g__GGB9328,0.15987122835098563,-0.15987122835098563,0.029724187643861016,negative,0.2791155661184968
g__Alkaliflexus,0.1598712272605496,-0.1598712272605496,0.029724188772506027,negative,0.2791155661184968
g__GGB9082,0.1596685095335486,-0.1596685095335486,0.0299346422764804,negative,0.2791155661184968
g__GGB3478,0.1596685090680774,-0.1596685090680774,0.029934642761168834,negative,0.2791155661184968
g__Bacilliculturomica,0.1596685087650024,-0.1596685087650024,0.029934643076756137,negative,0.2791155661184968
g__GGB9621,0.15907408875010065,-0.15907408875010065,0.03055908456291675,negative,0.2791155661184968
g__GGB1123,0.1590464116182782,-0.1590464116182782,0.03058842788299141,negative,0.2791155661184968
g__GGB28369,0.1590464116151254,-0.1590464116151254,0.03058842788633545,negative,0.2791155661184968
g__GGB3496,0.15904641161323113,-0.15904641161323113,0.03058842788834474,negative,0.2791155661184968
g__GGB9064,0.15904641093476432,-0.15904641093476432,0.030588428607949948,negative,0.2791155661184968
g__GGB3722,0.1584799075966641,-0.1584799075966641,0.031194329842622985,negative,0.2791155661184968
g__GGB9275,0.1584799075780358,-0.1584799075780358,0.03119432986271339,negative,0.2791155661184968
g__GGB9197,0.15847990755533772,-0.15847990755533772,0.031194329887193145,negative,0.2791155661184968
g__GGB9511,0.1584799075380267,-0.1584799075380267,0.031194329905863055,negative,0.2791155661184968
g__GGB9291,0.15847990734319767,-0.15847990734319767,0.031194330115985307,negative,0.2791155661184968
g__GGB3528,0.15847990719912644,-0.15847990719912644,0.03119433027136548,negative,0.2791155661184968
g__GGB3152,0.15847990534941814,-0.15847990534941814,0.03119433226626831,negative,0.2791155661184968
