feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
g__Negativibacillus,4,1.9421953516966215,1,1,1,1
g__Candidatus_Saccharibacteria_unclassified,4,1.726640420495338,1,1,1,1
g__Barnesiella,4,1.6883620251882085,1,1,1,1
g__Granulicatella,4,1.3112552369754218,1,1,1,1
g__Butyricimonas,3,1.5376534808341191,1,0,1,1
g__Odoribacter,3,1.3853587088186212,1,1,0,1
g__Haemophilus,3,0.9073708480258009,1,1,1,0
g__Lachnospira,3,0.8866143896548131,1,1,1,0
g__Megamonas,3,0.7217212246254271,0,1,1,1
g__GGB3490,2,1.5191275258265842,1,0,0,1
g__Oscillibacter,2,1.2038027042164712,1,0,0,1
g__GGB74505,2,1.175418915153656,1,0,0,1
g__Massiliimalia,2,0.9355980806950868,1,0,1,0
g__Erysipelatoclostridium,2,0.7065727619820895,1,1,0,0
g__GGB9758,2,0.6259726835331499,0,0,1,1
g__Agathobaculum,2,0.5332904939881518,1,1,0,0
g__GGB9423,2,0.49275724307506547,0,1,0,1
g__Faecalicatena,2,0.3186481817311798,0,1,1,0
g__Clostridium,2,0.3154529275117862,0,1,1,0
g__Lactobacillus,2,0.28069185890016796,0,1,1,0
