feature,coefficient,abs_coefficient
g__Negativibacillus,-0.30410084634152196,0.30410084634152196
g__GGB2982,0.15130740307399063,0.15130740307399063
g__Candidatus_Saccharibacteria_unclassified,-0.1339746819640506,0.1339746819640506
g__Megamonas,0.1327685457845367,0.1327685457845367
g__GGB9559,-0.13167163983735194,0.13167163983735194
g__Lachnospiraceae_unclassified,-0.1282694085328546,0.1282694085328546
g__Clostridium,0.12061661707130687,0.12061661707130687
g__Faecalicatena,-0.11950989178470284,0.11950989178470284
g__GGB3363,0.11730470217530177,0.11730470217530177
g__Barnesiella,0.11473677083580948,0.11473677083580948
g__GGB9758,0.10468331316811494,0.10468331316811494
g__Lactobacillus,0.10350075856901654,0.10350075856901654
g__GGB58233,-0.09722386723462399,0.09722386723462399
g__Christensenella,-0.0953633992099854,0.0953633992099854
g__Butyricimonas,0.09476502523007668,0.09476502523007668
g__GGB1456,0.09074068950877949,0.09074068950877949
g__Faecalibacterium,0.08997674726349185,0.08997674726349185
g__Haemophilus,-0.0898966681559968,0.0898966681559968
g__Phocea,-0.08510022632955916,0.08510022632955916
g__Massiliimalia,0.08492818709680026,0.08492818709680026
g__Allisonella,-0.07337152221908906,0.07337152221908906
g__Corynebacterium,0.07302866502594592,0.07302866502594592
g__GGB9359,0.07003268535337137,0.07003268535337137
g__Anaerotruncus,0.06872269819922622,0.06872269819922622
g__Adlercreutzia,-0.06530893563205874,0.06530893563205874
g__Roseburia,0.06326319035366411,0.06326319035366411
g__Lachnospira,-0.060591114199706655,0.060591114199706655
g__GGB9708,-0.05223520352719837,0.05223520352719837
g__Granulicatella,-0.0514323882015817,0.0514323882015817
g__GGB3278,-0.04958283040914728,0.04958283040914728
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,-0.047788727398136485,0.047788727398136485
g__Gordonibacter,0.045467628047410995,0.045467628047410995
g__GGB9524,0.04523185863663395,0.04523185863663395
g__Vescimonas,0.042537114982186125,0.042537114982186125
g__Anaeromassilibacillus,0.039448174464571835,0.039448174464571835
g__Anaerobutyricum,0.03904004004345494,0.03904004004345494
g__Paraprevotella,-0.03754503907896961,0.03754503907896961
g__Eisenbergiella,-0.037468460017072255,0.037468460017072255
g__GGB51441,-0.03523873740632387,0.03523873740632387
g__Scardovia,0.035149117109005576,0.035149117109005576
g__Parasutterella,-0.029629271841323263,0.029629271841323263
g__Odoribacter,0.02859439904408009,0.02859439904408009
g__Solobacterium,-0.027647029578214053,0.027647029578214053
g__Enterobacter,0.02566824231415111,0.02566824231415111
g__GGB12785,-0.024943628819556595,0.024943628819556595
g__Prevotella,0.023848545345659524,0.023848545345659524
g__Akkermansia,0.022525455073004807,0.022525455073004807
g__GGB9491,-0.02138458047075021,0.02138458047075021
g__Faecalimonas,0.018924868209357217,0.018924868209357217
g__Parascardovia,0.016174076171779683,0.016174076171779683
g__Enterococcus,0.0143846672190653,0.0143846672190653
g__GGB9423,-0.011116563147762267,0.011116563147762267
g__Jutongia,-0.005786893353459055,0.005786893353459055
g__GGB4596,-0.005540128555521319,0.005540128555521319
g__GGB51647,-0.0050118281083782355,0.0050118281083782355
g__GGB3345,-0.004536600063693332,0.004536600063693332
g__GGB4456,0.004237790438061806,0.004237790438061806
g__Lacrimispora,0.0033130590115091883,0.0033130590115091883
g__Limosilactobacillus,0.0015161319244165843,0.0015161319244165843
