feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
g__Pyramidobacter,0.6070705773639357,3665.0,0.025355164586838664,0.025355164586838664,0.0,-1.459504364486246,-1.511249491741957,up,0.6790719714233792
g__Alistipes,0.027774899532919617,4603.0,0.3483492125603984,0.3483492125603984,0.3043966272310551,5.850599097654425,4.737702918624173,up,0.21800916704620776
g__Prevotella,0.4895712435200428,4082.0,0.21375894923241917,0.21375894923241917,0.0,-0.8912331157002504,-1.6696524990568171,up,0.5736510794960793
g__Porphyromonas,0.7183192725577139,3968.0,0.25926323934156104,0.25926323934156104,0.0,-1.933202410437049,-2.2643533329336347,up,0.7755590799107978
g__Parabacteroides,0.4147449125407816,4125.0,0.07319802144275041,0.07319802144275041,0.0518149362875817,4.887561172012177,4.715137435586016,up,0.5069690036394306
g__Phocaeicola,0.7379035886430696,3959.0,0.12829546134834882,0.12829546134834882,0.06236579181132839,6.736139978041692,6.451149839147688,up,0.7922580940565099
g__Collinsella,0.4932199620204014,4080.0,0.17429609692556616,0.17429609692556616,0.25165650400602096,3.7013908348949034,3.1089145753110667,up,0.5772233618778907
g__Methanobrevibacter,0.4504109237838483,3582.0,0.086994401314651,0.086994401314651,0.0,-0.8760139449353915,-1.0273771942221603,up,0.5382550418385864
g__Bacteroides,0.9803528730016953,3852.0,0.0717024894766406,0.0717024894766406,0.024228790442566303,7.44988629044506,7.32581675783916,up,0.9844462044129758
g__Gemmiger,0.6254192581915899,4012.0,0.18461859928714675,0.18461859928714675,0.3881628627476505,3.4323481498662853,2.6226640780414296,up,0.694749799515369
g__Oscillospiraceae_unclassified,0.4434864698541091,4108.0,0.18507645123508393,0.18507645123508393,0.41334879747304487,2.6363067457736733,1.979545799519866,up,0.5332924799995662
g__Odoribacter,0.003415259566984686,4854.0,0.4585571930885945,0.4585571930885945,2.490989461594865,1.922501132805482,0.3419826375944556,up,0.21800916704620776
g__Phascolarctobacterium,0.6860917541925545,3703.0,0.006658032657881372,-0.006658032657881372,-0.013186260934484276,2.7566229269850457,2.781934010228143,down,0.7491716998107122
g__Vescimonas,0.03262142480563661,4581.0,0.377232505960379,0.377232505960379,0.0,1.1977692869737389,-0.16588938849253612,up,0.21800916704620776
g__Ruthenibacterium,0.8676917940820186,3785.0,0.06488511903201619,0.06488511903201619,0.055755348244000524,4.177722674551886,4.019347680510482,up,0.9043548276347799
g__GGB9715,0.07888815727222974,4450.0,0.29786788251937685,0.29786788251937685,0.6583374506800208,2.618953728625182,1.6593901411225935,up,0.21800916704620776
g__Ruminococcus,0.8517611815276797,3778.0,0.016510611476747972,0.016510611476747972,0.012075896766100902,5.87011350851172,5.821183531002468,up,0.8925863361978517
g__GGB9480,0.03954344679156015,3132.0,0.12822344566406665,-0.12822344566406665,0.0,-0.06677860388000235,0.1633168059084012,down,0.21800916704620776
g__Blautia,0.29627548842774787,3482.0,0.11651765065915647,-0.11651765065915647,-0.02906945256178152,6.801647444531072,6.940086671831863,down,0.39530793324201585
g__Evtepia,0.4968831959752986,4078.0,0.17386413880094434,0.17386413880094434,0.4023195481489727,2.0200857047522582,1.528479236654461,up,0.5808039301679675
g__Anaerobutyricum,0.3637283680454466,4157.0,0.2555471324637601,0.2555471324637601,0.18092635266177814,5.51070237553736,4.8611911315465415,up,0.4585933028305631
g__Butyricimonas,0.018572374933173992,4656.0,0.4435831076171543,0.4435831076171543,0.0,0.9927722553211543,-0.35965474995078256,up,0.21800916704620776
g__Faecalibacterium,0.3471389464548502,4168.0,0.3354487453283593,0.3354487453283593,0.2609995970989046,6.51652870597356,5.438105204748697,up,0.44526355531942124
g__Hungatella,0.3412277324083528,3514.0,0.08666579470178323,-0.08666579470178323,0.0,-0.9900785146649874,-0.6718427481387605,down,0.4400282554649268
g__Desulfovibrio,0.3441752392362152,3516.0,0.12175930295370652,0.12175930295370652,0.0,-1.0186051518331847,-1.338647707150824,up,0.4426424868251858
g__Mediterraneibacter,0.3471389464548502,3518.0,0.11618263360978566,-0.11618263360978566,-0.03394347891216845,6.286732586187853,6.436399505643045,down,0.44526355531942124
g__Christensenella,0.6111272638217942,3667.0,0.060601364577513216,-0.060601364577513216,0.0,-0.29006421269055777,-0.11998544915734925,down,0.6820236981398677
g__GGB9760,0.279200158517397,4217.0,0.2972616095852181,0.2972616095852181,0.84465340181968,1.4937051115328082,0.8317615825747844,up,0.37670484220720324
g__Lentihominibacter,0.3353813582524481,4176.0,0.19669729542428463,0.19669729542428463,1.177172626060957,1.0844968361645535,0.4795832636913323,up,0.4342353521384321
g__Clostridium,0.473333339550432,4091.0,0.1623441178802684,0.1623441178802684,0.058025075051962416,5.4167916460593695,5.203251797358118,up,0.5573398686016102
g__GGB3518,0.13529969479510248,3327.0,0.2231904703786895,-0.2231904703786895,-0.018736819333273504,3.956370791323108,4.008088769875464,down,0.238385176543752
g__Ligilactobacillus,0.4383332856248051,4111.0,0.13933399857475348,0.13933399857475348,0.0,-0.3528323227415571,-0.8248292339769953,up,0.5290798253087359
g__Eggerthella,0.09429695798259378,3265.0,0.2470287135352704,-0.2470287135352704,-0.3769654575481416,2.454027262746595,3.1868182326419507,down,0.21800916704620776
g__Holdemanella,0.7053642013849462,3712.0,0.13071477540953666,0.13071477540953666,0.22189257987431413,1.707447990990093,1.4640339961965805,up,0.7667348720139189
g__Dorea,0.5381171107943973,3630.0,0.04062461809250776,0.04062461809250776,0.032366937144817545,4.774337009958126,4.668417116389751,up,0.6170067468226582
g__Anaerotruncus,0.2715494739920127,4223.0,0.22131926728891219,0.22131926728891219,0.0,0.41538636672046086,-0.24263360668977899,up,0.3705398496174698
g__Raoultibacter,0.8540334412764802,3779.0,0.08439190834864302,0.08439190834864302,0.0,-0.474489192625275,-0.7151769130945933,up,0.8939936567007334
g__GGB1215,0.1001386628758888,3275.0,0.253969086699911,-0.253969086699911,-0.022425159620994325,3.6887248224473965,3.74651006722334,down,0.21800916704620776
g__Candidatus_Cibionibacter,0.5210433741188695,4065.0,0.18509573967082668,0.18509573967082668,0.23638191745048087,4.160565058254,3.531785098473518,up,0.6024564013249428
g__Streptococcus,0.03844527095133511,3128.0,0.3435343636681693,-0.3435343636681693,-0.20088233834152877,4.810917038804291,5.529673349314546,down,0.21800916704620776
g__Erysipelatoclostridium,0.033818781015353065,3110.0,0.34361376609111643,-0.34361376609111643,-0.6134540566072009,2.0449020112525593,3.128531802530724,down,0.21800916704620776
g__GGB3433,0.07360779539964395,3225.0,0.13318565637429436,-0.13318565637429436,0.0,-0.4388502234036087,-0.22810685984924417,down,0.21800916704620776
g__Bilophila,0.8268515266939099,3767.0,0.007120232711819464,0.007120232711819464,0.0157171788451601,1.921049557922168,1.9002346208983394,up,0.8741001853621334
g__Coprococcus,0.3516148586125657,4165.0,0.1719817530435345,0.1719817530435345,0.17366777279927995,4.014572444736348,3.559263086198556,up,0.4486120609884459
g__Gordonibacter,0.06601870977334973,4478.0,0.2968943364043209,0.2968943364043209,0.0,0.8388080893000714,-0.03742920006397075,up,0.21800916704620776
g__Escherichia,0.5889662849631285,3656.0,0.07589695079071568,-0.07589695079071568,-0.10203360472935417,3.4964577610953507,3.7526966686691123,down,0.660356137685932
g__Eubacteriaceae_unclassified,0.9711105609074834,3830.0,0.061858883759796375,0.061858883759796375,0.7849186931941962,0.5001763493173471,0.2902946831131539,up,0.9772053970638065
g__Diplocloster,0.7032131834559386,3711.0,0.15163622927401627,0.15163622927401627,0.0,-2.0388250396126306,-2.236214976148606,up,0.7652614055255802
g__GGB3653,0.6754714402933121,3698.0,0.03214389193186405,0.03214389193186405,0.14257617673383877,0.9531728838388605,0.8634793840202287,up,0.7426326006424757
g__GGB9176,0.35011884305234764,3520.0,0.11572532086763046,0.11572532086763046,0.0,-1.837762748774462,-1.948203789200433,up,0.4478913923089872
g__Wujia,0.3140358387544807,4191.0,0.2555483147549104,0.2555483147549104,2.2282569635596112,0.8900892594178501,0.18995965686468316,up,0.4138390094271376
