feature,importance
g__Odoribacter,0.013778237594846898
g__Lachnospira,0.012057964778236816
g__Granulicatella,0.009151112154544842
g__Agathobaculum,0.00828763593759017
g__Candidatus_Saccharibacteria_unclassified,0.00791766844049511
g__Negativibacillus,0.007905191814922817
g__Lactobacillus,0.007313320825875534
g__Enterocloster,0.007311996244892614
g__Gordonibacter,0.006668084758529064
g__Faecalicatena,0.006624484089807568
g__Erysipelatoclostridium,0.006448409933285548
g__Guopingia,0.005965504721471572
g__Adlercreutzia,0.005878666041784206
g__Desulfovibrio,0.005864099202772819
g__Barnesiella,0.005772309484973043
g__Haemophilus,0.0057432398438483296
g__Faecalibacterium,0.005602101826947862
g__Akkermansia,0.005498743716692101
g__GGB9760,0.005363564855116727
g__Ruminococcus,0.005281040711200869
g__Roseburia,0.005196088467281782
g__Clostridia_unclassified,0.005127599950658404
g__Megamonas,0.005007254606319162
g__GGB36331,0.0049811138321168265
g__Candidatus_Nanosynsacchari,0.0048899762333589536
g__Bacteria_unclassified,0.004842867153925076
g__Rothia,0.004833177134660907
g__GGB9423,0.004782548260759548
g__Clostridiaceae_unclassified,0.004687384069639477
g__Clostridium,0.004637128277839684
g__Intestinibacter,0.004574307057421707
g__Lachnospiraceae_unclassified,0.004537260001247649
g__Vescimonas,0.0045275254259523655
g__Romboutsia,0.004459371137890065
g__GGB2982,0.004372716131556953
g__Streptococcus,0.004344884957649763
g__Phocaeicola,0.004331682552689054
g__Massiliimalia,0.004288887158233804
g__Gemella,0.0042604892454521604
g__Holdemania,0.004229389058681719
g__Butyricimonas,0.004138771428857151
g__Phascolarctobacterium,0.0041201537909841554
g__Hungatella,0.004109490642267838
g__Anaerobutyricum,0.004099408781854828
g__Dorea,0.0040976257841387875
g__Paraprevotella,0.004091778575860578
g__Evtepia,0.004060647715440204
g__GGB3490,0.0040604088879391325
g__Veillonella,0.0040228780047980375
g__Limosilactobacillus,0.004013135981481079
g__Christensenella,0.004003132414477619
g__GGB51441,0.0039372794689852796
g__GGB9559,0.003888548789801991
g__Schaalia,0.0038745225593806174
g__Lawsonibacter,0.00384287831417993
g__Collinsella,0.003842516432753731
g__GGB12785,0.0038400330403119028
g__GGB9614,0.0038118802496245096
g__Allisonella,0.0037871543069066386
g__Klebsiella,0.003735983233577504
g__Actinomyces,0.003714522025899751
g__Alistipes,0.003677867074860753
g__Eubacteriales_unclassified,0.0036776916447768377
g__Anaerostipes,0.0036430272062860404
g__Oscillibacter,0.0035808995914264983
g__Enterococcus,0.0035657743593646234
g__Sutterella,0.003437070395353277
g__Turicibacter,0.003413529469069729
g__Dialister,0.0033924052750972005
g__Porphyromonas,0.0033712550153638826
g__Eubacterium,0.0033468717044149586
g__GGB3363,0.003341213414316892
g__Lentihominibacter,0.003331836349433189
g__Bifidobacterium,0.003308136186849954
g__Eggerthella,0.0032932200290095217
g__Dysosmobacter,0.003268903539551765
g__Mediterraneibacter,0.0032688758326379808
g__Anaerotruncus,0.003244196528215113
g__GGB3632,0.0032342476974762087
g__Lachnoclostridium,0.0032279740010453233
