feature,correlation,correlation_raw,p_value,direction,p_adj
s__Solobacterium_SGB6834,0.26559545605524465,-0.26559545605524465,0.00025833874224208284,negative,0.2388576227319662
s__Streptococcus_australis,0.2628850305240839,-0.2628850305240839,0.0003001335075058095,negative,0.2388576227319662
s__TM7_phylum_sp_oral_taxon_352,0.256638926699531,-0.256638926699531,0.00042148271238971936,negative,0.2388576227319662
s__Clostridium_transplantifaecale,0.2521485618733112,-0.2521485618733112,0.0005352551769904004,negative,0.2388576227319662
s__GGB9423_SGB14792,0.2345507064028059,-0.2345507064028059,0.0013110014093610336,negative,0.24110573268996754
s__GGB3490_SGB4664,0.23444896666110102,-0.23444896666110102,0.0013175636273014967,negative,0.24110573268996754
s__GGB9760_SGB15374,0.23380862856121645,0.23380862856121645,0.0013595601625761744,positive,0.24110573268996754
s__GGB9762_SGB15377,0.2302645729921911,-0.2302645729921911,0.001614963203839021,negative,0.24110573268996754
s__Luxibacter_massiliensis,0.22757751633370965,-0.22757751633370965,0.00183700639197114,negative,0.24110573268996754
s__Lachnoclostridium_sp_An138,0.22733124416803868,-0.22733124416803868,0.0018586888607501257,negative,0.24110573268996754
s__Lachnospiraceae_bacterium_oral_taxon_096,0.22669814912804298,-0.22669814912804298,0.001915502671964639,negative,0.24110573268996754
s__Alistipes_communis,0.22323290674392798,0.22323290674392798,0.002255458071628732,positive,0.24110573268996754
s__Aggregatibacter_segnis,0.21940059470602605,-0.21940059470602605,0.0026945611452329947,negative,0.24110573268996754
s__Barnesiella_intestinihominis,0.2139474268202924,0.2139474268202924,0.0034532906502422276,positive,0.24110573268996754
s__Odoribacter_splanchnicus,0.21319018596654965,0.21319018596654965,0.0035726746254897044,positive,0.24110573268996754
s__Ruminococcus_callidus,0.21286408657863334,0.21286408657863334,0.0036252236686489174,positive,0.24110573268996754
s__GGB44238_SGB61642,0.20832100469044496,-0.20832100469044496,0.004433423561164614,negative,0.24110573268996754
s__Desulfovibrio_desulfuricans,0.20683471328981046,-0.20683471328981046,0.004731016360803928,negative,0.24110573268996754
s__Tetragenococcus_halophilus,0.2060094601968133,-0.2060094601968133,0.004903885222706727,negative,0.24110573268996754
s__Anaerostipes_rhamnosivorans,0.20148181711759156,-0.20148181711759156,0.005957059263134178,negative,0.24110573268996754
s__Robinsoniella_peoriensis,0.20017700239273947,-0.20017700239273947,0.006295975428039257,negative,0.24110573268996754
s__Alloscardovia_omnicolens,0.1997701944507236,-0.1997701944507236,0.006405105465499474,negative,0.24110573268996754
s__Oscillospiraceae_unclassified_SGB15257,0.1989565450879932,-0.1989565450879932,0.00662845161938426,negative,0.24110573268996754
s__GGB8965_SGB13825,0.19795689069538747,-0.19795689069538747,0.006912347047677932,negative,0.24110573268996754
s__GGB9618_SGB15064,0.1967313293093435,-0.1967313293093435,0.007275147399191338,negative,0.24110573268996754
s__Senegalimassilia_SGB14826,0.19622640439111771,-0.19622640439111771,0.007429482910732601,negative,0.24110573268996754
s__Romboutsia_hominis,0.19586231308474175,-0.19586231308474175,0.007542571488461133,negative,0.24110573268996754
s__Schaalia_SGB17157,0.1933861531202025,-0.1933861531202025,0.008353124052809028,negative,0.24110573268996754
s__Enteroscipio_rubneri,0.19267014563880142,-0.19267014563880142,0.00860147832547181,negative,0.24110573268996754
s__Faecalicatena_orotica,0.19122892452619278,-0.19122892452619278,0.0091213117244629,negative,0.24110573268996754
s__Granulicatella_SGB8255,0.1908766999287236,-0.1908766999287236,0.00925250965473628,negative,0.24110573268996754
s__GGB9364_SGB14339,0.19008770184242238,-0.19008770184242238,0.0095524762153002,negative,0.24110573268996754
s__Lawsonibacter_hominis,0.18932970306728927,0.18932970306728927,0.009848724596186069,positive,0.24110573268996754
s__Olsenella_sp_KGMB02461,0.18916861727711387,-0.18916861727711387,0.009912717766504257,negative,0.24110573268996754
s__Collinsella_stercoris,0.18916336119056942,-0.18916336119056942,0.009914811981873889,negative,0.24110573268996754
s__Megamonas_funiformis,0.18898262624705514,0.18898262624705514,0.009987061566633343,positive,0.24110573268996754
s__GGB45596_SGB63306,0.18889425998317588,-0.18889425998317588,0.010022555354728029,negative,0.24110573268996754
s__GGB51111_SGB71327,0.1886200183812753,-0.1886200183812753,0.01013341958321751,negative,0.24110573268996754
s__GGB3649_SGB4958,0.18767250718449358,-0.18767250718449358,0.010524837350423508,negative,0.24110573268996754
s__GGB9595_SGB15019,0.18615941966860422,0.18615941966860422,0.011177581721726445,positive,0.24110573268996754
s__GGB74505_SGB47518,0.1840903953734781,-0.1840903953734781,0.01212776722404948,negative,0.24110573268996754
s__Eubacterium_ventriosum,0.18357772638665054,0.18357772638665054,0.0123739090879778,positive,0.24110573268996754
s__Methanosphaera_stadtmanae,0.18274937630990354,-0.18274937630990354,0.012780894146119697,negative,0.24110573268996754
s__Collinsella_sp_AF08_23,0.1825244026933828,-0.1825244026933828,0.012893437263887928,negative,0.24110573268996754
s__GGB9524_SGB14924,0.182276725780669,0.182276725780669,0.01301834246934309,positive,0.24110573268996754
s__GGB9758_SGB15368,0.18212242224364203,0.18212242224364203,0.013096694356147813,positive,0.24110573268996754
s__Actinomyces_naeslundii,0.18197245448592522,-0.18197245448592522,0.013173240652590549,negative,0.24110573268996754
s__Leuconostoc_carnosum,0.18080130572931905,-0.18080130572931905,0.013784632188507758,negative,0.24110573268996754
s__Vescimonas_coprocola,0.18076737134936885,0.18076737134936885,0.013802711896743747,positive,0.24110573268996754
s__Negativibacillus_massiliensis,0.18026705671099855,-0.18026705671099855,0.014071692036482309,negative,0.24110573268996754
s__Streptococcus_gallolyticus,0.18019923210258793,-0.18019923210258793,0.014108506911901884,negative,0.24110573268996754
s__Lactococcus_raffinolactis,0.17977030247981857,-0.17977030247981857,0.014343286048967578,negative,0.24110573268996754
s__Eggerthellaceae_bacterium_SWB101512,0.17935320505329733,-0.17935320505329733,0.01457485922003333,negative,0.24110573268996754
s__Roseburia_faecis,0.1787418974570834,0.1787418974570834,0.014920163602610458,positive,0.24110573268996754
s__GGB70869_SGB2145,0.17831918236413116,-0.17831918236413116,0.01516310015079686,negative,0.24110573268996754
s__GGB74802_SGB47402,0.17808884634559727,-0.17808884634559727,0.01529692400087844,negative,0.24110573268996754
s__GGB9778_SGB15398,0.1756795467645154,-0.1756795467645154,0.01675968941780139,negative,0.24110573268996754
s__Oscillibacter_valericigenes,0.175331174935637,0.175331174935637,0.016980970359647993,positive,0.24110573268996754
s__Peptoniphilus_harei,0.17476267638507204,-0.17476267638507204,0.017347534536163816,negative,0.24110573268996754
s__GGB1521_SGB2103,0.17462238503792285,-0.17462238503792285,0.017439045253393234,negative,0.24110573268996754
