feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
s__TM7_phylum_sp_oral_taxon_352,4,1.9825624224309686,1,1,1,1
s__GGB9760_SGB15374,4,1.848103859354585,1,1,1,1
s__Streptococcus_australis,3,1.6965358634677061,1,1,0,1
s__Odoribacter_splanchnicus,3,1.371665056164796,1,1,0,1
s__Ruminococcus_callidus,3,1.3563411025117658,1,1,0,1
s__Streptococcus_anginosus,3,1.0119556402434902,1,1,1,0
s__Agathobaculum_butyriciproducens,3,0.6898331713761207,1,1,1,0
s__Alistipes_communis,2,1.4077447841882864,1,0,0,1
s__Roseburia_faecis,2,0.9286127084048422,1,0,1,0
s__Clostridium_innocuum,2,0.9002067790446813,1,0,1,0
s__Vescimonas_coprocola,2,0.7829070856106484,1,1,0,0
s__Barnesiella_intestinihominis,2,0.687133062305995,0,0,1,1
s__Lachnospira_pectinoschiza,2,0.5187324098168924,1,1,0,0
s__GGB2982_SGB3964,2,0.4509012539811001,0,1,1,0
s__Megamonas_funiformis,2,0.43898180333693243,0,1,1,0
s__Desulfovibrio_desulfuricans,2,0.4243118475864289,0,1,0,1
s__Clostridium_sp_AT4,2,0.4111795412845415,0,1,1,0
s__Negativibacillus_massiliensis,2,0.386345321871665,0,1,1,0
s__Clostridium_SGB6179,2,0.34908484231395775,1,1,0,0
s__Granulicatella_SGB8255,2,0.335324327275753,0,1,1,0
