feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
s__Pyramidobacter_piscolens,0.7161543431442259,3717.0,0.031733263394258096,0.031733263394258096,0.0,-1.3531454658514168,-1.4163656400607365,up,0.7600092167136999
s__Alistipes_onderdonkii,0.10439691634849585,4404.0,0.3295831320231369,0.3295831320231369,0.7712776183201515,2.7489317701754694,1.6105946883425506,up,0.18766213059623876
s__Alistipes_putredinis,0.04638750153790283,4531.0,0.3640265731214462,0.3640265731214462,0.7204528870914999,4.024797292219655,2.442677222193226,up,0.1858477904339497
s__Prevotella_SGB63829,0.12078904533682253,3307.0,0.057995511757205055,-0.057995511757205055,-0.006712111706398082,3.9333584750129833,3.9517009877961433,down,0.20244924500115324
s__Porphyromonas_SGB1982,0.12148441135988697,3308.0,0.035388092281062454,0.035388092281062454,0.0,-1.2212043283159868,-1.2444952717157352,up,0.20323305930402835
s__Parabacteroides_merdae,0.30438732963633797,4198.0,0.23401780765609584,0.23401780765609584,0.3068679067725513,3.036929931799446,2.4550386141372686,up,0.3796865013283461
s__Alistipes_finegoldii,0.5909655241815385,4029.0,0.2172230823447354,0.2172230823447354,0.0,0.541414997896332,-0.07176608080932112,up,0.6467648440613404
s__Phocaeicola_vulgatus,0.6818360407823518,3701.0,0.027082124121991066,-0.027082124121991066,-0.026501733347473286,4.7311324675005535,4.818844639115474,down,0.7305386151239484
s__Collinsella_aerofaciens,0.21230205063689966,4274.0,0.2548355174305476,0.2548355174305476,0.5057912691850308,3.0147477339646764,2.1232084494367327,up,0.288620838070728
s__Methanobrevibacter_oralis,0.12148441135988697,3308.0,0.019267611667770846,0.019267611667770846,0.0,-0.26086008759626395,-0.2714396271388943,up,0.20323305930402835
s__Bacteroides_caccae,0.0995418090535975,4412.0,0.31269180488914605,0.31269180488914605,0.7061668675947177,2.961025999472898,1.8149506122082668,up,0.1858477904339497
s__Alistipes_ihumii,0.5323948096100658,4059.0,0.23979784298411105,0.23979784298411105,0.0,0.42785017843688583,-0.22017723559317237,up,0.5946963298835841
s__Gemmiger_formicilis,0.1438355392821305,4348.0,0.32323634794143163,0.32323634794143163,0.8985943392226519,3.1096176827328788,1.6680272726925383,up,0.21925400309018184
s__Clostridium_leptum,0.18309682696794505,4303.0,0.17862898222665358,0.17862898222665358,0.5919496990297737,1.2780627721872153,0.8479252525532376,up,0.2573447528643952
s__Parabacteroides_goldsteinii,0.6649153388525659,3993.0,0.2510025364471301,0.2510025364471301,0.0,-0.8069356029225837,-1.5007924434026572,up,0.7154152380059253
