taxonomy_level,biomarker,original_name,n_methods,integrated_score
Order,Candidatus_Saccharibacteria_unclassified,o__Candidatus_Saccharibacteria_unclassified,4,1.6781318006024077
Order,OFGB38642,o__OFGB38642,4,1.5753300315941288
Order,Pasteurellales,o__Pasteurellales,4,1.2123938517823851
Order,OFGB9583,o__OFGB9583,3,1.5244216215449597
Order,OFGB1226,o__OFGB1226,3,1.1660106830496102
Order,Selenomonadales,o__Selenomonadales,3,0.7535935801148698
Order,OFGB1217,o__OFGB1217,3,0.6811519545178286
Order,Verrucomicrobiales,o__Verrucomicrobiales,3,0.4113145583944696
Order,OFGB58251,o__OFGB58251,2,1.4317618435611281
Order,OFGB2837,o__OFGB2837,2,1.2051051160108035
Order,OFGB7869,o__OFGB7869,2,1.0710848241435298
Order,OFGB1473,o__OFGB1473,2,1.0111711418816438
Order,OFGB2801,o__OFGB2801,2,0.9959215834648593
Order,OFGB618,o__OFGB618,2,0.5796086811904357
Order,OFGB3054,o__OFGB3054,2,0.46694386313474917
Order,Firmicutes_unclassified,o__Firmicutes_unclassified,2,0.4387920695525102
Order,OFGB75721,o__OFGB75721,2,0.41723839579480065
Order,OFGB3038,o__OFGB3038,2,0.41677787394709886
Order,Bacteroidales,o__Bacteroidales,2,0.3521300283846752
Order,OFGB1380,o__OFGB1380,2,0.2830285623072405
Family,Odoribacteraceae,f__Odoribacteraceae,4,2.1953719274652608
Family,Barnesiellaceae,f__Barnesiellaceae,4,1.85673048815355
Family,Candidatus_Saccharibacteria_unclassified,f__Candidatus_Saccharibacteria_unclassified,4,1.6896312724928841
Family,Pasteurellaceae,f__Pasteurellaceae,4,1.4425369571891793
Family,Carnobacteriaceae,f__Carnobacteriaceae,4,1.3806016604713836
Family,FGB38642,f__FGB38642,4,1.2782201767202528
Family,FGB1226,f__FGB1226,3,1.135930462581026
Family,Firmicutes_unclassified,f__Firmicutes_unclassified,3,1.0711828076191818
Family,Rikenellaceae,f__Rikenellaceae,3,1.0469329219617372
Family,Streptococcaceae,f__Streptococcaceae,3,1.038307107666658
Family,FGB1217,f__FGB1217,3,0.8002655213008499
Family,Selenomonadaceae,f__Selenomonadaceae,3,0.711962279298793
Family,FGB9583,f__FGB9583,2,1.563872148518395
Family,FGB58251,f__FGB58251,2,1.5343896427846613
Family,FGB1473,f__FGB1473,2,1.110063294961364
Family,Bacteroidales_unclassified,f__Bacteroidales_unclassified,2,1.1040192550401895
Family,Actinomycetaceae,f__Actinomycetaceae,2,0.5853536068303683
Family,FGB2837,f__FGB2837,2,0.5261922727818699
Family,Lactobacillaceae,f__Lactobacillaceae,2,0.24768037369048565
Family,FGB1380,f__FGB1380,2,0.2353746970456047
Genus,Negativibacillus,g__Negativibacillus,4,1.9421953516966215
Genus,Candidatus_Saccharibacteria_unclassified,g__Candidatus_Saccharibacteria_unclassified,4,1.726640420495338
Genus,Barnesiella,g__Barnesiella,4,1.6883620251882085
