Species 层级生物标志物列表
==================================================

1. TM7_phylum_sp_oral_taxon_352
2. Granulicatella_SGB8255
3. Clostridiaceae_bacterium_Marseille_Q4149
4. Agathobaculum_butyriciproducens
5. Odoribacter_splanchnicus
6. Dialister_hominis
7. Lachnospira_pectinoschiza
8. Alistipes_dispar
9. Streptococcus_australis
10. Blautia_caecimuris
11. GGB9760_SGB15374
12. Clostridium_sp_AT4
13. Alistipes_putredinis
14. Phocaeicola_plebeius
15. Streptococcus_anginosus
16. Negativibacillus_massiliensis
17. Actinomyces_sp_ICM47
18. Roseburia_faecis
19. Alistipes_communis
20. Streptococcus_mutans
21. Clostridium_SGB6179
22. Gordonibacter_pamelaeae
23. Veillonella_parvula
24. Adlercreutzia_equolifaciens
25. Haemophilus_parainfluenzae
26. Faecalibacterium_prausnitzii
27. Phocaeicola_dorei
28. Eubacterium_sulci
29. Anaerotruncus_colihominis
30. GGB9758_SGB15368
31. Phocaeicola_coprocola
32. Eubacterium_hominis
33. Akkermansia_muciniphila
34. GGB9559_SGB14969
35. Allisonella_histaminiformans
36. Vescimonas_coprocola
37. Eubacterium_ventriosum
38. Clostridium_innocuum
39. Enterococcus_faecalis
40. Ruminococcus_callidus
41. Lacrimispora_amygdalina
42. Pseudoflavonifractor_gallinarum
43. Bacteroides_thetaiotaomicron
44. Streptococcus_gordonii
45. Blautia_faecis
46. Phascolarctobacterium_faecium
47. Clostridium_sp_AM33_3
48. Eubacterium_rectale
49. Blautia_SGB4815
50. Clostridium_sp_NSJ_42
51. Parabacteroides_gordonii
52. Lachnospiraceae_bacterium_CLA_AA_H244
53. GGB3278_SGB4328
54. Leuconostoc_lactis
55. Bacteroides_stercoris
56. Enterocloster_clostridioformis
57. Schaalia_odontolytica
58. Clostridium_symbiosum
59. Schaalia_SGB17168
60. GGB74505_SGB47518
61. Ruminococcus_sp_AF13_28
62. Mediterraneibacter_butyricigenes
63. Parasutterella_SGB9260
64. Bifidobacterium_longum
65. Massiliimalia_massiliensis
66. GGB9423_SGB14792
67. Ruminococcus_gauvreauii
68. GGB9095_SGB14026
69. Lachnoclostridium_sp_An138
70. Clostridium_transplantifaecale
71. Collinsella_tanakaei
72. GGB9469_SGB14862
73. GGB8965_SGB13825
74. Eubacterium_maltosivorans
75. Fusobacterium_varium
76. GGB55957_SGB77276
77. GGB3304_SGB4365
78. Schaalia_SGB17157
79. Vescimonas_fastidiosa
80. Bacteroides_xylanisolvens
81. Megamonas_funiformis
82. Clostridium_sp_AM22_11AC
83. GGB2982_SGB3964
84. Bacteroides_salyersiae
85. bacterium_210917_DFI_7_65
86. Clostridium_fessum
87. Parabacteroides_goldsteinii
88. Ruminococcus_bromii
89. GGB3632_SGB4921
90. GGB2653_SGB3574
91. Lachnospira_eligens
92. Anaerostipes_hadrus
93. Streptococcus_salivarius
94. GGB3653_SGB4964
95. GGB51441_SGB71759
96. Dysosmobacter_welbionis
97. Clostridia_bacterium_UC5_1_1D1
98. Roseburia_inulinivorans
99. Dorea_longicatena
100. Blautia_wexlerae
101. Blautia_massiliensis
102. GGB9614_SGB15049
103. Dielma_fastidiosa
104. Veillonella_dispar
105. Actinomyces_SGB17132
