feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info,rank
s__TM7_phylum_sp_oral_taxon_352,4,3.7941402398172306,0.9543859649122807,0.9919839679358717,0.8878504672897196,0.9599198396793587,1,1,1,1,1
s__Granulicatella_SGB8255,4,3.7588259976256824,0.887719298245614,0.9819639278557114,0.9532710280373832,0.935871743486974,1,1,1,1,2
s__Clostridiaceae_bacterium_Marseille_Q4149,4,3.517822331004031,0.8070175438596492,0.8817635270541082,0.9252336448598131,0.9038076152304609,1,1,1,1,3
s__Agathobaculum_butyriciproducens,4,3.5002633566854975,0.9649122807017544,0.9899799599198397,0.5794392523364487,0.9659318637274549,1,1,1,1,4
s__Odoribacter_splanchnicus,4,3.2927660206459812,0.9964912280701754,1.0,0.47663551401869164,0.8196392785571143,1,1,1,1,5
s__Dialister_hominis,4,3.113338137169568,0.8210526315789474,0.9799599198396793,0.44859813084112155,0.8637274549098196,1,1,1,1,6
s__Lachnospira_pectinoschiza,4,3.092111161164763,0.9192982456140351,0.9839679358717435,0.2990654205607477,0.8897795591182365,1,1,1,1,7
s__Alistipes_dispar,4,3.0065609494115297,0.8807017543859649,0.7114228456913827,0.5887850467289719,0.8256513026052104,1,1,1,1,8
s__Streptococcus_australis,4,3.0050011812442725,0.8982456140350877,0.9979959919839679,0.1869158878504673,0.9218436873747495,1,1,1,1,9
s__Blautia_caecimuris,4,2.9359629572310713,0.8456140350877193,0.35070140280561124,0.7476635514018692,0.9919839679358717,1,1,1,1,10
s__GGB9760_SGB15374,3,2.870287878593718,0.9824561403508771,0.9719438877755511,0.9158878504672897,0.0,1,1,1,0,11
s__Clostridium_sp_AT4,3,2.8483883655160787,0.0,0.9759519038076152,0.9626168224299065,0.9098196392785571,0,1,1,1,12
s__Alistipes_putredinis,3,2.785571142284569,1.0,0.9298597194388778,0.0,0.8557114228456913,1,1,0,1,13
s__Phocaeicola_plebeius,3,2.7254883598973647,0.0,0.9599198396793587,0.9439252336448598,0.8216432865731462,0,1,1,1,14
s__Streptococcus_anginosus,3,2.72222713996611,0.9578947368421052,0.969939879759519,0.794392523364486,0.0,1,1,1,0,15
s__Negativibacillus_massiliensis,3,2.7114853415635993,0.7789473684210526,0.9418837675350702,0.9906542056074766,0.0,1,1,1,0,16
s__Actinomyces_sp_ICM47,3,2.699314418310305,0.8315789473684211,0.9178356713426854,0.0,0.9498997995991983,1,1,0,1,17
s__Roseburia_faecis,3,2.6515993127425537,0.9473684210526316,0.9378757515030061,0.7663551401869159,0.0,1,1,1,0,18
s__Alistipes_communis,3,2.618263975072624,0.9894736842105263,0.9278557114228457,0.7009345794392523,0.0,1,1,1,0,19
s__Streptococcus_mutans,3,2.6041064585310973,0.7964912280701755,0.9939879759519038,0.0,0.8136272545090181,1,1,0,1,20
s__Clostridium_SGB6179,3,2.579063488511701,0.9789473684210527,0.9739478957915831,0.6261682242990654,0.0,1,1,1,0,21
s__Gordonibacter_pamelaeae,3,2.5586335813124856,0.9298245614035088,0.9559118236472945,0.6728971962616823,0.0,1,1,1,0,22
s__Veillonella_parvula,3,2.5251624744816734,0.0,0.717434869739479,0.8317757009345794,0.9759519038076152,0,1,1,1,23
s__Adlercreutzia_equolifaciens,3,2.516622029104939,0.0,0.9859719438877755,0.6168224299065421,0.9138276553106213,0,1,1,1,24
s__Haemophilus_parainfluenzae,3,2.5011845629281186,0.9157894736842105,0.9218436873747495,0.6635514018691588,0.0,1,1,1,0,25
s__Faecalibacterium_prausnitzii,3,2.50109564924241,0.0,0.7434869739478958,0.8598130841121495,0.8977955911823647,0,1,1,1,26
s__Phocaeicola_dorei,3,2.500477590695409,0.0,0.8697394789579158,0.7850467289719626,0.845691382765531,0,1,1,1,27
s__Eubacterium_sulci,3,2.495882994058292,0.7824561403508772,0.8176352705410822,0.0,0.8957915831663327,1,1,0,1,28
s__Anaerotruncus_colihominis,3,2.491918416271796,0.0,0.9318637274549099,0.5981308411214954,0.9619238476953907,0,1,1,1,29
s__GGB9758_SGB15368,3,2.474406757440114,0.0,0.8797595190380761,0.8130841121495327,0.781563126252505,0,1,1,1,30
s__Phocaeicola_coprocola,3,2.4637873878598318,0.0,0.8957915831663327,0.7102803738317758,0.8577154308617234,0,1,1,1,31
s__Eubacterium_hominis,3,2.4633477481278345,0.8421052631578947,0.6633266533066132,0.0,0.9579158316633266,1,1,0,1,32
s__Akkermansia_muciniphila,3,2.450545951716517,0.0,0.9659318637274549,0.5327102803738317,0.9519038076152304,0,1,1,1,33
s__GGB9559_SGB14969,3,2.4501203751986678,0.8701754385964913,0.7575150300601202,0.822429906542056,0.0,1,1,1,0,34
s__Allisonella_histaminiformans,3,2.449804872903702,0.8105263157894737,0.6392785571142284,1.0,0.0,1,1,1,0,35
s__Vescimonas_coprocola,3,2.418188007429846,0.9929824561403509,0.9579158316633266,0.4672897196261683,0.0,1,1,1,0,36
s__Eubacterium_ventriosum,3,2.409289935831657,0.9614035087719298,0.9338677354709419,0.514018691588785,0.0,1,1,1,0,37
s__Clostridium_innocuum,3,2.3609760264914152,0.9754385964912281,0.5350701402805611,0.8504672897196262,0.0,1,1,1,0,38
s__Enterococcus_faecalis,3,2.3509636094619144,0.0,0.8637274549098196,0.6074766355140186,0.8797595190380761,0,1,1,1,39
s__Ruminococcus_callidus,3,2.2951410609380756,0.9333333333333333,0.9879759519038076,0.3738317757009346,0.0,1,1,1,0,40
s__Lacrimispora_amygdalina,3,2.284868803026614,0.0,0.7354709418837675,0.5514018691588785,0.9979959919839679,0,1,1,1,41
s__Pseudoflavonifractor_gallinarum,3,2.270223674106698,0.6842105263157895,0.8476953907815631,0.7383177570093458,0.0,1,1,1,0,42
s__Bacteroides_thetaiotaomicron,3,2.241511059502182,0.0,0.8156312625250501,0.4579439252336449,0.9679358717434869,0,1,1,1,43
s__Streptococcus_gordonii,3,2.2333451950630234,0.0,0.6132264529058116,0.6822429906542056,0.9378757515030061,0,1,1,1,44
s__Blautia_faecis,3,2.2074803813233945,0.0,0.9138276553106213,0.4018691588785047,0.8917835671342685,0,1,1,1,45
s__Phascolarctobacterium_faecium,3,2.18279549753713,0.0,0.8396793587174349,0.3551401869158879,0.9879759519038076,0,1,1,1,46
