feature,coefficient,abs_coefficient
s__Allisonella_histaminiformans,-0.20856803966130902,0.20856803966130902
s__Negativibacillus_massiliensis,-0.2004520864673418,0.2004520864673418
s__GGB2982_SGB3964,0.19565441243948456,0.19565441243948456
s__Megamonas_funiformis,0.18774668260994432,0.18774668260994432
s__Clostridium_sp_AT4,0.1871661387029288,0.1871661387029288
s__Granulicatella_SGB8255,-0.17248315006095538,0.17248315006095538
s__Phocaeicola_plebeius,-0.15991594318519908,0.15991594318519908
s__Lachnospira_eligens,-0.15524503499685988,0.15524503499685988
s__Clostridiaceae_bacterium_Marseille_Q4149,-0.15457882504386655,0.15457882504386655
s__GGB9760_SGB15374,0.15369801691796087,0.15369801691796087
s__Ruminococcus_gnavus,0.13765071229063555,0.13765071229063555
s__GGB51441_SGB71759,-0.1369147668414127,0.1369147668414127
s__TM7_phylum_sp_oral_taxon_352,-0.13470329847663293,0.13470329847663293
s__Barnesiella_intestinihominis,0.1315727891146028,0.1315727891146028
s__Phocea_massiliensis,-0.12387666487729108,0.12387666487729108
s__Faecalibacterium_prausnitzii,0.12300471749126836,0.12300471749126836
s__Clostridium_innocuum,-0.11441395454457534,0.11441395454457534
s__Veillonella_dispar,-0.11293010955660798,0.11293010955660798
s__Veillonella_parvula,0.11007463959439974,0.11007463959439974
s__GGB9559_SGB14969,-0.10896927123730438,0.10896927123730438
s__GGB9758_SGB15368,0.1078136844278246,0.1078136844278246
s__Lawsonibacter_hominis,0.10106053413621725,0.10106053413621725
s__Streptococcus_anginosus,0.09927571819444128,0.09927571819444128
s__Phocaeicola_dorei,0.09568551816965574,0.09568551816965574
s__Lachnospiraceae_bacterium_OF09_6,-0.09332735814695318,0.09332735814695318
s__Roseburia_faecis,0.09149366902953908,0.09149366902953908
s__Bacteroides_intestinalis,-0.0874223267020259,0.0874223267020259
s__Blautia_caecimuris,-0.08526289150812966,0.08526289150812966
s__Pseudoflavonifractor_gallinarum,-0.07805913736916416,0.07805913736916416
s__GGB9359_SGB14334,0.07736173764581501,0.07736173764581501
s__Brotolimicola_acetigignens,-0.07681474751409888,0.07681474751409888
s__Phocaeicola_coprocola,0.07571548088845008,0.07571548088845008
s__Alistipes_communis,0.07443767646374362,0.07443767646374362
s__GGB9524_SGB14924,0.07178237039421223,0.07178237039421223
s__Streptococcus_gordonii,0.06996868553899527,0.06996868553899527
s__Gordonibacter_pamelaeae,0.06950279240885646,0.06950279240885646
s__Haemophilus_parainfluenzae,-0.06889179522594487,0.06889179522594487
s__GGB9708_SGB15234,-0.06722609095800001,0.06722609095800001
s__GGB33586_SGB53517,0.06303365522614013,0.06303365522614013
s__Eubacterium_sp_AF34_35BH,-0.06085865826661574,0.06085865826661574
s__Clostridium_SGB6179,-0.06044389245658399,0.06044389245658399
