feature,coefficient,abs_coefficient
s__GGB2982_SGB3964,0.1757009856203517,0.1757009856203517
s__Megamonas_funiformis,0.16743563541100878,0.16743563541100878
s__Allisonella_histaminiformans,-0.166129122740343,0.166129122740343
s__Clostridium_sp_AT4,0.159288256833028,0.159288256833028
s__Negativibacillus_massiliensis,-0.15058094485239945,0.15058094485239945
s__GGB9760_SGB15374,0.1433387781271388,0.1433387781271388
s__TM7_phylum_sp_oral_taxon_352,-0.1348760376829573,0.1348760376829573
s__Lachnospira_eligens,-0.1337529403750354,0.1337529403750354
s__Clostridiaceae_bacterium_Marseille_Q4149,-0.1298393718247329,0.1298393718247329
s__Granulicatella_SGB8255,-0.12806046418723843,0.12806046418723843
s__Phocaeicola_plebeius,-0.12365723107827001,0.12365723107827001
s__Streptococcus_anginosus,0.10655525810386433,0.10655525810386433
s__Barnesiella_intestinihominis,0.1036952834661641,0.1036952834661641
s__GGB51441_SGB71759,-0.10128032580670869,0.10128032580670869
s__Ruminococcus_gnavus,0.08787239175247026,0.08787239175247026
s__Clostridium_innocuum,-0.08061256583616583,0.08061256583616583
s__Phocea_massiliensis,-0.07791170706204478,0.07791170706204478
s__Faecalibacterium_prausnitzii,0.07641631903009553,0.07641631903009553
s__Veillonella_dispar,-0.07511290000551958,0.07511290000551958
s__GGB9758_SGB15368,0.07245037196724635,0.07245037196724635
s__GGB9524_SGB14924,0.06665057768146594,0.06665057768146594
s__Roseburia_faecis,0.06642504172602147,0.06642504172602147
s__Blautia_caecimuris,-0.06382688372340531,0.06382688372340531
s__Phocaeicola_dorei,0.05519156167210928,0.05519156167210928
s__Agathobaculum_butyriciproducens,-0.05440984597144149,0.05440984597144149
s__Bacteroides_intestinalis,-0.05285697469994103,0.05285697469994103
s__Phocaeicola_coprocola,0.05204694389046765,0.05204694389046765
s__Veillonella_parvula,0.051363932046278794,0.051363932046278794
s__Lawsonibacter_hominis,0.05068079766142008,0.05068079766142008
s__Anaerotruncus_colihominis,0.045419449165108615,0.045419449165108615
s__Gordonibacter_pamelaeae,0.0433535994233053,0.0433535994233053
s__Enterococcus_faecalis,0.042042596580889366,0.042042596580889366
s__Eubacterium_rectale,-0.040628093972658104,0.040628093972658104
s__Ruminococcus_callidus,0.03984109289392466,0.03984109289392466
s__Streptococcus_gordonii,0.03930596131327483,0.03930596131327483
s__Odoribacter_splanchnicus,0.03924251411983428,0.03924251411983428
s__GGB3278_SGB4328,-0.03903193216845433,0.03903193216845433
s__Lacrimispora_amygdalina,0.0382146227323807,0.0382146227323807
s__Adlercreutzia_equolifaciens,-0.037747836382339965,0.037747836382339965
s__Pseudoflavonifractor_gallinarum,-0.03660262452203831,0.03660262452203831
s__Eubacterium_sp_AF34_35BH,-0.03553877553826618,0.03553877553826618
s__Alistipes_communis,0.03520342333754934,0.03520342333754934
s__Eubacterium_ventriosum,0.03480465690356022,0.03480465690356022
s__Phascolarctobacterium_faecium,-0.032086802971917454,0.032086802971917454
s__Vescimonas_coprocola,0.03205189308123088,0.03205189308123088
s__Akkermansia_muciniphila,0.031149227264771005,0.031149227264771005
s__Clostridium_SGB6179,-0.029223478368809494,0.029223478368809494
s__Lachnospira_pectinoschiza,-0.027268678875592724,0.027268678875592724
s__GGB9708_SGB15234,-0.02580829967761551,0.02580829967761551
s__Dialister_hominis,-0.025802828901246005,0.025802828901246005
s__GGB33586_SGB53517,0.025277211863440143,0.025277211863440143
s__Massiliimalia_massiliensis,0.019545151383787988,0.019545151383787988
s__Alistipes_dispar,-0.018994407997634258,0.018994407997634258
s__Enterocloster_clostridioformis,0.018635420431101814,0.018635420431101814
s__Brotolimicola_acetigignens,-0.017726497574321983,0.017726497574321983
s__GGB9359_SGB14334,0.0165642056222842,0.0165642056222842
s__Haemophilus_parainfluenzae,-0.01516835809172624,0.01516835809172624
s__GGB9559_SGB14969,-0.014667273375188332,0.014667273375188332
s__Streptococcus_parasanguinis,-0.014443846237876149,0.014443846237876149
s__Parasutterella_SGB9260,-0.01341691698364781,0.01341691698364781
s__Gemmiger_formicilis,0.013376642135533749,0.013376642135533749
s__Collinsella_aerofaciens,0.013284161967424499,0.013284161967424499
s__Lachnospiraceae_bacterium_CLA_AA_H244,-0.012682779821942129,0.012682779821942129
s__Luoshenia_tenuis,0.011795309421076752,0.011795309421076752
s__Bacteroides_thetaiotaomicron,0.009511032542937971,0.009511032542937971
s__Lactobacillus_crispatus,0.009284626502479456,0.009284626502479456
s__Bacteroides_cellulosilyticus,0.00783205552415762,0.00783205552415762
s__Eggerthella_lenta,-0.0071271736641444995,0.0071271736641444995
s__GGB3109_SGB4121,0.006052028833846815,0.006052028833846815
s__Zhenpiania_hominis,0.003332508587506888,0.003332508587506888
s__Bifidobacterium_longum,-0.0032733834714335037,0.0032733834714335037
s__Lachnospiraceae_bacterium_OF09_6,-0.0027577166710937716,0.0027577166710937716
s__Enterocloster_bolteae,0.0018942119521511355,0.0018942119521511355
s__Eisenbergiella_massiliensis,-0.00017914489069797618,0.00017914489069797618
