feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
s__Alistipes_putredinis,0.04638750153790283,4531.0,0.3640265731214462,0.3640265731214462,0.7204528870914999,4.024797292219655,2.442677222193226,up,0.1858477904339497
s__Odoribacter_splanchnicus,0.0031395581147844794,4863.0,0.45796163693877234,0.45796163693877234,2.0702526049581187,2.084730479848747,0.49641144220828776,up,0.1858477904339497
s__Vescimonas_coprocola,0.024102044883022998,4622.0,0.38574070450676234,0.38574070450676234,0.0,1.1509060968719955,-0.2259301338674252,up,0.1858477904339497
s__Alistipes_communis,0.0132979482733648,4698.0,0.48063948535021517,0.48063948535021517,0.0,1.215556897952107,-0.3816968652251771,up,0.1858477904339497
s__Bacteroides_faecis,0.00915892635359834,2943.0,0.17175116617809208,-0.17175116617809208,-0.40905969132544884,0.5404651675325058,0.7176405104403923,down,0.1858477904339497
s__GGB9760_SGB15374,0.037638748342644454,4561.0,0.504695257183542,0.504695257183542,2.34780225496817,1.1953428707141152,0.23481919399717677,up,0.1858477904339497
s__Clostridium_SGB6179,0.022686298218521698,3056.0,0.16816415375704663,-0.16816415375704663,0.0,-1.8504942116851237,-1.364374200560634,down,0.1858477904339497
s__Clostridium_innocuum,0.02881816574428014,3088.0,0.34933768222713335,-0.34933768222713335,-1.1621147174953068,0.9776873544940482,2.1879197387892626,down,0.1858477904339497
s__Gordonibacter_massiliensis,0.004222789078973528,2855.0,0.29703677265962364,-0.29703677265962364,0.0,-3.0900042287641787,-2.637896759707854,down,0.1858477904339497
s__Bacteroides_salyersiae,0.025593768790767763,3072.0,0.10706522118822535,-0.10706522118822535,-0.9832197064482942,0.2506516581397162,0.49550632889945984,down,0.1858477904339497
s__Agathobaculum_butyriciproducens,0.010131825753538213,2955.0,0.26855685574431803,-0.26855685574431803,-0.15771723985398298,4.567904148764366,5.095591474127469,down,0.1858477904339497
s__Eubacterium_ventriosum,0.023208501331670312,4627.0,0.3919452374616781,0.3919452374616781,0.0,1.4409687254792996,-0.2344967552247924,up,0.1858477904339497
s__Streptococcus_anginosus,0.020539676452891842,4643.0,0.3664263643484202,0.3664263643484202,0.0,0.17502814485507945,-0.8045625625804322,up,0.1858477904339497
