feature,mi_score
s__TM7_phylum_sp_oral_taxon_348,0.1033481477370104
s__Lacrimispora_amygdalina,0.09185346065408795
s__Bacteroides_xylanisolvens,0.09117281444712622
s__Blautia_wexlerae,0.06384680459015613
s__Blautia_caecimuris,0.05827641513431825
s__Blautia_SGB4815,0.05203707086837461
s__Phascolarctobacterium_faecium,0.048671468857545364
s__bacterium_210917_DFI_7_65,0.04605523485586227
s__Anaerostipes_hadrus,0.044489529969724106
s__Clostridium_sp_AM22_11AC,0.04415020933628533
s__GGB2653_SGB3574,0.04293985868321082
s__GGB12798_SGB135773,0.041133036613230534
s__Veillonella_parvula,0.04023012879855803
s__Roseburia_intestinalis,0.037368434071874734
s__Clostridium_fessum,0.036276662314131736
s__Clostridium_sp_AM33_3,0.03510573864320832
s__Bacteroides_thetaiotaomicron,0.034659392345468776
s__Agathobaculum_butyriciproducens,0.033270791737390226
s__Parabacteroides_goldsteinii,0.032821371132493615
s__Anaerotruncus_colihominis,0.032494334132151304
s__TM7_phylum_sp_oral_taxon_352,0.030963156653001978
s__Eubacterium_hominis,0.028501047858950912
s__GGB51647_SGB4348,0.028159553639747426
s__Ruminococcus_bromii,0.027894203078192792
s__Akkermansia_muciniphila,0.02785747426679741
s__Actinomyces_sp_ICM47,0.027608933089127152
s__Blautia_hansenii,0.027503179609433825
s__Phocaeicola_massiliensis,0.026304434213757277
s__Bifidobacterium_dentium,0.026216176959528603
s__Clostridium_symbiosum,0.024947951914550348
s__Alistipes_indistinctus,0.024796975500416263
s__Streptococcus_gordonii,0.02426380690997232
s__Granulicatella_SGB8255,0.023762407408572717
s__Bacteroides_ovatus,0.023236912919893493
s__Ruminococcus_sp_AF13_28,0.023107887913762948
s__Simiaoa_sunii,0.022940570626647006
s__Schaalia_odontolytica,0.022713978194172313
s__Flavonifractor_plautii,0.022240632426708817
s__Lentihominibacter_hominis,0.02176996195603831
s__Streptococcus_australis,0.021017039327089426
s__Blautia_massiliensis,0.020837801023877223
s__Provencibacterium_massiliense,0.02029878298485932
s__Bacteroides_stercoris,0.01983527393001916
s__Adlercreutzia_equolifaciens,0.019697627383704175
s__Neobittarella_massiliensis,0.01867823695254822
s__Clostridium_sp_AT4,0.01867071398870568
s__Dysosmobacter_welbionis,0.018648285010832044
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.018190893965205346
s__Clostridiaceae_bacterium_Marseille_Q4149,0.0180815379509498
s__GGB3653_SGB4964,0.017956174140163927
s__GGB9715_SGB15265,0.01767358900517646
s__Faecalibacterium_prausnitzii,0.01732320421206701
s__Eubacterium_sulci,0.01720776409662661
s__Faecalimonas_umbilicata,0.017177033477660864
s__Blautia_faecis,0.01648261196280587
s__Lachnospira_pectinoschiza,0.015283415469491857
s__Tyzzerella_nexilis,0.01517024030281
s__Klebsiella_variicola,0.015146350626544347
s__GGB12785_SGB19823,0.01343930503405022
s__Clostridium_sp_Marseille_P3244,0.013438631681983448
s__Enterococcus_faecalis,0.013037875350011996
s__Parabacteroides_merdae,0.012888443366551039
s__Clostridia_bacterium_UC5_1_1D1,0.01275671600006767
s__Dielma_fastidiosa,0.011382069014638896
s__Faecalibacillus_intestinalis,0.011368887143198725
s__Oxalobacter_formigenes,0.011241959222153097
s__Bacteroides_clarus,0.01081513435260395
s__Lentihominibacter_faecis,0.010309846610474072
s__Dialister_hominis,0.010196812751646966
s__Dorea_longicatena,0.009875741207328481
s__Enterocloster_citroniae,0.00958114179508196
s__Phocaeicola_coprocola,0.009471388008857495
s__Alistipes_putredinis,0.009253573193856113
s__Mediterraneibacter_faecis,0.00869880095951725
s__Rothia_mucilaginosa,0.007594086951989487
s__Parasutterella_SGB9260,0.006918141276043732
s__Ruthenibacterium_lactatiformans,0.006010091196167355
s__Phocaeicola_dorei,0.0060094986955752105
s__Escherichia_coli,0.005734216771686285
s__Schaalia_SGB17168,0.005641209735954611
s__Holdemanella_biformis,0.005357178600530421
s__Massiliimalia_massiliensis,0.005218004049591274
s__GGB9597_SGB15022,0.004792232478308733
s__Blautia_obeum,0.004605385123404027
s__GGB9616_SGB15052,0.0043244811823841545
s__GGB9444_SGB14834,0.004240005277474923
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.004188709963021564
s__Alistipes_dispar,0.0041542282489732685
s__Streptococcus_salivarius,0.004050945088414526
s__Phocaeicola_plebeius,0.003846229620541264
s__Odoribacter_splanchnicus,0.0035952976019610894
s__Bifidobacterium_longum,0.003135934467521695
s__GGB9627_SGB15081,0.0023877187193059868
s__Streptococcus_mutans,0.0022978198526539817
s__Klebsiella_oxytoca,0.002234986035613673
s__Eubacterium_rectale,0.001731089974441824
s__GGB9614_SGB15049,0.0016802885691511449
s__Bilophila_wadsworthia,0.0016088451463147635
s__Clostridium_sp_NSJ_42,0.0015347385322972418
s__Enterocloster_clostridioformis,0.001419845514590623
s__Lachnospiraceae_bacterium_AM48_27BH,0.0013869668272494806
s__Intestinibacter_bartlettii,0.0012631114491876705
s__Roseburia_inulinivorans,0.0008735475769880985
s__Eubacterium_ramulus,0.0005880147914554268
s__Mediterraneibacter_glycyrrhizinilyticus,0.0005597601350544323
s__Parabacteroides_gordonii,0.0003777733957919249
s__Leuconostoc_lactis,0.00030710682512569143
s__Anaerotruncus_rubiinfantis,0.0003018279879043462
s__Prevotella_bivia,0.00018764954555261504
s__GGB9758_SGB15368,0.00015040775040042753
s__Lachnoclostridium_SGB4602,0.0
s__Bifidobacterium_pseudolongum,0.0
s__Collinsella_provencensis,0.0
s__GGB4672_SGB6461,0.0
s__Levilactobacillus_brevis,0.0
s__GGB3146_SGB4159,0.0
s__GGB9328_SGB14291,0.0
s__GGB9095_SGB14026,0.0
s__Alkaliflexus_sp_Ai_910,0.0
s__Bifidobacterium_angulatum,0.0
s__GGB4642_SGB6421,0.0
s__GGB9075_SGB13997,0.0
s__Clostridium_SGB4909,0.0
s__GGB3306_SGB4373,0.0
s__GGB4255_SGB53440,0.0
s__Senegalimassilia_faecalis,0.0
s__Catenibacterium_mitsuokai,0.0
s__Bacillus_subtilis,0.0
s__Segatella_hominis,0.0
s__Lachnospiraceae_unclassified_SGB4708,0.0
s__GGB3883_SGB5266,0.0
s__GGB9634_SGB15095,0.0
s__Leuconostoc_carnosum,0.0
s__Diaphorobacter_SGB61891,0.0
s__Lactobacillus_kitasatonis,0.0
s__Companilactobacillus_farciminis,0.0
s__Mogibacterium_timidum,0.0
s__Prevotella_multisaccharivorax,0.0
s__Pseudoramibacter_alactolyticus,0.0
s__Enterococcus_gilvus,0.0
s__Prevotella_buccae,0.0
s__Clostridium_cocleatum,0.0
s__Erysipelatoclostridium_sp_An15,0.0
s__GGB4658_SGB6445,0.0
s__GGB9253_SGB14199,0.0
s__Leclercia_adecarboxylata,0.0
s__Bacteroides_oleiciplenus,0.0
s__Enterococcus_canis,0.0
s__Actinomyces_israelii,0.0
s__Enterococcus_sp_MJM12,0.0
s__GGB3738_SGB5072,0.0
s__Macrococcus_caseolyticus,0.0
s__GGB3627_SGB4906,0.0
s__Clostridiaceae_bacterium_CLA_AA_H274,0.0
s__GGB9542_SGB14948,0.0
s__GGB4586_SGB6344,0.0
s__GGB9266_SGB14215,0.0
s__GGB47174_SGB65105,0.0
s__GGB6565_SGB9274,0.0
s__GGB3169_SGB4183,0.0
s__GGB9634_SGB15097,0.0
s__GGB3548_SGB4744,0.0
s__Limosilactobacillus_reuteri,0.0
s__Porphyromonas_asaccharolytica,0.0
s__Duodenibacillus_massiliensis,0.0
s__GGB9529_SGB53518,0.0
s__Aggregatibacter_kilianii,0.0
s__Ruminococcaceae_bacterium_Marseille_P2935,0.0
s__GGB29535_SGB42321,0.0
s__GGB44238_SGB61642,0.0
s__Butyrivibrio_crossotus,0.0
s__GGB9117_SGB14050,0.0
s__GGB3303_SGB4364,0.0
s__Enterococcus_dispar,0.0
s__Enterobacter_bugandensis,0.0
s__Selenomonas_noxia,0.0
s__Eggerthellaceae_bacterium_SWB101512,0.0
s__Selenomonas_SGB5880,0.0
s__Hallella_seregens,0.0
s__Proteus_mirabilis,0.0
s__Prevotella_SGB1687,0.0
s__Campylobacter_concisus,0.0
s__Dysgonomonas_capnocytophagoides,0.0
s__Mitsuokella_sp_oral_taxon_131,0.0
s__Selenomonas_felix,0.0
s__Enterobacter_mori,0.0
s__GGB9271_SGB14223,0.0
s__Citrobacter_koseri,0.0
s__Citrobacter_sp_Res13_Sevr_PEB04_36,0.0
s__Hafnia_alvei,0.0
s__Enterococcus_viikkiensis,0.0
s__Obesumbacterium_proteus,0.0
s__Kluyvera_sichuanensis,0.0
s__Pluralibacter_gergoviae,0.0
s__Hafnia_paralvei,0.0
s__Dysosmobacter_sp_Marseille_Q4140,0.0
s__GGB9457_SGB14849,0.0
s__GGB3057_SGB4059,0.0
s__GGB9641_SGB15117,0.0
