feature,importance
s__Odoribacter_splanchnicus,0.009787136784717303
s__Streptococcus_australis,0.009025948316975738
s__Megamonas_funiformis,0.006797571603136825
s__Streptococcus_mutans,0.005929751668710046
s__TM7_phylum_sp_oral_taxon_352,0.005840436169088073
s__Agathobaculum_butyriciproducens,0.005564948319626939
s__Ruminococcus_callidus,0.005385738412393173
s__Adlercreutzia_equolifaciens,0.005106848906587601
s__Lachnospira_pectinoschiza,0.005078482497339144
s__Granulicatella_SGB8255,0.005057722269218975
s__Dialister_hominis,0.005002267018298933
s__Bacteroides_xylanisolvens,0.004838253202318245
s__Clostridium_sp_AT4,0.0043196330673238165
s__Clostridium_SGB6179,0.004252178266621499
s__GGB9760_SGB15374,0.0042497141824071
s__Streptococcus_anginosus,0.004238255428996322
s__Roseburia_inulinivorans,0.004231419291152472
s__Akkermansia_muciniphila,0.00412634776715973
s__Clostridium_sp_AM22_11AC,0.003953181291677473
s__GGB2982_SGB3964,0.0038829299767402787
s__Phocaeicola_plebeius,0.003841940888261836
s__Vescimonas_coprocola,0.0038085588657078982
s__Gordonibacter_pamelaeae,0.003771233597082552
s__Streptococcus_salivarius,0.0035910060859680243
s__Desulfovibrio_desulfuricans,0.0035474736689360027
s__Bacteroides_salyersiae,0.0035469198322885262
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.003482898345028099
s__Blautia_SGB4815,0.0033913842869045586
s__Blautia_stercoris,0.0033387901635041056
s__Negativibacillus_massiliensis,0.0032976532468887714
s__GGB9614_SGB15049,0.003296989122796653
s__Roseburia_faecis,0.0032942004301323045
s__Lawsonibacter_asaccharolyticus,0.003276476864403082
s__Eubacterium_ventriosum,0.0032457102780652156
s__Anaerotruncus_colihominis,0.0032206064417915495
s__Alistipes_putredinis,0.0031809090139482696
s__Alistipes_communis,0.0031473094000862966
s__Bacteroides_stercoris,0.0031251417331559415
s__Bacteroides_caccae,0.00308342189768943
s__Haemophilus_parainfluenzae,0.0030426500463057718
s__bacterium_210917_DFI_7_65,0.003005187807403009
s__Actinomyces_sp_ICM47,0.0029801917715901235
s__Ruminococcus_bromii,0.0029776947176997108
s__Blautia_faecis,0.0029461220928044744
s__Romboutsia_timonensis,0.0028898153616276597
s__Intestinibacter_bartlettii,0.002881281410450513
s__Parabacteroides_goldsteinii,0.0028722887877554665
s__Clostridium_sp_AM33_3,0.0028676686638527916
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.0028451805303717124
s__Clostridium_fessum,0.002843230293760466
s__Anaerotignum_faecicola,0.0027991383684601414
s__Actinomyces_SGB17132,0.0027842367665183963
s__Phocaeicola_coprocola,0.002781037901980793
s__Actinomyces_naeslundii,0.0027767084405249413
s__Dorea_longicatena,0.002776516953463763
s__Clostridia_bacterium_UC5_1_1D1,0.0027560122307659913
s__Alistipes_onderdonkii,0.002745681610037495
s__GGB3632_SGB4921,0.0027302248003135497
s__Veillonella_dispar,0.0026638758426028608
s__Clostridiaceae_bacterium_Marseille_Q4149,0.0026567628929329984
s__GGB9758_SGB15368,0.002642217412833245
s__GGB51441_SGB71759,0.0025891465498818394
s__Coprococcus_eutactus,0.0025875524314793235
s__GGB3653_SGB4964,0.0025871864076162103
s__Jutongia_huaianensis,0.002550331243465457
s__Phocaeicola_dorei,0.0025292152356563595
s__Fusicatenibacter_saccharivorans,0.0025093228363135445
s__Lachnospira_eligens,0.002487018275469646
s__Enterococcus_faecalis,0.002481299726702502
s__Streptococcus_parasanguinis,0.0024656200509828234
s__Dysosmobacter_welbionis,0.0024347704040862577
s__Enterocloster_citroniae,0.002432343019890309
s__Ruthenibacterium_lactatiformans,0.002391403342042047
s__Massiliimalia_timonensis,0.0023816579383349225
s__Dielma_fastidiosa,0.0023797704757699384
s__GGB3740_SGB5076,0.0023583534738264226
s__Pseudoflavonifractor_gallinarum,0.0023538169133037355
s__Clostridiales_bacterium_KLE1615,0.0023522406923092093
s__GGB2653_SGB3574,0.002339581141885895
s__Ruminococcus_bicirculans,0.0023374157763819624
s__Phascolarctobacterium_faecium,0.002327500887185226
s__Olsenella_profusa,0.00231483893590825
s__Adlercreutzia_sp_JBNU_10,0.002308550187147998
s__Faecalicatena_contorta,0.002271513958377405
s__GGB2998_SGB3988,0.00224804064295961
s__Blautia_massiliensis,0.0022337432782470017
s__Butyricimonas_virosa,0.002216115161183121
s__GGB3490_SGB4664,0.002214374866106993
s__Coprococcus_comes,0.0022071450563294222
s__Lachnospiraceae_bacterium,0.0022052939743230767
s__Bacteroides_uniformis,0.0021851351439951122
s__Eubacterium_sulci,0.0021744782580592047
s__Bacteroides_thetaiotaomicron,0.002163367324661289
s__Blautia_obeum,0.0021615693236229066
s__Oribacterium_sinus,0.0021437616128082066
s__Parabacteroides_merdae,0.0021220771606215607
s__GGB3109_SGB4121,0.0021186893883482264
s__Bilophila_wadsworthia,0.002116627189218734
s__Brotolimicola_acetigignens,0.0021131979932782793
s__Anaerostipes_hadrus,0.0021131506979314586
s__Lachnospiraceae_bacterium_oral_taxon_096,0.002109115171924563
s__Clostridium_leptum,0.0021006912673998475
s__GGB12785_SGB19823,0.0020915090663650273
s__Faecalibacterium_SGB15346,0.0020769570577833076
s__Eubacterium_rectale,0.0020762082252619423
s__Bacteroides_intestinalis,0.0020723640511674094
s__Oscillibacter_valericigenes,0.0020635274774508023
s__Mediterraneibacter_glycyrrhizinilyticus,0.002053734333387661
s__Eggerthella_lenta,0.00204154071266422
s__Guopingia_tenuis,0.002034728060291657
s__Bacteroides_ovatus,0.002034041796203758
s__Anaerofustis_stercorihominis,0.0020334654914173312
s__Ruminococcus_gnavus,0.0020288897465111652
s__Faecalicatena_fissicatena,0.002022308294047624
s__GGB9359_SGB14334,0.0020110783550853755
s__Bacteroides_clarus,0.002008982922960293
s__Schaalia_odontolytica,0.0020062319097569423
s__Coprococcus_catus,0.002003850524623425
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.001987495571213492
s__Clostridiaceae_bacterium_AF18_31LB,0.001987266411422313
s__Blautia_wexlerae,0.0019857129449006926
s__GGB9559_SGB14969,0.001981727212419113
s__Barnesiella_intestinihominis,0.0019816151700311094
s__Rothia_SGB49305,0.0019789803362068696
s__Enterocloster_hominis,0.0019668400198546293
s__Clostridiales_bacterium,0.0019551206962994663
s__Clostridium_symbiosum,0.001945215762287577
s__Bittarella_massiliensis,0.0019450934542500405
s__Faecalibacterium_prausnitzii,0.0019324122343206845
s__Erysipelatoclostridium_ramosum,0.0019024104451605926
s__Roseburia_sp_AM59_24XD,0.0019021991643185876
s__Simiaoa_sunii,0.0018999490474290118
s__Lacrimispora_amygdalina,0.0018996330800052886
s__GGB9762_SGB15377,0.0018891693119356366
s__Streptococcus_mitis,0.001887534456433055
s__Turicibacter_sanguinis,0.0018800046509232246
s__Bianquea_renquensis,0.0018621995162803634
s__Clostridium_SGB6177,0.0018551975161167807
s__Vescimonas_SGB15087,0.0018331377132958942
s__Phocaeicola_massiliensis,0.0018182808406505635
s__Amedibacillus_dolichus,0.0018118357450622891
s__Veillonella_parvula,0.0018110783180336559
s__Gordonibacter_massiliensis,0.0017971862657472936
s__Clostridium_sp_AF20_17LB,0.001796307388366592
s__Alistipes_dispar,0.0017946673417297346
s__Streptococcus_vestibularis,0.0017567686227068595
s__Lawsonibacter_hominis,0.00175418290257901
s__Mediterraneibacter_sp_NSJ_151,0.0017417981461760542
s__GGB9715_SGB15265,0.0017166133344341285
s__Ruminococcus_torques,0.0017115585201740624
s__Streptococcus_sanguinis,0.0017110970717280887
s__Wujia_chipingensis,0.0017061508215620675
s__Fusobacterium_nucleatum,0.0017000625688566257
s__Limosilactobacillus_oris,0.0016944969356732145
s__Clostridiaceae_bacterium,0.0016895416996375937
s__Schaalia_SGB17168,0.0016866413866331216
s__Rothia_mucilaginosa,0.0016864962421940422
s__Anaerobutyricum_soehngenii,0.0016792753259846987
s__Lentihominibacter_hominis,0.0016663368490679692
s__Gemmiger_formicilis,0.001660845783556895
s__Candidatus_Saccharibacteria_unclassified_SGB19846,0.0016569973424888757
s__Collinsella_aerofaciens,0.001646641398025272
s__Veillonella_atypica,0.0016406294731420232
s__Bacteroides_faecis,0.0016381533146401042
s__Lachnospiraceae_bacterium_AM48_27BH,0.0016264914830416894
s__Alistipes_sp_AF17_16,0.0016200969180522322
s__Alloscardovia_omnicolens,0.0016196792296964664
s__Candidatus_Cibionibacter_quicibialis,0.0016187827531569823
s__Eubacterium_hominis,0.0016183788966854602
s__Ruminococcus_SGB4421,0.0016174644071081583
s__Blautia_faecicola,0.0016134109454251009
s__Ruminococcus_sp_AF13_28,0.0015986910887239828
s__Lactobacillus_gasseri,0.0015983283372097477
s__Klebsiella_pneumoniae,0.0015907888411752298
s__Scardovia_wiggsiae,0.0015801718583557454
s__Mediterraneibacter_butyricigenes,0.0015800023386661906
s__Lactobacillus_crispatus,0.00157834621583636
s__GGB3510_SGB4687,0.0015776576492942233
s__Saccharomyces_cerevisiae,0.0015770713187167932
s__Blautia_producta,0.0015652414697268932
s__Allisonella_histaminiformans,0.0015583183347420556
s__Solobacterium_SGB6829,0.0015531064720097204
s__Sellimonas_intestinalis,0.0015499084414427268
s__Alistipes_indistinctus,0.0015456285047698013
s__Roseburia_hominis,0.0015419887989607326
s__Oscillospiraceae_bacterium_CLA_AA_H250,0.001538439148125427
s__GGB13493_SGB15238,0.0015374838570505072
s__Acidaminococcus_massiliensis,0.0015364955854287787
s__GGB9730_SGB15291,0.0015346119209459271
s__Alistipes_finegoldii,0.0015341153122281515
s__Evtepia_gabavorous,0.0015298187797297604
s__Holdemania_filiformis,0.0015283369037289581
s__Mediterraneibacter_faecis,0.001518936489334387
s__Streptococcus_gordonii,0.0015160167540962514
s__Lancefieldella_parvula,0.001508700260515043
s__Anaeromassilibacillus_senegalensis,0.001499725549513318
s__Bacteroides_fragilis,0.0014871924681813618
s__Eubacterium_limosum,0.0014869247958340852
s__GGB12798_SGB135773,0.0014844188992727903
s__Dorea_formicigenerans,0.001479023113426279
s__Dorea_sp_AF36_15AT,0.0014774236080888918
s__Leuconostoc_lactis,0.0014725145424473323
s__Eubacterium_sp_AF34_35BH,0.0014718121105002726
s__Fusicatenibacter_sp_CLA_AA_H277,0.001465977747728599
s__Enterocloster_clostridioformis,0.0014587993875657325
s__Paraprevotella_clara,0.0014526772408243074
s__Phocea_massiliensis,0.001450079432485655
s__GGB3740_SGB5077,0.0014430705875385164
s__GGB9708_SGB15234,0.001442824503570423
s__Wansuia_hejianensis,0.0014420646548291352
s__Phocaeicola_vulgatus,0.0014348933766142947
s__Gemella_sanguinis,0.001431187376826803
s__Christensenella_hongkongensis,0.0014304231331869791
s__Neobittarella_massiliensis,0.001428165829028728
s__Clostridium_SGB4750,0.0014280063283920992
s__GGB36331_SGB15121,0.001427851945647833
s__GGB9619_SGB15067,0.0014274373851461048
s__GGB4552_SGB6276,0.0014242955437246733
s__GGB3363_SGB4448,0.0014160545656842982
s__Blautia_sp_MCC283,0.0014140902780384519
s__Actinomyces_sp_ph3,0.0014119145402206696
s__Hungatella_hathewayi,0.0014099432766747095
s__GGB9063_SGB13982,0.001405943336344674
s__Clostridium_sp_AM42_4,0.0014048686388483094
s__Bacteroides_finegoldii,0.0014025174018423698
s__GGB3278_SGB4328,0.0013927923390160497
s__Holdemanella_biformis,0.0013926903138273803
