feature,correlation,correlation_raw,p_value,direction,p_adj
o__OFGB9583,0.23995576844399055,-0.23995576844399055,0.0037696623317722998,negative,0.9537245699383919
o__Selenomonadales,0.20265868619052174,0.20265868619052174,0.014848930291227925,positive,0.9918149131098983
o__OFGB2837,0.2001627421995113,-0.2001627421995113,0.016154146894945577,negative,0.9918149131098983
o__OFGB58251,0.18312894056972528,-0.18312894056972528,0.028019811115464408,negative,0.9918149131098983
o__Candidatus_Saccharibacteria_unclassified,0.17906239151769582,-0.17906239151769582,0.03176076338375724,negative,0.9918149131098983
o__OFGB1425,0.17458467294943675,-0.17458467294943675,0.03636182291566935,negative,0.9918149131098983
o__OFGB1217,0.17348250235043478,0.17348250235043478,0.03757684057779231,positive,0.9918149131098983
o__OFGB1473,0.16926297432641188,-0.16926297432641188,0.042548875027606264,negative,0.9918149131098983
o__OFGB618,0.16257374468837849,0.16257374468837849,0.051552213289833074,positive,0.9918149131098983
o__OFGB79291,0.1582547220739446,-0.1582547220739446,0.05816373456146414,negative,0.9918149131098983
o__OFGB82363,0.15175790516987672,0.15175790516987672,0.06940798092318846,positive,0.9918149131098983
o__OFGB4559,0.15152670862718218,-0.15152670862718218,0.06983857119493443,negative,0.9918149131098983
o__Firmicutes_unclassified,0.14435047596688358,-0.14435047596688358,0.08431838907152034,negative,0.9918149131098983
o__OFGB1226,0.14322138276514082,0.14322138276514082,0.0868012560512214,positive,0.9918149131098983
o__OFGB1779,0.13946190975962824,0.13946190975962824,0.09549160698402831,positive,0.9918149131098983
o__Tissierellales,0.13834249791373238,-0.13834249791373238,0.09820828933269629,negative,0.9918149131098983
o__OFGB75721,0.13693174469683336,0.13693174469683336,0.10171860218168985,positive,0.9918149131098983
o__OFGB79237,0.134208346480947,-0.134208346480947,0.10877401785404517,negative,0.9918149131098983
o__OFGB3070,0.13365680127973473,-0.13365680127973473,0.11024845900908532,negative,0.9918149131098983
o__OFGB9120,0.13349928725303237,-0.13349928725303237,0.11067239491417444,negative,0.9918149131098983
o__Bacteroidales,0.1287282638434376,0.1287282638434376,0.12412660983406347,positive,0.9918149131098983
o__Pasteurellales,0.1257550118073099,-0.1257550118073099,0.13312890309553663,negative,0.9918149131098983
o__Veillonellales,0.12245928691180613,-0.12245928691180613,0.14368276414426354,negative,0.9918149131098983
o__OFGB3038,0.12232894148423692,0.12232894148423692,0.14411285383716554,positive,0.9918149131098983
o__OFGB10312,0.12129344170074942,0.12129344170074942,0.14756436499527698,positive,0.9918149131098983
o__OFGB73223,0.12026335080701983,0.12026335080701983,0.15105950967773377,positive,0.9918149131098983
o__OFGB1872,0.12011866177931121,-0.12011866177931121,0.15155540361449296,negative,0.9918149131098983
o__OFGB10314,0.11835470351141635,-0.11835470351141635,0.15770004654605332,negative,0.9918149131098983
o__OFGB1262,0.11657321670370845,0.11657321670370845,0.16409339070357515,positive,0.9918149131098983
o__OFGB1474,0.11450998607797334,-0.11450998607797334,0.17173701917404965,negative,0.9918149131098983
o__Clostridia_unclassified,0.1093729358137018,-0.1093729358137018,0.19190816630680102,negative,0.9918149131098983
o__OFGB2960,0.1069823766462616,-0.1069823766462616,0.20186153539613585,negative,0.9918149131098983
o__Caulobacterales,0.10584548773769226,-0.10584548773769226,0.20672360671635148,negative,0.9918149131098983
o__OFGB2959,0.10544378606674441,0.10544378606674441,0.20846149179788076,positive,0.9918149131098983
o__OFGB7869,0.10424902930087707,-0.10424902930087707,0.21369223939452475,negative,0.9918149131098983
o__OFGB1211,0.10198812103873019,0.10198812103873019,0.22384571668765285,positive,0.9918149131098983
o__Verrucomicrobiales,0.1006265859201736,0.1006265859201736,0.2301224175488493,positive,0.9918149131098983
o__OFGB2898,0.10034083652364797,0.10034083652364797,0.23145529617663593,positive,0.9918149131098983
o__OFGB2949,0.10001149979462211,0.10001149979462211,0.23299820627524742,positive,0.9918149131098983
o__OFGB24517,0.09920510402505398,0.09920510402505398,0.23680652211710174,positive,0.9918149131098983
o__Candidatus_Nanogingivales,0.09852358476693111,-0.09852358476693111,0.240058863302933,negative,0.9918149131098983
o__OFGB2952,0.0965043003544587,0.0965043003544587,0.24987767269294672,positive,0.9918149131098983
