feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
o__OFGB1217,4,1.3742271960952959,1,1,1,1
o__Firmicutes_unclassified,4,1.2126592846695832,1,1,1,1
o__Selenomonadales,3,0.8012479887593165,0,1,1,1
o__Candidatus_Saccharibacteria_unclassified,3,0.6008702215243883,0,1,1,1
o__Bacteroidales,3,0.5413606898222952,0,1,1,1
o__Veillonellales,3,0.4507881618492204,0,1,1,1
o__OFGB3038,3,0.38365056779693385,0,1,1,1
o__OFGB9583,2,0.5108823405000941,0,1,0,1
o__OFGB618,2,0.5011778104588682,0,0,1,1
o__OFGB75721,2,0.43998719991539426,0,0,1,1
o__Tissierellales,2,0.37140764922896075,0,0,1,1
o__OFGB79291,2,0.35302744771786787,0,1,0,1
o__Pasteurellales,2,0.2899389069968944,0,1,0,1
o__OFGB3048,2,0.20552032517817986,0,1,1,0
o__Clostridia_unclassified,2,0.19074196102371113,0,1,1,0
o__Acidaminococcales,2,0.17711093864199615,0,1,1,0
o__OFGB1765,2,0.1496884286314961,0,1,1,0
o__OFGB1380,2,0.1462346035483615,0,1,1,0
o__Eubacteriales,2,0.06610566068464585,0,1,1,0
o__Verrucomicrobiales,2,0.0624675024787728,0,1,1,0
