feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
f__Synergistaceae,0.4421334302654807,2187.0,0.008032819772838746,-0.008032819772838746,0.0,-2.2371158749254283,-2.2140675367423666,down,0.9473606692385368
f__Rikenellaceae,0.1531234724121893,2714.0,0.19190843473097208,0.19190843473097208,0.17374216809941603,5.4601203966545615,4.840615810553909,up,0.9473606692385368
f__Prevotellaceae,0.5558759414638932,2230.0,0.029225737377338818,-0.029225737377338818,-0.11865130168914967,1.509194546027683,1.6385618076199133,down,0.9473606692385368
f__Porphyromonadaceae,0.5475006301001722,2516.0,0.24400997557438617,0.24400997557438617,0.0,-2.7565798360883087,-3.1647437619835723,up,0.9473606692385368
f__Tannerellaceae,0.8936644804635717,2404.0,0.04163642999537705,-0.04163642999537705,-0.03379486210423594,4.376825138643673,4.480561712172462,down,0.9643861299966602
f__Bacteroidaceae,0.6132532452402786,2493.0,0.14016426350551334,0.14016426350551334,0.04643817325077094,7.72960916549782,7.4847664256320074,up,0.9473606692385368
f__Coriobacteriaceae,0.8903621709657936,2405.0,0.051177250786439386,0.051177250786439386,0.0598572601337786,3.857943205839698,3.7011526647087725,up,0.9643861299966602
f__Methanobacteriaceae,0.6884154196466701,2275.0,0.02473460011607065,-0.02473460011607065,0.0,-1.1269754028213843,-1.0851936401552456,down,0.9473606692385368
f__Eubacteriales_unclassified,0.2925052045061357,2624.0,0.24966426215422113,0.24966426215422113,0.1707430867121864,5.4423492056900145,4.834901313210263,up,0.9473606692385368
f__Oscillospiraceae,0.2774529026705692,2632.0,0.146802405463385,0.146802405463385,0.02057179891979798,8.317459777943348,8.199700331337752,up,0.9473606692385368
f__Odoribacteraceae,0.013719750541063778,2962.0,0.40774922062191077,0.40774922062191077,1.3335785889037193,2.2649927125882994,0.8987101615627244,up,0.9473606692385368
f__Acidaminococcaceae,0.29828864825799517,2122.0,0.16249016549586973,-0.16249016549586973,-0.20331689715079487,3.228856069321783,3.7175187773970184,down,0.9473606692385368
f__FGB3012,0.43718834117988226,2185.0,0.08267916185759544,-0.08267916185759544,0.0,-0.2964526146308012,-0.15587093848676598,down,0.9473606692385368
f__Lachnospiraceae,0.4521190283851557,2191.0,0.014643761057149846,-0.014643761057149846,-0.0023722236143970776,8.776888315015697,8.791332025080042,down,0.9473606692385368
f__Clostridiaceae,0.3201441635535237,2133.0,0.12003742742351083,-0.12003742742351083,-0.03236376942360775,6.084335261242121,6.222366706427478,down,0.9473606692385368
f__Desulfovibrionaceae,0.6369139851174195,2485.0,0.11325120757509462,0.11325120757509462,0.20749225771039728,2.4880466159963754,2.1547511421664964,up,0.9473606692385368
f__Christensenellaceae,0.9933343107255256,2374.0,0.01675865297765906,-0.01675865297765906,0.0,-0.13760150743793945,-0.09121423557796138,down,1.0
f__Eubacteriales_Family_XIII_Incertae_Sedis,0.6731037481206118,2473.0,0.017272164336452418,-0.017272164336452418,-0.019795088685987512,2.7318908033213547,2.7696331685954716,down,0.9473606692385368
f__Lactobacillaceae,0.28491182076548194,2628.0,0.16446160555988115,0.16446160555988115,0.4405603789384871,2.1525965223108288,1.5861371799134139,up,0.9473606692385368
f__Eggerthellaceae,0.9600221411919261,2384.0,0.01799515721329753,-0.01799515721329753,-0.007547439164208836,4.917814332868715,4.943609224551911,down,0.9762937029070435
f__Erysipelotrichaceae,0.760417987347328,2298.0,0.09975093049540223,-0.09975093049540223,-0.04609781665149506,5.1564075641528335,5.323828568040085,down,0.9505412661333491
f__Eubacteriales_incertae_sedis,0.741403859972898,2451.0,0.12623274522225894,0.12623274522225894,0.15812362267961888,4.08677355839147,3.662525198554191,up,0.950496219073955
f__Streptococcaceae,0.2289689028650751,2083.0,0.26444451130974317,-0.26444451130974317,-0.17346517500876088,4.730164202916037,5.33450882561108,down,0.9473606692385368
