feature,importance
f__Odoribacteraceae,0.021614153055751706
f__Firmicutes_unclassified,0.01810823997548736
f__Candidatus_Saccharibacteria_unclassified,0.015746689097216323
f__Selenomonadaceae,0.015361159529679124
f__Barnesiellaceae,0.014593927325289002
f__Enterococcaceae,0.014406971175619855
f__Bacteria_unclassified,0.013839967250329014
f__FGB1217,0.01245811165503781
f__Acidaminococcaceae,0.01190666552295544
f__Oscillospiraceae,0.011623439390538746
f__Veillonellaceae,0.011372682904395309
f__Actinomycetaceae,0.01113116422163383
f__Candidatus_Saccharimonadaceae,0.010957061669404944
f__FGB79291,0.010828149491980563
f__Eubacteriaceae,0.01072092615048115
f__Corynebacteriaceae,0.010643547518257005
f__Akkermansiaceae,0.01062554784779984
f__Christensenellaceae,0.010516019291013612
f__FGB1380,0.010249799749466992
f__FGB3048,0.010101346228475068
f__Pasteurellaceae,0.009952405463485737
f__Erysipelotrichaceae,0.009893745058861937
f__Clostridia_unclassified,0.009879175505046002
f__Peptostreptococcaceae,0.009797205936628752
f__Eubacteriales_Family_XIII_Incertae_Sedis,0.009727424308595693
f__Sutterellaceae,0.009351741447460649
f__Enterobacteriaceae,0.008853444740113233
f__Bacteroidaceae,0.008844851033081549
f__Bifidobacteriaceae,0.008831048226991633
f__FGB3047,0.008797094919206931
f__Lactobacillaceae,0.008758501879457013
f__Eggerthellaceae,0.008757996145470182
f__Synergistaceae,0.008684688625331494
f__FGB1292,0.008586083192785268
f__Lachnospiraceae,0.008485011301537783
f__FGB3057,0.00842159353614567
f__Carnobacteriaceae,0.008200370110583445
f__Streptococcaceae,0.008172342043010147
f__Tannerellaceae,0.008131734063551966
f__Eubacteriales_unclassified,0.008098258061626366
f__Eubacteriales_incertae_sedis,0.008081564137418049
f__FGB9583,0.008055249250488056
f__Turicibacteraceae,0.008049256310498014
f__Clostridiaceae,0.007982263202868354
f__FGB4806,0.007976686097446966
f__Micrococcaceae,0.007945506498897562
f__Rikenellaceae,0.00770662716991345
f__Coprobacillaceae,0.007570983222335353
f__Candidatus_Nanoperiomorbaceae,0.007375974361140608
f__FGB3038,0.007329359229945539
f__FGB38642,0.007308729225145652
f__Prevotellaceae,0.007271513711737702
f__FGB9491,0.00718439402548184
f__FGB1226,0.007043915677994733
f__Atopobiaceae,0.006941972677145147
f__FGB4559,0.006937582618343989
f__FGB1765,0.00692856713261813
f__Coriobacteriaceae,0.006886656359230917
f__Peptoniphilaceae,0.006731320640094783
f__Desulfovibrionaceae,0.006707443049479633
f__Fusobacteriaceae,0.0063317881324219455
f__FGB1425,0.0063186484439036765
f__FGB2960,0.006234088318479201
f__Oxalobacteraceae,0.006201187282544907
f__Propionibacteriaceae,0.0061552612148252014
f__Candidatus_Nanogingivalaceae,0.005938205441024925
f__Bacillales_unclassified,0.0059096475128706
f__FGB10477,0.005742620598785618
f__FGB1776,0.005638179322012802
f__FGB1011,0.005510639522071234
f__FGB618,0.005431829878034158
f__FGB1474,0.005140882293077235
f__FGB14936,0.005138461565973476
f__FGB1359,0.00481583887578035
f__FGB45628,0.004703260201405316
f__FGB82363,0.004667800901406514
f__FGB75721,0.004571743651047081
f__FGB72924,0.0044634892793180515
f__Bianqueaceae,0.004338275270236815
f__FGB2997,0.0043035371153036135
f__FGB3023,0.004243547661812731
f__FGB58251,0.004189594921887998
f__Candidatus_Nanosynbacteraceae,0.004053610782394819
f__FGB1201,0.003915809341541941
f__FGB2915,0.0038449718259979697
f__FGB1262,0.0037919875500364
f__FGB32970,0.0037832448511982463
f__Porphyromonadaceae,0.00377985635246728
f__FGB1473,0.0037733883079818227
f__FGB79245,0.003749361571368827
f__FGB1354,0.0036917986254333206
f__Nitrobacteraceae,0.0036694937561515405
f__FGB15212,0.0035639536075988774
f__FGB1227,0.003385478692701129
f__FGB2837,0.003377196418707015
f__FGB9989,0.0033227272572486483
f__FGB2982,0.003186829976534948
f__Aerococcaceae,0.0031489996028875697
f__FGB3054,0.003145028819878349
f__FGB3072,0.0030834884476708883
f__FGB667,0.003063667132653759
f__FGB1325,0.003051535921395628
f__FGB77988,0.0029568432021016815
f__FGB45503,0.002868176898992718
f__Muribaculaceae,0.0027396111078684866
f__FGB3625,0.0027347992185579213
f__FGB45555,0.002682052785353454
f__FGB9120,0.0026691927918053326
f__FGB9272,0.0026674202001630413
f__FGB3069,0.002639113869881218
f__FGB4605,0.0026372741378193603
f__FGB2834,0.0025951147398858526
f__FGB3012,0.00258810030406892
f__FGB3004,0.002582946148847735
f__Bacteroidales_unclassified,0.0024769009725269975
f__Yeguiaceae,0.0024610970205262176
f__FGB2930,0.0023617219744306865
f__FGB16911,0.0023418747185974947
f__FGB1779,0.00233981710601828
f__FGB10021,0.0023036084798623837
f__Feifaniaceae,0.0023029901149337773
f__FGB4355,0.002275857146867953
f__FGB1374,0.0022637625666262966
f__FGB1249,0.0022313366774235513
f__FGB2404,0.0022284927182001685
f__FGB3062,0.002217413642292288
f__FGB31455,0.0022162242882346767
f__FGB1126,0.0022061562139899273
f__FGB28775,0.002199473882097254
f__FGB1347,0.0021690782074973423
f__Neisseriaceae,0.002110324549658281
f__FGB2898,0.0020995875896937053
f__FGB529,0.0020855024977597092
f__FGB2801,0.002058216086033156
