feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
g__Negativibacillus,4,1.9758996093768986,1,1,1,1
g__Faecalicatena,4,1.8135607704996728,1,1,1,1
g__Barnesiella,4,1.7654594327445412,1,1,1,1
g__GGB2982,4,1.4695359298228474,1,1,1,1
g__Vescimonas,4,1.293930659805944,1,1,1,1
g__GGB36331,3,1.0186259891175395,1,1,0,1
g__Megamonas,3,0.9112427791549988,0,1,1,1
g__Faecalibacterium,3,0.7169492090897602,0,1,1,1
g__Allisonella,3,0.6111620097786711,0,1,1,1
g__Butyricimonas,3,0.4738892090357444,0,1,1,1
g__Candidatus_Saccharibacteria_unclassified,3,0.4669796226441824,0,1,1,1
g__GGB9522,2,0.9691188240934966,1,0,0,1
g__GGB9559,2,0.6491238442915657,0,0,1,1
g__Christensenella,2,0.4052622580468177,0,1,1,0
g__Lachnospira,2,0.3578671120977174,0,1,0,1
g__GGB51441,2,0.31390793899458763,0,1,1,0
g__Massiliimalia,2,0.27080635787914326,0,1,1,0
g__Eisenbergiella,2,0.2360310466658966,0,1,1,0
g__Lachnospiraceae_unclassified,2,0.19679649978901656,0,1,1,0
g__Anaerotruncus,2,0.17697310362508223,0,1,1,0
