feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
g__Pyramidobacter,0.940064576558677,2353.0,0.041580957557570526,0.041580957557570526,0.0,-1.557791612718175,-1.6437970969728923,up,0.9783288818095964
g__Alistipes,0.1642281820907161,2705.0,0.19202187568530252,0.19202187568530252,0.17157019442615407,5.554319751128258,4.93154616203457,up,0.9713065209366739
g__Prevotella,0.8410870596635687,2420.0,0.013221777492471307,0.013221777492471307,0.0,-1.3860785245890983,-1.4310129190512142,up,0.9713065209366739
g__Porphyromonas,0.24384707558413554,2651.0,0.34743180175134075,0.34743180175134075,0.0,-1.2142701552967063,-1.5748484557608657,up,0.9713065209366739
g__Parabacteroides,0.8870617623982282,2406.0,0.03922176096240577,-0.03922176096240577,-0.031205877510586875,4.473671233437867,4.571492063653123,down,0.9783288818095964
g__Phocaeicola,0.8574529080473072,2415.0,0.02093290797793548,0.02093290797793548,0.010623685758249693,6.424473420209448,6.377338782754664,up,0.9713065209366739
g__Collinsella,0.760417987347328,2298.0,0.03211120222895625,-0.03211120222895625,-0.0443745034518725,3.466039638615078,3.574304778204667,down,0.9713065209366739
g__Methanobrevibacter,0.9300991057930379,2393.0,0.030481324749299463,0.030481324749299463,0.0,-1.0348264130464906,-1.0862300605094308,up,0.9783288818095964
g__Bacteroides,0.6639808714034726,2476.0,0.13429824871891646,0.13429824871891646,0.05028852445344307,7.245797431927683,6.997579386300835,up,0.9713065209366739
g__Gemmiger,0.7731757818719381,2441.0,0.0917599668613499,0.0917599668613499,0.188847681712911,3.2740918564891732,2.872380983386252,up,0.9713065209366739
g__Oscillospiraceae_unclassified,0.6103231142801342,2494.0,0.13587242299701394,0.13587242299701394,0.30710836128461527,2.4998247526227297,2.0205087491455984,up,0.9713065209366739
g__Odoribacter,0.2241561552329554,2663.0,0.19409046674837743,0.19409046674837743,1.0696797189006468,1.30115174277627,0.6199008996230942,up,0.9713065209366739
g__Phascolarctobacterium,0.7731757818719381,2302.0,0.0035980355790022124,-0.0035980355790022124,-0.007691393517219074,2.5714758829294335,2.5852217181315895,down,0.9713065209366739
g__Vescimonas,0.03112981582878748,2888.0,0.379032863519064,0.379032863519064,0.0,1.1283568251128044,-0.24292374553341844,up,0.9713065209366739
g__Ruthenibacterium,0.7069589076056451,2462.0,0.10518416463930373,0.10518416463930373,0.08588246335595666,4.262464535807586,4.0161283245179655,up,0.9713065209366739
g__GGB9715,0.3941371825614728,2576.0,0.14461688268498268,0.14461688268498268,0.3255722087689178,2.3690418501330623,1.8904523369987578,up,0.9713065209366739
g__Ruminococcus,0.6132532452402786,2493.0,0.0013552802256549094,-0.0013552802256549094,-0.0010213338784569308,5.75446943013089,5.758544661039055,down,0.9713065209366739
g__GGB9480,0.48282811088822,2203.0,0.0797131821123979,-0.0797131821123979,0.0,-0.19960651983660693,-0.06494058700610507,down,0.9713065209366739
g__Blautia,0.7477250267908757,2294.0,0.02069813857733012,-0.02069813857733012,-0.005660395017144497,6.678885173149655,6.705141165117125,down,0.9713065209366739
g__Evtepia,0.24048350970692567,2653.0,0.20124659240577472,0.20124659240577472,0.4824000229266434,1.9999705449440082,1.4315506639344415,up,0.9713065209366739
