feature,importance
g__Enterocloster,0.008554644056558407
g__Ruminococcus,0.008451154677408423
g__Candidatus_Saccharibacteria_unclassified,0.008287124033340233
g__Megamonas,0.007727701258982848
g__Negativibacillus,0.0077273737148410345
g__Odoribacter,0.007529065631748183
g__Allisonella,0.007350007804303681
g__Vescimonas,0.007049901026176619
g__Barnesiella,0.006980546233406435
g__Faecalicatena,0.006964276343930597
g__GGB2982,0.006757060603368379
g__Lactobacillus,0.00659036990306988
g__Faecalibacterium,0.006586200208970985
g__Gordonibacter,0.006412066984402543
g__Dialister,0.006028093619773404
g__Butyricimonas,0.005727914382850333
g__Lachnospiraceae_unclassified,0.005406949198596419
g__Anaerotruncus,0.005385284591863953
g__Christensenella,0.005349865109926036
g__Guopingia,0.0053397606238278165
g__Lachnospira,0.005131514242652989
g__Clostridia_unclassified,0.005018035287594856
g__GGB2998,0.005009791131507223
g__Eisenbergiella,0.0049842228268372965
g__Agathobaculum,0.004973695636856972
g__GGB36331,0.004942194009617707
g__GGB51441,0.004933549414876283
g__Romboutsia,0.004920802130116776
g__Akkermansia,0.004811036958426591
g__Massiliimalia,0.004654574161813674
g__Brotolimicola,0.0046141691250235215
g__Holdemania,0.004582151167418424
g__Fusicatenibacter,0.004576367128623377
g__Porphyromonas,0.00453454451328099
g__Oscillibacter,0.0044870473306765565
g__GGB9760,0.0044610508314344285
g__Ruthenibacterium,0.004407230453132272
g__Dysosmobacter,0.004379065234430474
g__GGB3632,0.004270818967067016
g__Anaerotignum,0.004253202782381364
g__GGB52130,0.004247705158239313
g__GGB4456,0.004235523027832335
g__Clostridiaceae_unclassified,0.004201871710439217
g__Roseburia,0.004180137424243203
g__Bacteria_unclassified,0.004151461920943248
g__Faecalibacillus,0.004027042258428239
g__Schaalia,0.003976876705362985
g__Eubacterium,0.003939843559951442
g__GGB9559,0.003931605842493271
g__Anaerostipes,0.003907955500758689
g__Enterococcus,0.003845157167116344
g__GGB9491,0.003835275892740889
g__Dorea,0.003747734759103017
g__Luoshenia,0.0037326945736940844
g__Eubacteriaceae_unclassified,0.0037101396760639794
g__Lacrimispora,0.0036854705293154653
g__Gemella,0.003661585137564073
g__GGB12798,0.003625830074018581
g__Streptococcus,0.0036131829790891244
g__Evtepia,0.003578427376682717
g__Gemmiger,0.0035297962018716465
g__Mediterraneibacter,0.003517299287787629
g__Alistipes,0.003483835313173844
g__Parabacteroides,0.0034728251312510275
g__Eggerthella,0.003428587860897552
g__Intestinibacter,0.003412012026687532
g__Neobittarella,0.0033814906666707065
g__Hungatella,0.0033716817161901086
g__GGB3345,0.0033409775811673297
g__Rothia,0.00333894992029346
g__Escherichia,0.0033133763741313416
g__GGB9787,0.003288437873801611
g__Anaeromassilibacillus,0.0032660264580503
g__Wansuia,0.0032329667160881288
g__GGB3321,0.003232576931131939
g__Blautia,0.003229283437464418
g__GGB9719,0.0032270145039315456
g__Scardovia,0.0032237101247819602
g__GGB9444,0.0032226416474163667
g__Lawsonibacter,0.003196606062232828
g__Tyzzerella,0.0031535558257199782
