feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
s__Negativibacillus_massiliensis,4,1.7972380242079105,1,1,1,1
s__TM7_phylum_sp_oral_taxon_352,4,1.544699089411758,1,1,1,1
s__Clostridiaceae_bacterium_Marseille_Q4149,4,1.5298439550670944,1,1,1,1
s__Ruminococcus_callidus,4,1.474435825481,1,1,1,1
s__Actinomyces_naeslundii,3,1.3033269670853516,1,1,0,1
s__Vescimonas_coprocola,3,1.278561326976386,1,1,0,1
s__GGB9559_SGB14969,3,1.2518765399497485,1,1,0,1
s__Anaerotruncus_colihominis,3,1.1190896989539925,1,1,0,1
s__Roseburia_faecis,3,0.8550983881204639,1,1,1,0
s__Barnesiella_intestinihominis,3,0.8297254995239014,0,1,1,1
s__Dialister_hominis,3,0.8152964807709593,1,1,1,0
s__Faecalicatena_fissicatena,3,0.7735698063075791,1,1,1,0
s__Desulfovibrio_desulfuricans,2,1.5102416828511134,1,0,0,1
s__Gordonibacter_pamelaeae,2,1.1555992913685882,1,0,0,1
s__GGB2982_SGB3964,2,1.0457844497929765,1,0,1,0
s__Megamonas_funiformis,2,0.7733801773008742,0,0,1,1
s__Streptococcus_australis,2,0.7378477605730112,1,1,0,0
s__GGB9760_SGB15374,2,0.5150358390181397,0,0,1,1
s__Lachnospira_eligens,2,0.1920005189141056,0,1,1,0
s__Gemmiger_formicilis,2,0.18430247630730204,0,1,1,0
