taxonomy_level,biomarker,original_name,n_methods,integrated_score
Order,OFGB1217,o__OFGB1217,4,1.3742271960952959
Order,Firmicutes_unclassified,o__Firmicutes_unclassified,4,1.2126592846695832
Order,Selenomonadales,o__Selenomonadales,3,0.8012479887593165
Order,Candidatus_Saccharibacteria_unclassified,o__Candidatus_Saccharibacteria_unclassified,3,0.6008702215243883
Order,Bacteroidales,o__Bacteroidales,3,0.5413606898222952
Order,Veillonellales,o__Veillonellales,3,0.4507881618492204
Order,OFGB3038,o__OFGB3038,3,0.38365056779693385
Order,OFGB9583,o__OFGB9583,2,0.5108823405000941
Order,OFGB618,o__OFGB618,2,0.5011778104588682
Order,OFGB75721,o__OFGB75721,2,0.43998719991539426
Order,Tissierellales,o__Tissierellales,2,0.37140764922896075
Order,OFGB79291,o__OFGB79291,2,0.35302744771786787
Order,Pasteurellales,o__Pasteurellales,2,0.2899389069968944
Order,OFGB3048,o__OFGB3048,2,0.20552032517817986
Order,Clostridia_unclassified,o__Clostridia_unclassified,2,0.19074196102371113
Order,Acidaminococcales,o__Acidaminococcales,2,0.17711093864199615
Order,OFGB1765,o__OFGB1765,2,0.1496884286314961
Order,OFGB1380,o__OFGB1380,2,0.1462346035483615
Order,Eubacteriales,o__Eubacteriales,2,0.06610566068464585
Order,Verrucomicrobiales,o__Verrucomicrobiales,2,0.0624675024787728
Family,Barnesiellaceae,f__Barnesiellaceae,4,1.7315206368104428
Family,Odoribacteraceae,f__Odoribacteraceae,4,1.5023194464281515
Family,Firmicutes_unclassified,f__Firmicutes_unclassified,4,1.3726026557210085
Family,FGB79291,f__FGB79291,3,1.0602453956842182
Family,Selenomonadaceae,f__Selenomonadaceae,3,0.7745922123953948
Family,FGB1217,f__FGB1217,3,0.7256919640399853
Family,Candidatus_Saccharibacteria_unclassified,f__Candidatus_Saccharibacteria_unclassified,3,0.6535121585234651
Family,Pasteurellaceae,f__Pasteurellaceae,3,0.4593746598914823
Family,Veillonellaceae,f__Veillonellaceae,3,0.3799440742865335
Family,FGB9583,f__FGB9583,2,1.5486483021852926
Family,FGB618,f__FGB618,2,0.46939235113376376
Family,Peptoniphilaceae,f__Peptoniphilaceae,2,0.45589347952862225
Family,FGB3048,f__FGB3048,2,0.2530116842437814
Family,Acidaminococcaceae,f__Acidaminococcaceae,2,0.1468977605918903
Family,FGB1380,f__FGB1380,2,0.12897193774473015
Family,Akkermansiaceae,f__Akkermansiaceae,2,0.09485857052279885
Family,FGB2837,f__FGB2837,1,0.4161262644581424
Family,FGB58251,f__FGB58251,1,0.38698099051974594
Family,FGB1425,f__FGB1425,1,0.36415625361990367
Family,FGB1473,f__FGB1473,1,0.36357986577101736
Genus,Negativibacillus,g__Negativibacillus,4,1.9758996093768986
Genus,Faecalicatena,g__Faecalicatena,4,1.8135607704996728
Genus,Barnesiella,g__Barnesiella,4,1.7654594327445412
Genus,GGB2982,g__GGB2982,4,1.4695359298228474
Genus,Vescimonas,g__Vescimonas,4,1.293930659805944
Genus,GGB36331,g__GGB36331,3,1.0186259891175395
Genus,Megamonas,g__Megamonas,3,0.9112427791549988
Genus,Faecalibacterium,g__Faecalibacterium,3,0.7169492090897602
Genus,Allisonella,g__Allisonella,3,0.6111620097786711
Genus,Butyricimonas,g__Butyricimonas,3,0.4738892090357444
Genus,Candidatus_Saccharibacteria_unclassified,g__Candidatus_Saccharibacteria_unclassified,3,0.4669796226441824
Genus,GGB9522,g__GGB9522,2,0.9691188240934966
Genus,GGB9559,g__GGB9559,2,0.6491238442915657
Genus,Christensenella,g__Christensenella,2,0.4052622580468177
Genus,Lachnospira,g__Lachnospira,2,0.3578671120977174
Genus,GGB51441,g__GGB51441,2,0.31390793899458763
Genus,Massiliimalia,g__Massiliimalia,2,0.27080635787914326
Genus,Eisenbergiella,g__Eisenbergiella,2,0.2360310466658966
Genus,Lachnospiraceae_unclassified,g__Lachnospiraceae_unclassified,2,0.19679649978901656
Genus,Anaerotruncus,g__Anaerotruncus,2,0.17697310362508223
Species,Negativibacillus_massiliensis,s__Negativibacillus_massiliensis,4,1.7972380242079105
Species,TM7_phylum_sp_oral_taxon_352,s__TM7_phylum_sp_oral_taxon_352,4,1.544699089411758
Species,Clostridiaceae_bacterium_Marseille_Q4149,s__Clostridiaceae_bacterium_Marseille_Q4149,4,1.5298439550670944
Species,Ruminococcus_callidus,s__Ruminococcus_callidus,4,1.474435825481
Species,Actinomyces_naeslundii,s__Actinomyces_naeslundii,3,1.3033269670853516
Species,Vescimonas_coprocola,s__Vescimonas_coprocola,3,1.278561326976386
Species,GGB9559_SGB14969,s__GGB9559_SGB14969,3,1.2518765399497485
Species,Anaerotruncus_colihominis,s__Anaerotruncus_colihominis,3,1.1190896989539925
Species,Roseburia_faecis,s__Roseburia_faecis,3,0.8550983881204639
Species,Barnesiella_intestinihominis,s__Barnesiella_intestinihominis,3,0.8297254995239014
Species,Dialister_hominis,s__Dialister_hominis,3,0.8152964807709593
Species,Faecalicatena_fissicatena,s__Faecalicatena_fissicatena,3,0.7735698063075791
Species,Desulfovibrio_desulfuricans,s__Desulfovibrio_desulfuricans,2,1.5102416828511134
Species,Gordonibacter_pamelaeae,s__Gordonibacter_pamelaeae,2,1.1555992913685882
Species,GGB2982_SGB3964,s__GGB2982_SGB3964,2,1.0457844497929765
Species,Megamonas_funiformis,s__Megamonas_funiformis,2,0.7733801773008742
Species,Streptococcus_australis,s__Streptococcus_australis,2,0.7378477605730112
Species,GGB9760_SGB15374,s__GGB9760_SGB15374,2,0.5150358390181397
Species,Lachnospira_eligens,s__Lachnospira_eligens,2,0.1920005189141056
Species,Gemmiger_formicilis,s__Gemmiger_formicilis,2,0.18430247630730204
