feature,coefficient,abs_coefficient
o__Firmicutes_unclassified,-0.2055893636643444,0.2055893636643444
o__OFGB1765,-0.13648228561514336,0.13648228561514336
o__OFGB38642,0.13492927597827994,0.13492927597827994
o__Selenomonadales,0.12949145078384747,0.12949145078384747
o__OFGB75721,0.11887422063816798,0.11887422063816798
o__OFGB3038,0.10781674117031916,0.10781674117031916
o__OFGB1217,0.10353860381360949,0.10353860381360949
o__OFGB77988,0.09263626746633848,0.09263626746633848
o__Candidatus_Saccharibacteria_unclassified,-0.0884471810879376,0.0884471810879376
o__OFGB3048,-0.08484521547236605,0.08484521547236605
o__Clostridia_unclassified,-0.07390326186463089,0.07390326186463089
o__OFGB1380,0.07328512005268448,0.07328512005268448
o__Candidatus_Nanogingivales,-0.06290503311430823,0.06290503311430823
o__Bacteroidales,0.06190199332089791,0.06190199332089791
o__OFGB45628,-0.05954606351721771,0.05954606351721771
o__OFGB2960,-0.05127294948536979,0.05127294948536979
o__Verrucomicrobiales,0.04902967344530336,0.04902967344530336
o__Coriobacteriales,0.046273002465345256,0.046273002465345256
o__Acidaminococcales,-0.04229185766212465,0.04229185766212465
o__Pasteurellales,-0.03902097244759077,0.03902097244759077
o__Veillonellales,-0.03151257867724823,0.03151257867724823
o__Desulfovibrionales,0.023319282531251567,0.023319282531251567
o__OFGB14936,-0.022055935040520037,0.022055935040520037
o__Burkholderiales,-0.02193179622796756,0.02193179622796756
o__Enterobacterales,0.01880108920704873,0.01880108920704873
o__Synergistales,-0.01215359259136625,0.01215359259136625
o__OFGB4806,-0.010222050961456489,0.010222050961456489
