feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
o__Synergistales,0.38713478088042286,3544.0,0.06277906461455872,-0.06277906461455872,0.0,-2.343608022169967,-2.1782586311124734,down,0.6905647442731868
o__Bacteroidales,0.5005608796472654,4076.0,0.18514524100473012,0.18514524100473012,0.05143857194239334,8.474976256564407,8.178128629673452,up,0.768302745505105
o__Coriobacteriales,0.11467010241723609,4388.0,0.29452720653653985,0.29452720653653985,0.4224686371027583,3.717861964045239,2.7740707257923893,up,0.6515776282847774
o__Eubacteriales,0.23775216128220167,3435.0,0.08279260269532392,-0.08279260269532392,-0.011963115066300758,9.501918978614203,9.581038369747011,down,0.6515776282847774
o__Acidaminococcales,0.19579804609320417,3396.0,0.18103788500639764,-0.18103788500639764,-0.6198166150343818,1.3711500176545048,2.1070185859600112,down,0.6515776282847774
o__Desulfovibrionales,0.3412277324083528,4172.0,0.1613335162459836,0.1613335162459836,0.3244650569602726,2.3677338176043055,1.8908590756373107,up,0.6858877797428422
o__Lactobacillales,0.32959988927674544,3506.0,0.17160897104040182,-0.17160897104040182,-0.09779099747864609,5.192365902785955,5.556525514417141,down,0.6858877797428422
o__Eggerthellales,0.354619016113478,3523.0,0.15061404226432692,-0.15061404226432692,-0.07706744593711447,4.593175289543327,4.845210309714941,down,0.6858877797428422
o__Erysipelotrichales,0.11008171159812104,3291.0,0.28116270806110666,-0.28116270806110666,-0.1242080724800913,5.108864797081151,5.568199218436112,down,0.6515776282847774
o__Enterobacterales,0.8997083423754283,3887.0,0.048218281912083924,0.048218281912083924,0.03800429302030835,5.000671188858521,4.870660589907851,up,0.969971434219589
o__Bifidobacteriales,0.2187431941159773,3418.0,0.18030268326647372,-0.18030268326647372,-0.13543384399250288,5.445762978802215,5.981751741035046,down,0.6515776282847774
o__Candidatus_Saccharimonadales,0.24355876571222057,3440.0,0.1939423195212343,-0.1939423195212343,0.0,-0.6842181859241656,-0.17277836180214687,down,0.6515776282847774
o__OFGB15212,0.8974153898208029,3888.0,0.05567996132583177,0.05567996132583177,0.17737623498900199,0.594200690067641,0.5254574871243289,up,0.969971434219589
o__Candidatus_Saccharibacteria_unclassified,0.0033521543549817753,2830.0,0.4798765572503795,-0.4798765572503795,-1.9522716224385972,0.4628490083887604,1.7911487555826737,down,0.22124218742879717
o__OFGB1226,0.14947871219369385,4341.0,0.3391249710252273,0.3391249710252273,0.0,-2.4288682472507883,-3.0965445007647965,up,0.6515776282847774
o__OFGB1262,0.9111852866911291,3882.0,0.15569273844891965,0.15569273844891965,0.0,-1.2781774029810347,-1.4835992001723672,up,0.969971434219589
o__Selenomonadales,0.2566820959909729,4235.0,0.3737832962329161,0.3737832962329161,0.0,-1.2326834999950225,-2.382570980633192,up,0.6515776282847774
o__OFGB1126,0.4877523477710959,3603.0,0.04562767699323377,-0.04562767699323377,0.0,-3.409706436510439,-3.3453417087284105,down,0.768302745505105
o__Actinomycetales,0.028188231953687318,3085.0,0.29910295889555527,-0.29910295889555527,-0.9821431317125144,0.8905161446966064,1.759123539618447,down,0.5208470755758544
o__Burkholderiales,0.32959988927674544,3506.0,0.11829409708335742,-0.11829409708335742,-0.15799318545856073,2.6851384881802467,2.9959004460410914,down,0.6858877797428422
o__OFGB1776,0.6818360407823518,3701.0,0.043915572073443085,0.043915572073443085,0.0,-0.047451441053451685,-0.17127106788573163,up,0.8333551609562078
o__OFGB14936,0.5515880755070217,3637.0,0.04150371973771855,-0.04150371973771855,0.0,-0.7145630051294491,-0.5819900116315369,down,0.7914089779013789
