feature,importance
o__Eggerthellales,0.03430861668113684
o__Candidatus_Saccharibacteria_unclassified,0.033351898399873736
o__Firmicutes_unclassified,0.029392261017191185
o__Selenomonadales,0.027815818896968804
o__Acidaminococcales,0.026328370441857596
o__OFGB1217,0.024361181350470787
o__Verrucomicrobiales,0.02319357595382688
o__Pasteurellales,0.02274666425624707
o__OFGB38642,0.02222021060505813
o__OFGB1380,0.022030414592151472
o__Coriobacteriales,0.02188742582083949
o__Veillonellales,0.021194085777704423
o__Bacteria_unclassified,0.020429483597994933
o__Enterobacterales,0.019358843305707613
o__Erysipelotrichales,0.018915877015983053
o__Actinomycetales,0.018546377134399012
o__OFGB1765,0.018519249143126082
o__OFGB75721,0.018341765997194275
o__Bacteroidales,0.018317873215909167
o__Candidatus_Nanogingivales,0.01831748219972996
o__Corynebacteriales,0.01827072004298252
o__Micrococcales,0.01826691429134569
o__Burkholderiales,0.018256032381832585
o__Clostridia_unclassified,0.017376418608510632
o__Lactobacillales,0.01728775402137462
o__Candidatus_Saccharimonadales,0.017099116815322984
o__OFGB3048,0.016858470530394087
o__OFGB3047,0.016767892925132387
o__OFGB1292,0.01654551170290741
o__OFGB77988,0.016394266323996803
o__Desulfovibrionales,0.01607550939806266
o__OFGB3038,0.01597424544849615
o__OFGB1226,0.01556006951781624
o__OFGB3057,0.01335119867260951
o__Eubacteriales,0.013305208900390421
o__OFGB45628,0.012965387256837806
o__Bifidobacteriales,0.012434814114599171
o__Bacillales,0.012132965502012285
o__Synergistales,0.011475100551010288
o__Fusobacteriales,0.011450260443879465
o__OFGB14936,0.011373946404375284
o__Propionibacteriales,0.011193589963742217
o__OFGB4806,0.01091410847415791
o__OFGB4605,0.010472427095331634
o__OFGB1262,0.010376896971305935
o__OFGB1011,0.01037360991461791
o__OFGB2960,0.010093918128746007
o__OFGB1325,0.010056195560478891
o__OFGB1354,0.009367895311532093
o__OFGB1126,0.009063506868711399
o__OFGB3023,0.00906049980771114
o__OFGB15212,0.009043749432732298
o__OFGB72924,0.008963172674593954
o__OFGB45503,0.008949871995078403
o__OFGB2997,0.008887443033513994
o__OFGB1227,0.008615047516565317
o__OFGB3062,0.008612165861934798
o__OFGB1776,0.008606872425708203
o__OFGB3069,0.00825440247747288
o__OFGB2915,0.007596786149746126
o__OFGB3072,0.0075907815808020675
o__OFGB1359,0.007544730792098193
o__OFGB32970,0.007221185287986498
o__OFGB2982,0.0068641573397829345
o__OFGB9989,0.006835517951617092
o__OFGB10477,0.006642188126772705
