feature,correlation,correlation_raw,p_value,direction,p_adj
f__Odoribacteraceae,0.2726218889765605,0.2726218889765605,0.00017383280793127506,positive,0.014949621482089656
f__Barnesiellaceae,0.2392085039935699,0.2392085039935699,0.0010407409144206215,positive,0.044751859320086726
f__Candidatus_Saccharibacteria_unclassified,0.2293920888423829,-0.2293920888423829,0.0016842184111477776,negative,0.04828092778623629
f__Carnobacteriaceae,0.19784480503631613,-0.19784480503631613,0.0069448446078396705,negative,0.14931415906855292
f__FGB38642,0.17808830592741245,0.17808830592741245,0.015297239189317916,positive,0.23498896304976735
f__Firmicutes_unclassified,0.169355965419015,-0.169355965419015,0.021191797276445826,negative,0.23498896304976735
f__Pasteurellaceae,0.16876418052083264,-0.16876418052083264,0.021654205420443152,negative,0.23498896304976735
f__Selenomonadaceae,0.1680827794805394,0.1680827794805394,0.02219740250097609,positive,0.23498896304976735
f__Rikenellaceae,0.15951997395452278,0.15951997395452278,0.030089651259937757,positive,0.23498896304976735
f__Streptococcaceae,0.15889754661365565,-0.15889754661365565,0.030746666705511506,negative,0.23498896304976735
f__FGB75721,0.1583722383708197,0.1583722383708197,0.031310634728701624,positive,0.23498896304976735
f__Erysipelotrichaceae,0.14928316748232331,-0.14928316748232331,0.042551363260436764,negative,0.23498896304976735
f__Actinomycetaceae,0.14803013585325364,-0.14803013585325364,0.04433886288279787,negative,0.23498896304976735
f__FGB1226,0.14770568777239795,0.14770568777239795,0.044811810621918406,positive,0.23498896304976735
f__FGB1217,0.1460876834314358,0.1460876834314358,0.04723381102827568,positive,0.23498896304976735
f__FGB3038,0.14563808058251881,0.14563808058251881,0.04792589000722892,positive,0.23498896304976735
f__Fusobacteriaceae,0.1435389115314257,-0.1435389115314257,0.051269959070272535,negative,0.23498896304976735
f__Candidatus_Nanogingivalaceae,0.1432609978297693,-0.1432609978297693,0.051726873472048115,negative,0.23498896304976735
f__FGB77988,0.14314645892875183,0.14314645892875183,0.05191616625518116,positive,0.23498896304976735
f__Akkermansiaceae,0.1272336130906057,0.1272336130906057,0.08437334635049681,positive,0.3628053893071363
f__Micrococcaceae,0.11846804375117292,-0.11846804375117292,0.10825651605791078,negative,0.43000437751378506
f__Bacillales_unclassified,0.11782282135199977,-0.11782282135199977,0.11020548601650293,negative,0.43000437751378506
f__Veillonellaceae,0.11627238274434219,-0.11627238274434219,0.11500117073043088,negative,0.43000437751378506
f__Clostridiaceae,0.11003671359253915,-0.11003671359253915,0.13594876826908944,negative,0.47911287797280927
f__Clostridia_unclassified,0.10911539606039224,-0.10911539606039224,0.13927699941070038,negative,0.47911287797280927
f__FGB45628,0.10504112101348739,-0.10504112101348739,0.15474493820444038,negative,0.49865747983592096
f__Coriobacteriaceae,0.10444614110342558,0.10444614110342558,0.1571080461115704,positive,0.49865747983592096
f__Coprobacillaceae,0.10194154518924985,-0.10194154518924985,0.16735374003586406,negative,0.49865747983592096
f__Lactobacillaceae,0.10175128253248247,0.10175128253248247,0.16815194087490357,positive,0.49865747983592096
f__Candidatus_Saccharimonadaceae,0.10021171339755425,-0.10021171339755425,0.1747153728705855,negative,0.500850735562345
f__FGB3047,0.09636434377264567,0.09636434377264567,0.19194327761975727,positive,0.5246715255386439
f__Sutterellaceae,0.0956600774893855,-0.0956600774893855,0.195226614153914,negative,0.5246715255386439
f__Lachnospiraceae,0.09202381260238791,-0.09202381260238791,0.21283017093863682,negative,0.5331957869376054
f__Bifidobacteriaceae,0.09129554558736139,-0.09129554558736139,0.21648830331076074,negative,0.5331957869376054
f__Acidaminococcaceae,0.09119471744304217,-0.09119471744304217,0.2169982853815836,negative,0.5331957869376054
f__Peptostreptococcaceae,0.08962229360256022,-0.08962229360256022,0.22506263821448946,negative,0.5376496357346137
f__Eggerthellaceae,0.08525454674845764,-0.08525454674845764,0.24856999814606381,negative,0.5690087073171779
f__Eubacteriales_unclassified,0.08474446191267077,0.08474446191267077,0.25142245207038094,positive,0.5690087073171779
f__FGB1765,0.081013700588431,-0.081013700588431,0.272973813535822,negative,0.5961243285034082
f__FGB2960,0.0802946993397947,-0.0802946993397947,0.2772671295364689,negative,0.5961243285034082
f__Eubacteriaceae,0.07804309465592861,0.07804309465592861,0.2910058823579371,positive,0.6104025825068925
f__Eubacteriales_incertae_sedis,0.07464309312634511,0.07464309312634511,0.31259878073081426,positive,0.6395365970927006
f__Atopobiaceae,0.07354839019174364,-0.07354839019174364,0.3197682985463503,negative,0.6395365970927006
f__Bacteria_unclassified,0.07156323773812512,0.07156323773812512,0.3330395211450177,positive,0.6464140108444988
f__Desulfovibrionaceae,0.06964108987537944,0.06964108987537944,0.34622064314363127,positive,0.6464140108444988
f__FGB1380,0.06950864446455199,0.06950864446455199,0.3471408628966523,positive,0.6464140108444988
f__FGB3023,0.06863168807729167,0.06863168807729167,0.35327277336850516,positive,0.6464140108444988
f__FGB72924,0.06706160639954144,0.06706160639954144,0.3644196753648069,positive,0.6529185850286123
f__FGB45503,0.06463316995007348,-0.06463316995007348,0.38208446208645996,negative,0.6676270689842633
f__FGB4605,0.06381446780568573,0.06381446780568573,0.38815527266526934,positive,0.6676270689842633
f__Christensenellaceae,0.06267642634275543,-0.06267642634275543,0.3966902005483203,negative,0.6689285734736381
