feature,n_methods,score,in_mann_whitney,in_random_forest,in_lasso,in_correlation
f__Odoribacteraceae,4,2.1674771453021666,1,1,1,1
f__Firmicutes_unclassified,3,1.054384423198886,0,1,1,1
f__Barnesiellaceae,3,0.811276044952846,0,1,1,1
f__Selenomonadaceae,3,0.76901894589897,0,1,1,1
f__FGB1217,3,0.7470941851817905,0,1,1,1
f__Carnobacteriaceae,3,0.6915098494624862,0,1,1,1
f__Candidatus_Saccharibacteria_unclassified,3,0.6914770484740385,0,1,1,1
f__FGB75721,3,0.5872536387740143,0,1,1,1
f__Pasteurellaceae,3,0.5820141426876086,0,1,1,1
f__Lactobacillaceae,3,0.5191193104912946,0,1,1,1
f__Candidatus_Nanogingivalaceae,3,0.45742134857081473,0,1,1,1
f__Akkermansiaceae,3,0.4079284646840273,0,1,1,1
f__Clostridia_unclassified,3,0.396390843642267,0,1,1,1
f__FGB38642,2,0.5769324798064677,0,0,1,1
f__FGB3038,2,0.4509248768442127,0,0,1,1
f__FGB45628,2,0.3760119687896638,0,0,1,1
f__Rikenellaceae,2,0.36275592817029934,0,1,0,1
f__Streptococcaceae,2,0.36050388332452,0,1,0,1
f__FGB1765,2,0.3599318177343111,0,1,1,0
f__FGB3048,2,0.31899700071734577,0,1,1,0
