feature,coefficient,abs_coefficient
f__Firmicutes_unclassified,-0.25747799905528546,0.25747799905528546
f__FGB1217,0.16398816030401422,0.16398816030401422
f__Selenomonadaceae,0.15319161205037538,0.15319161205037538
f__Odoribacteraceae,0.12725089367767298,0.12725089367767298
f__FGB1765,-0.12674075260100276,0.12674075260100276
f__FGB3048,-0.11141153256963995,0.11141153256963995
f__Lactobacillaceae,0.10523806125299213,0.10523806125299213
f__Barnesiellaceae,0.10181469283935045,0.10181469283935045
f__FGB75721,0.09161951976891612,0.09161951976891612
f__FGB38642,0.08830234718065712,0.08830234718065712
f__Carnobacteriaceae,-0.0824191607624501,0.0824191607624501
f__Pasteurellaceae,-0.08156085264474451,0.08156085264474451
f__Christensenellaceae,-0.066577276423133,0.066577276423133
f__FGB1380,0.06642233105818787,0.06642233105818787
f__FGB45628,-0.0663718907050756,0.0663718907050756
f__FGB3038,0.06385948627167003,0.06385948627167003
f__Candidatus_Saccharibacteria_unclassified,-0.06227588030795568,0.06227588030795568
f__Acidaminococcaceae,-0.05589394910607544,0.05589394910607544
f__Clostridia_unclassified,-0.05333482773553926,0.05333482773553926
f__Candidatus_Nanogingivalaceae,-0.05197272549621117,0.05197272549621117
f__FGB2960,-0.050303024069319434,0.050303024069319434
f__Enterococcaceae,0.04934112966448453,0.04934112966448453
f__Akkermansiaceae,0.044641849863524895,0.044641849863524895
f__Eubacteriaceae,0.03594715207124579,0.03594715207124579
f__Sutterellaceae,-0.02726244618856273,0.02726244618856273
f__Synergistaceae,-0.025258003820098292,0.025258003820098292
f__FGB4806,-0.023259702104779414,0.023259702104779414
f__Veillonellaceae,-0.020211536359139155,0.020211536359139155
f__FGB1011,-0.014800931874738257,0.014800931874738257
f__FGB14936,-0.011830730040586636,0.011830730040586636
f__Prevotellaceae,-0.010153152935481318,0.010153152935481318
f__Desulfovibrionaceae,0.008240067156888523,0.008240067156888523
f__Enterobacteriaceae,0.007885667013060193,0.007885667013060193
f__FGB77988,0.005779120310045021,0.005779120310045021
f__Eubacteriales_incertae_sedis,0.004005069184515763,0.004005069184515763
f__Corynebacteriaceae,0.0007280571421362518,0.0007280571421362518
