feature,correlation,correlation_raw,p_value,direction,p_adj
g__Candidatus_Saccharibacteria_unclassified,0.22866938108785523,-0.22866938108785523,0.001743624888391159,negative,0.24778633253673127
g__Negativibacillus,0.2176328573478916,-0.2176328573478916,0.0029221011482927477,negative,0.24778633253673127
g__Odoribacter,0.2119996346442431,0.2119996346442431,0.0037679151790264063,positive,0.24778633253673127
g__Barnesiella,0.20955219434083305,0.20955219434083305,0.004199768348080191,positive,0.24778633253673127
g__Granulicatella,0.1925355690220066,-0.1925355690220066,0.008648881632048524,negative,0.3229351107352762
g__Lachnospira,0.18837738606584134,-0.18837738606584134,0.010232406953221381,negative,0.3229351107352762
g__Oscillibacter,0.18719674408778783,0.18719674408778783,0.010726359681501386,positive,0.3229351107352762
g__Butyricimonas,0.18668490981998925,0.18668490981998925,0.010946952906280548,positive,0.3229351107352762
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,0.18014222414728606,-0.18014222414728606,0.014139515735757748,negative,0.3361290660683598
g__GGB9758,0.17969761735933734,0.17969761735933734,0.014383407855610842,positive,0.3361290660683598
g__Vescimonas,0.17746085866427874,0.17746085866427874,0.015667032740474398,positive,0.3361290660683598
g__Megamonas,0.17045658149812618,0.17045658149812618,0.02035445493388932,positive,0.3663073844719265
g__Haemophilus,0.16489448722187972,-0.16489448722187972,0.02489794084244433,negative,0.3663073844719265
g__Alistipes,0.16466807796575633,0.16466807796575633,0.0251000116686408,positive,0.3663073844719265
g__GGB9524,0.16248285914957575,0.16248285914957575,0.027123774207836272,positive,0.3663073844719265
g__GGB9559,0.1621337608682128,-0.1621337608682128,0.02745968493721589,negative,0.3663073844719265
g__Agathobaculum,0.15740527572478644,-0.15740527572478644,0.03237178924889024,negative,0.3663073844719265
g__Erysipelatoclostridium,0.15721783101822046,-0.15721783101822046,0.032580990429005564,negative,0.3663073844719265
g__Streptococcus,0.1550363581300955,-0.1550363581300955,0.035101305975639506,negative,0.3663073844719265
g__Actinomyces,0.15435366840731807,-0.15435366840731807,0.03592318188562447,negative,0.3663073844719265
g__Gordonibacter,0.15325245626098902,0.15325245626098902,0.03728318762573144,positive,0.3663073844719265
g__GGB2998,0.1515254248932199,0.1515254248932199,0.03950350786064933,positive,0.3663073844719265
g__GGB9595,0.15068421754475506,0.15068421754475506,0.04062467918791682,positive,0.3663073844719265
g__GGB2982,0.15064928125376809,0.15064928125376809,0.0406718154437185,positive,0.3663073844719265
g__GGB3818,0.15030202264435175,-0.15030202264435175,0.04114284359534966,negative,0.3663073844719265
g__Faecalibacterium,0.1497970488378134,0.1497970488378134,0.04183597173648594,positive,0.3663073844719265
g__GGB9359,0.14898435486218625,0.14898435486218625,0.04297204818550424,positive,0.3663073844719265
g__GGB36331,0.14864068005459927,-0.14864068005459927,0.043460198157686196,negative,0.3663073844719265
g__Amedibacillus,0.14660274108080962,-0.14660274108080962,0.046451241804720926,negative,0.3780170022729013
g__Fusobacterium,0.1397749854027278,-0.1397749854027278,0.05775069990943061,negative,0.4543055059541875
g__Massilimicrobiota,0.13826276060749984,-0.13826276060749984,0.060537975512320624,negative,0.4608697490615376
g__GGB12785,0.137049132954214,-0.137049132954214,0.06285404659667691,negative,0.4616423428543817
g__Mogibacterium,0.13394697144626053,-0.13394697144626053,0.0691057958338646,negative,0.4616423428543817
g__GGB9707,0.1336797692900463,0.1336797692900463,0.06966718472289003,positive,0.4616423428543817
