feature,coefficient,abs_coefficient
g__Negativibacillus,-0.28796108822090355,0.28796108822090355
g__Clostridium,0.20764787620723565,0.20764787620723565
g__GGB2982,0.155427720530567,0.155427720530567
g__Megamonas,0.14130681340462978,0.14130681340462978
g__Barnesiella,0.14101404997628034,0.14101404997628034
g__GGB9758,0.1304042297619831,0.1304042297619831
g__Candidatus_Saccharibacteria_unclassified,-0.11809128674870174,0.11809128674870174
g__Granulicatella,-0.11161495380938052,0.11161495380938052
g__GGB9559,-0.11107742258037935,0.11107742258037935
g__Lachnospira,-0.10545255293652912,0.10545255293652912
g__GGB3363,0.09738287092529026,0.09738287092529026
g__Allisonella,-0.09213225142256375,0.09213225142256375
g__GGB3278,-0.08374251554555609,0.08374251554555609
g__Christensenella,-0.08012024705346481,0.08012024705346481
g__Phocea,-0.07716667920675882,0.07716667920675882
g__GGB9524,0.07686363183029214,0.07686363183029214
g__Anaerotruncus,0.0767305526892345,0.0767305526892345
g__Phascolarctobacterium,-0.07668621469349278,0.07668621469349278
g__Lachnospiraceae_unclassified,-0.07654387497111802,0.07654387497111802
g__Faecalicatena,-0.07290653443311737,0.07290653443311737
g__Adlercreutzia,-0.07239640329313189,0.07239640329313189
g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,-0.07208259976477396,0.07208259976477396
g__GGB9359,0.06993172376485969,0.06993172376485969
g__Butyricimonas,0.0692810785493777,0.0692810785493777
g__GGB4605,-0.06788098875958802,0.06788098875958802
g__Faecalibacterium,0.064254232011016,0.064254232011016
g__Eisenbergiella,-0.06391530561558399,0.06391530561558399
g__GGB51441,-0.06125865587644862,0.06125865587644862
g__Fumia,0.05353052363290549,0.05353052363290549
g__Gordonibacter,0.050283051279359746,0.050283051279359746
g__GGB58233,-0.04951285020368695,0.04951285020368695
g__Vescimonas,0.049421019194151095,0.049421019194151095
g__Lactobacillus,0.04904366636837956,0.04904366636837956
g__GGB3345,-0.045471052297428975,0.045471052297428975
g__Corynebacterium,0.04207645563114282,0.04207645563114282
g__GGB9708,-0.041990090632588586,0.041990090632588586
g__Akkermansia,0.040183903555006215,0.040183903555006215
g__Massiliimalia,0.03911819159271652,0.03911819159271652
g__Anaerofustis,0.03871540819431871,0.03871540819431871
g__Parasutterella,-0.035272872506867,0.035272872506867
g__Holdemania,0.031755398027271904,0.031755398027271904
g__Enterococcus,0.029105128083566426,0.029105128083566426
g__Parascardovia,0.02471286889621343,0.02471286889621343
g__Roseburia,0.024551636666296107,0.024551636666296107
g__Dialister,-0.024088405865857483,0.024088405865857483
g__Eubacteriaceae_unclassified,-0.02401911174857895,0.02401911174857895
g__Anaerotignum,-0.02312753024408203,0.02312753024408203
g__Collinsella,0.018725600749355087,0.018725600749355087
g__Jutongia,-0.018570311288780908,0.018570311288780908
g__GGB9707,0.01437724610992449,0.01437724610992449
g__Limosilactobacillus,0.013915216414816276,0.013915216414816276
g__Odoribacter,0.00933615557153603,0.00933615557153603
g__Brotolimicola,-0.005809956188205191,0.005809956188205191
g__Haemophilus,-0.005223684698926681,0.005223684698926681
g__Agathobaculum,-0.0036000616407550565,0.0036000616407550565
g__GGB51647,-0.001777446086797863,0.001777446086797863
g__Enterobacter,0.0008795827660702789,0.0008795827660702789
g__GGB2998,0.0004084798865982995,0.0004084798865982995
