feature,correlation,correlation_raw,p_value,direction,p_adj
s__Streptococcus_australis,0.2749609144164183,-0.2749609144164183,0.00015198933706763102,negative,0.054175466811480555
s__TM7_phylum_sp_oral_taxon_352,0.26681809671567935,-0.26681809671567935,0.00024131611051884434,negative,0.054175466811480555
s__Alistipes_communis,0.2216945521403751,0.2216945521403751,0.0024232505521917702,positive,0.24759275690960703
s__GGB9760_SGB15374,0.21894433471207336,0.21894433471207336,0.0027516990720421884,positive,0.24759275690960703
s__Negativibacillus_massiliensis,0.21460555349227117,-0.21460555349227117,0.0033524706005423534,negative,0.24759275690960703
s__Odoribacter_splanchnicus,0.21088237275811336,0.21088237275811336,0.003959829988696272,positive,0.24759275690960703
s__Barnesiella_intestinihominis,0.20936518808158394,0.20936518808158394,0.00423452931535548,positive,0.24759275690960703
s__Jutongia_huaianensis,0.20843425961308126,-0.20843425961308126,0.004411452238923956,negative,0.24759275690960703
s__Granulicatella_SGB8255,0.20121719257349344,-0.20121719257349344,0.00602444524792835,negative,0.3005528795910921
s__Lawsonibacter_SGB15145,0.1983339811879806,-0.1983339811879806,0.006804007649507412,negative,0.3054999434628828
s__Ruminococcus_callidus,0.19445519246699558,0.19445519246699558,0.00799415341132066,positive,0.32630680742572515
s__Eubacterium_sulci,0.1813846369672135,-0.1813846369672135,0.013477069065888459,negative,0.4046748235619489
s__Actinomyces_SGB17132,0.17838495284632352,-0.17838495284632352,0.015125076048685642,negative,0.4046748235619489
s__GGB9758_SGB15368,0.17804846784221032,0.17804846784221032,0.015320489602664338,positive,0.4046748235619489
s__Eubacterium_ventriosum,0.17657963652563868,0.17657963652563868,0.016199550895984054,positive,0.4046748235619489
s__Vescimonas_coprocola,0.17608061096310176,0.17608061096310176,0.01650805180582008,positive,0.4046748235619489
s__Actinomyces_sp_ICM47,0.17475658603161792,-0.17475658603161792,0.01735149852692407,negative,0.4046748235619489
s__Clostridium_innocuum,0.17278410024854632,-0.17278410024854632,0.01867748870453686,negative,0.4046748235619489
s__Oscillibacter_valericigenes,0.17254028234754665,0.17254028234754665,0.01884734756999445,positive,0.4046748235619489
s__Megamonas_funiformis,0.17161082695166718,0.17161082695166718,0.01950721286726788,positive,0.4046748235619489
s__Roseburia_faecis,0.17126705478547946,0.17126705478547946,0.019756295031620227,positive,0.4046748235619489
s__Veillonella_rogosae,0.1711685608719109,-0.1711685608719109,0.019828165074304845,negative,0.4046748235619489
s__Alistipes_putredinis,0.1676829214123547,0.1676829214123547,0.022521600372526755,positive,0.42092529382280114
s__Haemophilus_parainfluenzae,0.16680575378915716,-0.16680575378915716,0.023247119170261066,negative,0.42092529382280114
s__Eubacterium_limosum,0.1665802932365731,-0.1665802932365731,0.02343682036875285,negative,0.42092529382280114
s__GGB9524_SGB14924,0.1623703943879684,0.1623703943879684,0.02723160436113813,positive,0.4440427551227685
s__GGB9559_SGB14969,0.16048527078953786,-0.16048527078953786,0.02909439628824804,negative,0.4440427551227685
s__Erysipelatoclostridium_ramosum,0.15914666581378803,-0.15914666581378803,0.030482252147180866,negative,0.4440427551227685
s__Agathobaculum_butyriciproducens,0.1575998673152656,-0.1575998673152656,0.032155820223268024,negative,0.4440427551227685
s__Faecalibacterium_prausnitzii,0.1574652673022868,0.1574652673022868,0.03230507608931607,positive,0.4440427551227685
s__Gordonibacter_pamelaeae,0.1572982526530986,0.1572982526530986,0.03249109411379385,positive,0.4440427551227685
s__Clostridiaceae_bacterium_Marseille_Q4149,0.15662480157583947,-0.15662480157583947,0.033250431806493154,negative,0.4440427551227685
s__Citrobacter_freundii,0.15572258304929013,-0.15572258304929013,0.034291273319576196,negative,0.4440427551227685
s__GGB9595_SGB15019,0.15348090978431667,0.15348090978431667,0.036997527088541475,positive,0.4440427551227685
s__GGB3818_SGB5183,0.1526193990277564,-0.1526193990277564,0.038084514190153164,negative,0.4440427551227685
s__Streptococcus_anginosus,0.15255244592775385,0.15255244592775385,0.03817010678913938,positive,0.4440427551227685
s__GGB9359_SGB14334,0.15105696661983445,0.15105696661983445,0.04012461669042736,positive,0.4440427551227685
s__GGB2998_SGB3988,0.150698601904178,0.150698601904178,0.040605285074678574,positive,0.4440427551227685
s__GGB2982_SGB3964,0.15056620757217848,0.15056620757217848,0.04078408363218515,positive,0.4440427551227685
s__GGB36331_SGB15121,0.1501181956006418,-0.1501181956006418,0.0413940398149366,negative,0.4440427551227685
s__Mediterraneibacter_butyricigenes,0.15005571524566197,0.15005571524566197,0.0414797108376125,positive,0.4440427551227685
s__Lawsonibacter_hominis,0.14931478937618284,0.14931478937618284,0.042507047017371666,positive,0.4440427551227685
s__Amedibacillus_dolichus,0.14930179533781318,-0.14930179533781318,0.042525252717770703,negative,0.4440427551227685
s__Alistipes_onderdonkii,0.14765627913395316,0.14765627913395316,0.04488420246946485,positive,0.45008322703116305
s__Veillonella_dispar,0.14750357090840976,-0.14750357090840976,0.04510856395635264,negative,0.45008322703116305
s__Gemmiger_formicilis,0.14546280420933527,0.14546280420933527,0.048197974947673604,positive,0.4704541467718576
s__Oscillibacter_sp_ER4,0.14250194190054646,0.14250194190054646,0.052992073488373016,positive,0.49604848896058534
s__Blautia_caecimuris,0.14232455756879603,-0.14232455756879603,0.05329140673420131,negative,0.49604848896058534
s__Fusobacterium_ulcerans,0.14165459138349404,-0.14165459138349404,0.054434627057701385,negative,0.49604848896058534
s__Blautia_SGB4815,0.14012726041197798,0.14012726041197798,0.057116826338239654,positive,0.49604848896058534
s__Streptococcus_salivarius,0.138906238055965,-0.138906238055965,0.05933871501801394,negative,0.49604848896058534
s__Lachnospira_pectinoschiza,0.13868866004658809,-0.13868866004658809,0.05974201201944128,negative,0.49604848896058534
s__Massilimicrobiota_timonensis,0.13844952531824387,-0.13844952531824387,0.060187864281868064,negative,0.49604848896058534
s__Bacteroides_caccae,0.1375417600684328,0.1375417600684328,0.06190531044047134,positive,0.49604848896058534
s__Actinomyces_graevenitzii,0.13681229121281147,-0.13681229121281147,0.06331439890456521,negative,0.49604848896058534
s__GGB12785_SGB19823,0.13654220696359734,-0.13654220696359734,0.06384273361422889,negative,0.49604848896058534
s__Streptococcus_parasanguinis,0.13621646260836479,-0.13621646260836479,0.06448474839412835,negative,0.49604848896058534
s__Bacteroides_cellulosilyticus,0.13608962068141414,0.13608962068141414,0.06473616852182452,positive,0.49604848896058534
s__Alistipes_dispar,0.13586552633904136,-0.13586552633904136,0.06518231814849562,negative,0.49604848896058534
s__Actinomyces_bouchesdurhonensis,0.1342947861285823,-0.1342947861285823,0.06838056767670704,negative,0.5001325129345817
s__Streptococcus_mutans,0.1340735506937851,0.1340735506937851,0.06884114361314672,positive,0.5001325129345817
s__Mogibacterium_diversum,0.13396855313508185,-0.13396855313508185,0.06906061425822732,negative,0.5001325129345817
s__GGB9707_SGB15229,0.13277476742658129,0.13277476742658129,0.07159622850539757,positive,0.510265184109897
s__Massiliimalia_timonensis,0.1320912400281665,0.1320912400281665,0.07308178119275219,positive,0.5127143711804021
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.13128234794430543,0.13128234794430543,0.07487200697329666,positive,0.5131558567565729
s__GGB58233_SGB79883,0.13103321573465185,-0.13103321573465185,0.07543048228493054,negative,0.5131558567565729
s__Blautia_producta,0.13008843601812742,-0.13008843601812742,0.07757909453540732,negative,0.5198957230805654
s__Akkermansia_muciniphila,0.1292390507056677,0.1292390507056677,0.07955271705588458,positive,0.5217592562707609
s__Blautia_stercoris,0.1289721122591655,0.1289721122591655,0.08018126655385859,positive,0.5217592562707609
s__Cuneatibacter_sp_NSJ_177,0.12814673941712432,-0.12814673941712432,0.08215009089386162,negative,0.5269341544477695
s__Bittarella_massiliensis,0.12675118427681203,-0.12675118427681203,0.08556730045307036,negative,0.5330169801644948
s__Desulfovibrio_piger,0.1260664635647676,0.1260664635647676,0.08728511520631933,positive,0.5330169801644948
s__Phocaeicola_coprocola,0.12582424951285318,0.12582424951285318,0.08789934493717017,positive,0.5330169801644948
s__GGB9501_SGB14898,0.1257444906650202,-0.1257444906650202,0.08810236009488702,negative,0.5330169801644948
s__GGB3632_SGB4921,0.1253803428773012,-0.1253803428773012,0.08903401673126306,negative,0.5330169801644948
s__Phocaeicola_plebeius,0.12436270596893974,-0.12436270596893974,0.09167937995869549,negative,0.5416321263349247
s__Eggerthella_sinensis,0.12275125014573592,-0.12275125014573592,0.09599612547786997,negative,0.5549290322103854
s__GGB9502_SGB14899,0.12168219578605186,0.12168219578605186,0.09894783848372066,positive,0.5549290322103854
s__Allisonella_histaminiformans,0.12167901230868827,-0.12167901230868827,0.09895673431301096,negative,0.5549290322103854
s__Lancefieldella_parvula,0.12126916479848056,-0.12126916479848056,0.10010729932994455,negative,0.5549290322103854
s__Lactobacillus_crispatus,0.12126831646534202,0.12126831646534202,0.10010969177960181,positive,0.5549290322103854
s__Coprococcus_catus,0.11901832995028956,0.11901832995028956,0.10661577840246936,positive,0.5837863963744968
s__GGB3740_SGB5076,0.11818141366729412,-0.11818141366729412,0.10911894982075261,negative,0.5892128253036693
s__Oscillospiraceae_unclassified_SGB15252,0.1177820285577571,0.1177820285577571,0.11032962348001757,positive,0.5892128253036693
s__Anaerobutyricum_soehngenii,0.1170847998612699,0.1170847998612699,0.11246835701910333,positive,0.5892128253036693
s__Pseudoflavonifractor_capillosus,0.11674359733533994,-0.11674359733533994,0.11352673484510342,negative,0.5892128253036693
s__Lachnospira_eligens,0.11653801226954083,-0.11653801226954083,0.1141681866401319,negative,0.5892128253036693
s__Bifidobacterium_animalis,0.11601533610589504,-0.11601533610589504,0.11581174653990423,negative,0.590903115868375
s__GGB4605_SGB6376,0.11550394370377164,-0.11550394370377164,0.11743761969420591,negative,0.5913681662632116
s__Citrobacter_portucalensis,0.11516125138765092,-0.11516125138765092,0.1185370489169021,negative,0.5913681662632116
s__Rothia_mucilaginosa,0.11461794247022557,-0.11461794247022557,0.12029648263234095,negative,0.5935507769441878
s__Enterococcus_faecalis,0.11355975748574637,0.11355975748574637,0.12378140855799633,positive,0.6041070917667429
s__Dialister_hominis,0.1128861579673057,-0.1128861579673057,0.12604015740614705,negative,0.608516458874839
s__Wujia_chipingensis,0.10948776528171728,0.10948776528171728,0.1379244131002729,positive,0.6495727317757849
s__Roseburia_inulinivorans,0.10923212199908262,-0.10923212199908262,0.13885192109824657,negative,0.6495727317757849
s__Collinsella_aerofaciens,0.10922326310442794,0.10922326310442794,0.13888414755117004,positive,0.6495727317757849
s__Anaerotruncus_rubiinfantis,0.10757153799214651,0.10757153799214651,0.14499311636311632,positive,0.6520642461468279
s__Intestinibacter_bartlettii,0.10752259335512114,-0.10752259335512114,0.14517720514510601,negative,0.6520642461468279
s__Parasutterella_SGB9260,0.10750901958059997,-0.10750901958059997,0.14522828976335106,negative,0.6520642461468279
