feature,coefficient,abs_coefficient
s__GGB2982_SGB3964,0.1753921210155621,0.1753921210155621
s__Megamonas_funiformis,0.1701090186083024,0.1701090186083024
s__Allisonella_histaminiformans,-0.1662304996184921,0.1662304996184921
s__Clostridium_sp_AT4,0.15756033271644213,0.15756033271644213
s__Negativibacillus_massiliensis,-0.151509693045629,0.151509693045629
s__GGB9760_SGB15374,0.13693055063860932,0.13693055063860932
s__Lachnospira_eligens,-0.1334486462509369,0.1334486462509369
s__TM7_phylum_sp_oral_taxon_352,-0.1332202456156478,0.1332202456156478
s__Clostridiaceae_bacterium_Marseille_Q4149,-0.1304704228905094,0.1304704228905094
s__Granulicatella_SGB8255,-0.12726755656568553,0.12726755656568553
s__Phocaeicola_plebeius,-0.12387392556665613,0.12387392556665613
s__Barnesiella_intestinihominis,0.10549315206589843,0.10549315206589843
s__Streptococcus_anginosus,0.10297976048316627,0.10297976048316627
s__GGB51441_SGB71759,-0.09958679386349954,0.09958679386349954
s__Ruminococcus_gnavus,0.08566522812471426,0.08566522812471426
s__Clostridium_innocuum,-0.08039144365227444,0.08039144365227444
s__Phocea_massiliensis,-0.07847593003282871,0.07847593003282871
s__Faecalibacterium_prausnitzii,0.07599026586647921,0.07599026586647921
s__GGB9758_SGB15368,0.07540740484443159,0.07540740484443159
s__Veillonella_dispar,-0.07376013082986531,0.07376013082986531
s__Roseburia_faecis,0.06744086081370938,0.06744086081370938
s__Blautia_caecimuris,-0.06451517851059504,0.06451517851059504
s__GGB9524_SGB14924,0.06403280634166536,0.06403280634166536
s__Agathobaculum_butyriciproducens,-0.05690760818685163,0.05690760818685163
s__Phocaeicola_coprocola,0.05449039751578746,0.05449039751578746
s__Phocaeicola_dorei,0.05220852785009754,0.05220852785009754
s__Bacteroides_intestinalis,-0.05207156378954133,0.05207156378954133
s__Lawsonibacter_hominis,0.04988922422733935,0.04988922422733935
s__Veillonella_parvula,0.0487960896146513,0.0487960896146513
s__Gordonibacter_pamelaeae,0.04867854027499937,0.04867854027499937
s__Anaerotruncus_colihominis,0.04698965460641934,0.04698965460641934
s__Streptococcus_gordonii,0.04243462997902789,0.04243462997902789
s__Adlercreutzia_equolifaciens,-0.04133177311457754,0.04133177311457754
s__Eubacterium_rectale,-0.04098769030368688,0.04098769030368688
s__GGB3278_SGB4328,-0.03985007606652215,0.03985007606652215
s__Alistipes_communis,0.039462678970625206,0.039462678970625206
s__Enterococcus_faecalis,0.03946190454513097,0.03946190454513097
s__Pseudoflavonifractor_gallinarum,-0.03945422845561212,0.03945422845561212
s__Eubacterium_ventriosum,0.037712338377268124,0.037712338377268124
s__Ruminococcus_callidus,0.036497283596275375,0.036497283596275375
s__Lacrimispora_amygdalina,0.03609545709599088,0.03609545709599088
s__Eubacterium_sp_AF34_35BH,-0.0360442734699529,0.0360442734699529
s__Odoribacter_splanchnicus,0.035802459690978075,0.035802459690978075
s__Akkermansia_muciniphila,0.031606771928187644,0.031606771928187644
s__GGB33586_SGB53517,0.031101323600739993,0.031101323600739993
s__Phascolarctobacterium_faecium,-0.03077075663257495,0.03077075663257495
s__Clostridium_SGB6179,-0.030502320149737507,0.030502320149737507
s__Lachnospira_pectinoschiza,-0.02977903898300462,0.02977903898300462
s__Vescimonas_coprocola,0.02928301456660252,0.02928301456660252
s__Dialister_hominis,-0.026906038765234907,0.026906038765234907
s__Streptococcus_parasanguinis,-0.02430112751362894,0.02430112751362894
s__GGB9708_SGB15234,-0.023817489588983578,0.023817489588983578
s__Alistipes_dispar,-0.021704560566358305,0.021704560566358305
s__Brotolimicola_acetigignens,-0.019926714287813643,0.019926714287813643
s__GGB9559_SGB14969,-0.01891690915257288,0.01891690915257288
s__GGB9359_SGB14334,0.01802534524653203,0.01802534524653203
s__Lachnospiraceae_bacterium_CLA_AA_H244,-0.016207392206136283,0.016207392206136283
s__Enterocloster_clostridioformis,0.014371938080425726,0.014371938080425726
s__Haemophilus_parainfluenzae,-0.013923778680378569,0.013923778680378569
s__Parasutterella_SGB9260,-0.012969611858823017,0.012969611858823017
s__Collinsella_aerofaciens,0.011762419198345992,0.011762419198345992
s__Eggerthella_lenta,-0.010890386160388277,0.010890386160388277
s__Gemmiger_formicilis,0.010815975962021123,0.010815975962021123
s__Bacteroides_thetaiotaomicron,0.01022123421463973,0.01022123421463973
s__Zhenpiania_hominis,0.00878477843618319,0.00878477843618319
s__Bifidobacterium_longum,-0.00772668376220757,0.00772668376220757
s__Bacteroides_cellulosilyticus,0.00771813006795682,0.00771813006795682
s__Lactobacillus_crispatus,0.006886403071364355,0.006886403071364355
s__GGB3109_SGB4121,0.004546248642055323,0.004546248642055323
s__Mediterraneibacter_butyricigenes,0.003882327755127724,0.003882327755127724
s__Enterocloster_bolteae,0.0019826471515673777,0.0019826471515673777
