feature,importance
s__Odoribacter_splanchnicus,0.013047618958350268
s__Streptococcus_australis,0.01245874028584776
s__TM7_phylum_sp_oral_taxon_352,0.01079610583489212
s__Ruminococcus_callidus,0.009130263378515115
s__Granulicatella_SGB8255,0.007829483170217692
s__Actinomyces_sp_ICM47,0.007459645088910738
s__Negativibacillus_massiliensis,0.007190361769411452
s__Dialister_hominis,0.007163313671481283
s__GGB9760_SGB15374,0.007111549374323202
s__Alistipes_communis,0.006869087892270791
s__Lachnospira_pectinoschiza,0.006571984585359545
s__Clostridiales_bacterium_KLE1615,0.006534505867118671
s__Jutongia_huaianensis,0.006362717911504718
s__Streptococcus_mutans,0.006153971309213234
s__Blautia_SGB4815,0.005781801542430718
s__Streptococcus_anginosus,0.0057298123585435776
s__Agathobaculum_butyriciproducens,0.005713564506905439
s__Parabacteroides_goldsteinii,0.00563997235863092
s__Actinomyces_SGB17132,0.005528554848176999
s__Phocaeicola_plebeius,0.005443391971003926
s__Clostridium_sp_AT4,0.005333007886720445
s__Clostridiaceae_bacterium,0.00531419250378854
s__Roseburia_faecis,0.005163574100147314
s__Bacteroides_xylanisolvens,0.005146465216338927
s__Megamonas_funiformis,0.005095758297282412
s__Clostridiaceae_bacterium_Marseille_Q4149,0.005094390043621974
s__Adlercreutzia_equolifaciens,0.005060724663998967
s__Allisonella_histaminiformans,0.00489241448588637
s__Phascolarctobacterium_faecium,0.004833029075854354
s__Veillonella_dispar,0.004825834694117429
s__Clostridium_innocuum,0.004647498906976362
s__Blautia_stercoris,0.004619534246802278
s__Bacteroides_uniformis,0.004616873448246872
s__Vescimonas_coprocola,0.004587509376237482
s__Clostridium_sp_NSJ_42,0.0045603691180248745
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.004537421982576813
s__Akkermansia_muciniphila,0.004536438660357897
s__Clostridium_SGB6179,0.004512364838219065
s__Bacteroides_caccae,0.004380623343180295
s__GGB51441_SGB71759,0.004275234714257239
s__Roseburia_inulinivorans,0.00413212657128273
s__Lachnospira_eligens,0.004127378983781298
s__GGB2982_SGB3964,0.004096441519989294
s__Clostridium_sp_AM33_3,0.0040761449283055725
s__Clostridium_fessum,0.004062086102099611
s__Haemophilus_parainfluenzae,0.004042467733947262
s__Oscillibacter_valericigenes,0.0040251972990570295
s__Parabacteroides_gordonii,0.003998139557652227
s__Alistipes_putredinis,0.0039756102697642345
s__Enterocloster_hominis,0.003939132107520668
s__Streptococcus_gordonii,0.003930464161227364
s__Clostridia_bacterium_UC5_1_1D1,0.003927714267664813
s__Anaerotruncus_colihominis,0.00392336435802145
s__Bacteroides_salyersiae,0.003745803742982227
s__Ruminococcus_bromii,0.00369239118803196
s__GGB12785_SGB19823,0.0036801129132869098
s__Enterococcus_faecalis,0.003671699942556982
s__Brotolimicola_acetigignens,0.003649124470045774
s__GGB3632_SGB4921,0.00358584359133047
s__Anaerostipes_hadrus,0.0035814764749962594
s__Veillonella_rogosae,0.003556976347151542
s__Pseudoflavonifractor_gallinarum,0.003500846553871138
s__Intestinibacter_bartlettii,0.003447108974456637
s__Phocaeicola_coprocola,0.0034421538744123506
s__Eubacterium_ventriosum,0.003386728567803164
s__Faecalibacillus_intestinalis,0.0033821002406942864
s__Faecalibacterium_prausnitzii,0.003374532819378145
s__Parabacteroides_distasonis,0.003374448852907529
s__Romboutsia_timonensis,0.003331997447036126
s__Lawsonibacter_SGB15145,0.0033232280065106884
s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,0.0033018432725141936
s__Collinsella_aerofaciens,0.0032816084255836687
s__Bacteroides_ovatus,0.0032750375079046348
s__Streptococcus_vestibularis,0.0032686951554282053
s__Blautia_obeum,0.003238504137446574
s__Lancefieldella_parvula,0.0032171315170557817
s__Lactobacillus_crispatus,0.003190616525247123
s__Clostridium_sp_AM22_11AC,0.0031565283471329
s__Lawsonibacter_asaccharolyticus,0.003142972011049414
s__bacterium_210917_DFI_7_65,0.003109812892985562
s__Phocaeicola_dorei,0.0030981405322859936
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.003093885549851647
s__Barnesiella_intestinihominis,0.003085746859842453
s__GGB9359_SGB14334,0.0030823690262838043
s__Eubacterium_sulci,0.003056585288698004
s__Blautia_caecimuris,0.0030559272545421265
s__Streptococcus_parasanguinis,0.003037249455004504
s__Massiliimalia_timonensis,0.003032384332726219
s__GGB9758_SGB15368,0.0030296451537918513
s__Oscillospiraceae_bacterium_CLA_AA_H250,0.0030234465949331565
s__Gemmiger_SGB15295,0.003012959108078979
s__Evtepia_gabavorous,0.0029581873073370154
s__Holdemania_filiformis,0.0029465038238722144
s__Eubacteriaceae_bacterium,0.0029407543969845245
s__Rothia_mucilaginosa,0.002928529985514999
s__Anaerotignum_faecicola,0.0029256779044687115
s__Gordonibacter_pamelaeae,0.0028608269710281263
s__GGB3740_SGB5076,0.002842285507130448
s__Bacteroides_intestinalis,0.0028241770817982615
s__Lawsonibacter_hominis,0.002816136865971966
s__Dorea_longicatena,0.0028153108462786987
s__Mediterraneibacter_butyricigenes,0.0028080785146656403
s__GGB3109_SGB4121,0.00279525561028208
s__Ruminococcus_sp_AF13_28,0.002784078604010534
s__Blautia_massiliensis,0.002774202672195106
s__Alistipes_indistinctus,0.002768993894168884
s__GGB3345_SGB4425,0.002729709009856876
s__Cuneatibacter_sp_NSJ_177,0.002715766347742793
s__GGB9501_SGB14898,0.00271287754352103
s__Schaalia_odontolytica,0.0027114268893132136
s__Oscillibacter_sp_ER4,0.002704572217446747
s__Anaerobutyricum_hallii,0.002703840044484147
s__Clostridiales_bacterium,0.002681157364927844
s__Coprobacillus_cateniformis,0.0026694726159805088
s__Roseburia_hominis,0.00266407585465542
s__Eubacterium_ramulus,0.0026313589151265287
s__GGB9707_SGB15229,0.0026203891251186627
s__Anaerofustis_stercorihominis,0.002615951165970799
s__Eubacterium_sp_AF16_48,0.002613727837402076
s__Amedibacillus_dolichus,0.0026061915332143736
s__GGB3537_SGB4727,0.002577381965352791
s__GGB36331_SGB15121,0.0025603182630578366
s__Bilophila_wadsworthia,0.00255664993973136
s__Bifidobacterium_dentium,0.0025516634588365443
s__Bacteroides_finegoldii,0.0025430968997921305
s__Actinomyces_sp_ph3,0.002529167328538445
s__Clostridium_SGB4750,0.0025181118713348766
s__Bacteroides_thetaiotaomicron,0.002468464953519996
s__Holdemanella_biformis,0.0024538054116698834
s__Anaerotignum_sp_MSJ_24,0.0024439558052040096
s__Dorea_formicigenerans,0.002436864062323961
s__Alistipes_onderdonkii,0.002432220562879602
s__Bacteroides_cellulosilyticus,0.0024187849568432385
