sample_id,label,o__Synergistales,o__Bacteroidales,o__Coriobacteriales,o__Methanobacteriales,o__Eubacteriales,o__Acidaminococcales,o__OFGB3012,o__Desulfovibrionales,o__Lactobacillales,o__Eggerthellales,o__Erysipelotrichales,o__Enterobacterales,o__OFGB2875,o__Corynebacteriales,o__Bifidobacteriales,o__OFGB9120,o__Candidatus_Saccharimonadales,o__OFGB15212,o__OFGB618,o__OFGB82363,o__Candidatus_Saccharibacteria_unclassified,o__Candidatus_Nanoperiomorbales,o__OFGB1226,o__OFGB1262,o__Selenomonadales,o__Actinomycetales,o__OFGB1126,o__Candidatus_Nanosynbacterales,o__Burkholderiales,o__Firmicutes_unclassified,o__OFGB1776,o__OFGB14936,o__OFGB31455,o__OFGB2982,o__OFGB1765,o__OFGB1779,o__OFGB3069,o__OFGB9238,o__OFGB3041,o__OFGB1217,o__OFGB75721,o__Pasteurellales,o__OFGB10318,o__OFGB3048,o__OFGB9119,o__OFGB3038,o__OFGB2918,o__OFGB1011,o__Clostridia_unclassified,o__OFGB3047,o__OFGB2840,o__Veillonellales,o__OFGB38642,o__Bacteria_unclassified,o__OFGB3023,o__OFGB1354,o__OFGB1359,o__OFGB9491,o__OFGB2915,o__OFGB1227,o__OFGB1538,o__OFGB3057,o__OFGB4405,o__Verrucomicrobiales,o__OFGB1292,o__OFGB2404,o__OFGB10055,o__OFGB1380,o__OFGB3062,o__Candidatus_Gastranaerophilales,o__OFGB77988,o__Propionibacteriales,o__OFGB45628,o__Bacillales,o__Fusobacteriales,o__Candidatus_Nanogingivales,o__OFGB4806,o__Micrococcales,o__OFGB4605,o__OFGB3072,o__OFGB2984,o__OFGB1201,o__OFGB45503,o__OFGB72924,o__OFGB52309,o__OFGB16911,o__OFGB2997,o__OFGB2930,o__OFGB3625,o__OFGB629,o__OFGB1474,o__OFGB1425,o__OFGB544,o__OFGB9583,o__OFGB28369,o__OFGB1473,o__OFGB668,o__Candidatus_Borkfalkiales,o__OFGB3009,o__OFGB1374,o__OFGB2834,o__Saccharomycetales,o__OFGB2345,o__OFGB11257,o__OFGB28775,o__OFGB1325,o__OFGB79270,o__OFGB529,o__OFGB2949,o__OFGB3054,o__OFGB2890,o__OFGB2960,o__OFGB24517,o__OFGB79237,o__OFGB10312,o__OFGB10309,o__OFGB10477,o__OFGB73223,o__OFGB4616,o__Victivallales,o__OFGB3172,o__OFGB1211,o__OFGB2952,o__OFGB30287,o__OFGB9272,o__OFGB79291,o__OFGB32970,o__OFGB1347,o__Moraxellales,o__OFGB2959,o__Tissierellales,o__OFGB3004,o__OFGB12107,o__OFGB1872,o__OFGB9989,o__OFGB79245,o__OFGB667,o__OFGB10341,o__OFGB83839,o__OFGB79152,o__Elusimicrobiales,o__OFGB10021,o__OFGB4559,o__OFGB1780,o__OFGB2881,o__OFGB4355,o__OFGB58251,o__OFGB1298,o__OFGB79363,o__OFGB1787,o__OFGB2837,o__OFGB1670,o__OFGB45555,o__OFGB40183,o__OFGB73062,o__OFGB30328,o__OFGB2880,o__Neisseriales,o__OFGB67123,o__OFGB2801,o__OFGB38791,o__OFGB77241,o__OFGB72939,o__Caulobacterales,o__Hyphomicrobiales,o__OFGB2403,o__OFGB1814,o__OFGB2165,o__Methanomicrobiales,o__Pseudomonadales,o__OFGB79294,o__OFGB1249,o__OFGB1311,o__OFGB3070,o__OFGB2942,o__OFGB1258,o__OFGB2941,o__OFGB9714,o__OFGB2889,o__OFGB2950,o__OFGB2917,o__OFGB2921,o__OFGB2936,o__OFGB3040,o__Campylobacterales,o__OFGB2937,o__OFGB4648,o__OFGB2846,o__OFGB7869,o__OFGB1260,o__OFGB1355,o__OFGB79015,o__OFGB78291,o__OFGB8294,o__Marinilabiliales,o__OFGB5194,o__Tissierellia_unclassified,o__OFGB602,o__OFGB1705,o__OFGB2992,o__Aeromonadales,o__Puniceicoccales,o__OFGB9718,o__OFGB2906,o__OFGB77566,o__OFGB2898,o__OFGB1207,o__OFGB9115,o__OFGB1303,o__OFGB73902,o__Flavobacteriales,o__OFGB10314,o__OFGB72899,o__OFGB78857,o__OFGB2947,o__OFGB3071,o__OFGB2378,o__OFGB3043,o__OFGB11739,o__OFGB78645,o__OFGB658,o__OFGB1012,o__Sphingomonadales,o__OFGB540,o__OFGB2985,o__OFGB1777,o__OFGB79211,o__OFGB2945,o__OFGB9512,o__OFGB8140,o__OFGB2983,o__Xanthomonadales,o__Rhodospirillales,o__Nakamurellales,o__Deinococcales,o__Sphingobacteriales,o__Planctomycetales,o__Candidatus_Brocadiales,o__OFGB10325,o__OFGB536,o__OFGB1337,o__OFGB51922,o__OFGB1778,o__OFGB2932,o__OFGB2839,o__OFGB2873,o__OFGB9977,o__OFGB58291,o__OFGB9828,o__OFGB3039,o__OFGB2954,o__OFGB1402,o__OFGB1362
CRR1012468,1,34.46394,46.87025000000002,1.71536,1.64545,11.505590000000003,0.68787,0.57857,0.45747,0.52766,0.5485300000000001,0.43418999999999996,0.10622,0.07737,0.05501,0.06219,0.03903,0.03307,0.02982,0.02853,0.0193,0.047369999999999995,0.01765,0.01667,0.00976,0.00477,0.01062,0.00313,0.00213,0.00142,0.00104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012436,1,0.0,23.558069999999997,1.24281,0.0,51.53103,0.55467,0.0,0.02697,0.18853999999999999,1.02006,0.7528600000000001,0.16899999999999998,0.0,0.0,0.51418,0.0,0.01606,0.18477,0.0,0.06533,0.032799999999999996,0.0,0.02623,0.0,0.0,0.0008799999999999999,0.0,0.00673,0.21570999999999999,0.0,6.73696,5.78396,5.50475,0.74188,0.41213999999999995,0.08543,0.14205,0.07115,0.07048,0.05302,0.03001,0.02693,0.0266,0.02628,0.02439,0.03812,0.02004,0.01267,0.01019,0.01018,0.00936,0.01778,0.00817,0.00807,0.00667,0.00413,0.00397,0.00297,0.00228,0.00112,0.00099,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012470,1,0.00833,49.71763999999999,0.05968,0.0,38.859799999999964,1.77537,0.27094,0.772,0.17424999999999996,0.16562000000000002,0.31930000000000003,0.28034,0.0,0.0,0.11784,0.0,0.01666,0.0,0.0,0.0,0.04005,0.0,0.0,0.0,0.84027,0.00768,0.0,0.0,0.46022,0.29632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06826,0.0,0.0,0.0,0.03008,0.0,0.00119,0.0,0.03278,0.01338,0.01733,0.0,0.42965000000000003,0.0114,0.00999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96859,0.61748,0.3211,0.0883,0.07019,0.06072,0.04711,0.01396,0.0096,0.00517,0.00141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012605,0,0.16888,39.82234999999999,0.0285,0.0,36.77883999999999,0.0,0.0,0.06006,0.21638999999999997,1.33896,2.54014,1.8274099999999998,0.0,0.0,15.28534,0.0,0.01642,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.2121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4709899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21596,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0,0.00189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012358,0,0.0,6.10752,1.24359,0.0,56.02291999999997,12.67255,0.0,1.23365,9.751779999999997,1.2078700000000002,0.79924,1.27171,0.0,0.0,7.85531,0.0,0.02851,0.0,0.0,0.0,0.17706999999999998,0.0,0.0,0.0,0.0,0.03308,0.0,0.0,0.06183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00849,0.0,0.0,0.0,0.0,0.0,0.0,0.03847,0.0,0.0,0.23502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023280000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00053,1.21414,0.013380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012480,1,0.0,33.76884999999999,0.9062,0.0,48.61671,0.01775,0.0,0.07537,1.2489499999999996,0.46892,0.21381,0.17637000000000003,0.0,0.0,0.18367,0.04309,0.01812,0.0,0.0,0.0,0.04353,0.0,0.00253,0.0,0.77964,0.010029999999999999,0.0,0.0,0.46915,0.00395,1.79524,0.0,0.0,0.01767,0.0,0.0,0.0,0.0,0.0,0.01652,0.0,0.51199,0.0,0.0,0.0,0.0,0.0,0.0,0.00893,0.04084,0.0,7.82007,0.08801,0.02973,0.0,0.00169,0.0,0.00296,0.0,0.0,0.0,0.0,0.0,2.51989,0.05253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02032,0.01729,0.00536,0.00406,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012371,1,0.02971,17.241530000000008,0.53532,0.0,51.45303999999998,1.36797,0.0,1.0737900000000002,0.60757,1.64178,2.7831999999999995,0.31986000000000003,0.0,0.0,0.40058,0.0,0.00693,0.0,0.0,0.0,0.04173,0.0,0.00012,0.03916,0.0,0.01948,0.0,0.0,0.26334,0.28062000000000004,0.71471,2.05979,0.0,0.02124,7.753959999999999,0.0,0.00058,0.0,0.0,0.0,0.0,0.01798,0.0,0.03005,0.0,0.01392,0.0,0.00082,0.00041,0.01427,0.0,0.01828,0.49585,0.0245,0.02047,0.26247,0.03284,0.0097,0.0,0.00989,0.0,0.01129,0.0,0.00063,0.0,0.0,0.0,0.0,0.56488,0.0,0.14653,0.0,0.00052,0.04034,9.33366,0.0,0.0,0.00395,0.0,0.03709,0.0,0.17702,0.02413,0.02115,0.01448,0.00916,0.00527,0.00182,0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012349,0,0.00958,10.720159999999998,0.0052,0.0,72.07361999999993,0.0,0.0218,0.32854999999999995,0.41496999999999995,1.19381,0.56135,0.01816,0.0,0.0,0.0,0.0,0.00302,0.0,0.0,0.0,0.041319999999999996,0.0,0.0,0.0,0.00668,0.01017,0.00287,0.02188,0.16643,0.1026,4.47303,0.0,0.0,0.0,0.80728,0.0,0.0,0.00823,0.0,0.0,0.02477,0.0,0.0,0.01947,0.0,0.12169999999999999,0.0,0.01963,0.43423,0.00213,0.0,2.2257499999999997,0.0,0.02309,0.10884,2.84697,0.0,0.0,0.39487,0.06011,0.0,0.01999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01557,0.00054,0.0,0.0,0.0,0.00167,0.0,0.021070000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.00109,0.0,0.0,1.13661,0.31393,0.2816,0.25951,0.21093,0.20056,0.14565,0.05511,0.02681,0.01886,0.00779,0.00401,0.00337,0.00308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012663,0,0.0,16.417749999999998,0.49668,0.0,63.33702,0.29654,0.0,2.56512,0.35856,0.08579,0.5187700000000001,0.19893,0.0,0.0,0.62584,0.01433,0.01472,0.0,0.0,0.0,0.08628000000000001,0.01254,0.0,0.0,0.0,0.020430000000000004,0.0,0.0,0.76246,0.01258,0.03016,0.0,0.0,0.0,1.3363099999999999,0.0,0.0,0.0,0.0,0.00249,0.0,0.0,0.0,0.00095,0.0,0.0,0.0,0.0005,0.03487,0.0,0.0,0.55759,1.88088,0.0355,0.0,0.0,0.0,0.00943,0.0,0.01021,0.0,0.01451,0.0,0.0,0.0982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00513,0.0,0.00509,10.15252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012336,1,0.0,31.227889999999995,0.0446,0.0,42.40166,0.53888,0.0,0.47435000000000005,0.12488999999999999,0.05011999999999999,0.50865,4.4836100000000005,0.05069,0.0,0.68367,0.0,0.0049,0.09341,0.0,0.0,0.00557,0.0,0.01158,0.0,0.0,0.01043,0.00046,0.0,0.15034000000000003,0.0,1.79704,0.40243,0.0,0.24074,6.85346,0.0,0.0,0.0,0.0,0.0751,0.04097,0.0,0.0,0.02203,0.0,0.05682,0.0,0.00767,0.02553,0.01376,0.0,0.99204,4.410299999999999,0.00869,0.03752,0.0,0.02592,0.00127,0.01615,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01978,0.00031,0.0,0.0,0.0,1.25961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00713,0.0,0.0,0.0,0.0,0.0,0.01534,0.00104,0.0,0.0,0.0,0.0,1.91515,0.39441,0.28035,0.05713,0.0374,0.02317,0.00981,0.00684,0.00631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
