sample_id,label,o__Synergistales,o__Bacteroidales,o__Coriobacteriales,o__Eubacteriales,o__Acidaminococcales,o__Desulfovibrionales,o__Lactobacillales,o__Eggerthellales,o__Erysipelotrichales,o__Enterobacterales,o__Bifidobacteriales,o__Candidatus_Saccharimonadales,o__OFGB15212,o__Candidatus_Saccharibacteria_unclassified,o__OFGB1226,o__OFGB1262,o__Selenomonadales,o__OFGB1126,o__Actinomycetales,o__Burkholderiales,o__OFGB1776,o__OFGB14936,o__OFGB2982,o__OFGB1765,o__OFGB3069,o__OFGB1217,o__OFGB75721,o__Pasteurellales,o__OFGB3048,o__OFGB3038,o__OFGB1011,o__Clostridia_unclassified,o__OFGB3047,o__Veillonellales,o__Bacteria_unclassified,o__OFGB3023,o__OFGB1354,o__OFGB2915,o__OFGB1227,o__OFGB3057,o__Verrucomicrobiales,o__OFGB1292,o__Firmicutes_unclassified,o__OFGB1380,o__OFGB3062,o__OFGB38642,o__OFGB77988,o__Propionibacteriales,o__OFGB45628,o__Candidatus_Nanogingivales,o__Bacillales,o__OFGB4806,o__Micrococcales,o__OFGB4605,o__OFGB1359,o__OFGB45503,o__OFGB72924,o__OFGB2997,o__OFGB3072,o__OFGB1325,o__OFGB2960,o__OFGB10477,o__OFGB32970,o__OFGB9989,o__Corynebacteriales,o__Fusobacteriales
CRR1012336,1,0.0,27.741879999999995,0.04381,42.27311999999999,0.11784,0.47435000000000005,0.11805999999999998,0.042609999999999995,0.14852,4.4836100000000005,0.68367,0.0049,0.09341,0.00557,0.01158,0.0,0.0,0.00046,0.01043,0.01488,1.35153,0.40243,0.24074,1.90822,0.0,0.0751,0.0,0.0,0.02203,0.05163,0.00767,0.02553,0.01376,0.99204,0.00869,0.03752,0.0,0.01615,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,4.410299999999999,0.07264,0.0,0.0,0.0,0.0,0.0,0.0,0.01978,0.00972,0.0,1.25961,0.0,0.00031,1.91515,0.00981,0.0,0.0,0.0,0.0,0.0
CRR1012349,0,0.0,8.867489999999998,0.0052,69.64261999999995,0.0,0.01924,0.39992999999999995,1.16752,0.56135,0.01816,0.0,0.00302,0.0,0.041319999999999996,0.0,0.0,0.00668,0.00287,0.00187,0.16379,4.47303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01947,0.06071,0.01963,0.43423,0.00213,2.2257499999999997,0.02309,0.10884,2.84697,0.39487,0.02338,0.01999,0.0,0.0,0.10077,0.0,0.0,0.0,0.0,0.0,0.01557,0.0,0.00054,0.0,0.00167,0.0,0.0,0.0,0.0,0.00109,0.00401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012358,0,0.0,6.10752,1.24359,54.853329999999964,5.70814,1.23365,5.614480000000001,1.2078700000000002,0.79924,1.27171,7.8498,0.02851,0.0,0.17706999999999998,0.0,0.0,0.0,0.0,0.03308,0.06183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00849,0.0,0.0,0.0,0.03847,0.0,0.23502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023280000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01293,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012371,1,0.0,17.073100000000007,0.5001800000000001,50.43923999999999,1.36797,1.0593700000000001,0.5244800000000001,1.14055,2.7741299999999995,0.29340999999999995,0.40058,0.00693,0.0,0.04173,0.00012,0.03916,0.0,0.0,0.01948,0.26334,0.71471,2.05979,0.02124,0.0,0.0,0.0,0.0,0.01798,0.03005,0.01392,0.0,0.00041,0.01427,0.01828,0.0245,0.02047,0.26247,0.0,0.00989,0.01129,0.00063,0.0,0.28062000000000004,0.0,0.56488,0.49585,0.14653,0.0,0.00052,0.0,0.02471,0.0,0.00395,0.0,0.03284,0.02413,0.02115,0.00527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012380,0,0.0,2.5381299999999998,21.510229999999996,51.401319999999984,0.01649,0.08767,2.5608300000000006,1.10009,2.64551,0.8511700000000001,2.59033,0.0061,0.0,0.32700999999999997,0.0,0.0,3.04054,0.0,0.55529,0.05701,0.00367,0.0,0.0,0.0,0.0,0.01869,0.0,0.01555,0.12427,0.0,0.0005,0.12228,0.0176,0.21488,0.09131,0.0,0.0,0.0,0.01371,0.0,1.40032,0.12626,0.09712,0.19993,0.0,0.0,0.0,0.00428,0.0,0.03743,0.01113,0.0,0.01512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01465,0.0
CRR1012436,1,0.0,18.90004,1.24281,48.089180000000006,0.55467,0.02697,0.18853999999999999,0.98417,0.7528600000000001,0.16862,0.51418,0.01606,0.18477,0.032799999999999996,0.02623,0.0,0.0,0.0,0.0008799999999999999,0.21570999999999999,6.73696,5.78396,0.74188,0.41213999999999995,0.06591,0.05302,0.03001,0.02693,0.02628,0.02075,0.01267,0.01019,0.01018,0.01778,0.00807,0.00667,0.00413,0.00228,0.00112,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012452,1,0.0,6.17571,4.06575,44.16458,0.00185,1.01703,0.33798999999999996,0.43157999999999996,6.09089,0.36097,21.29426,0.0266,0.0,0.02808,0.0,0.12075,0.34574,0.0,0.0483,0.049389999999999996,0.0,0.02216,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.02316,0.01224,0.0,0.07043,0.00368,0.04026,0.48578,0.0,0.0,0.07384,1.05182,0.15494,0.0,0.02885,0.0,0.0,0.0,0.01414,0.0,0.00275,0.00396,0.0,0.00188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01021,0.0
CRR1012459,1,0.02569,25.14656,0.0,47.04800999999999,0.0,0.18185,0.8337500000000001,1.69005,4.01813,2.03909,0.81226,0.0,0.0,0.0,0.0259,0.01814,0.0,0.0,0.0,0.05856,0.0,0.83751,0.74194,0.0,0.12789,0.20848,0.00683,0.0,0.03438,0.10011,0.05591,0.00296,0.0,0.0,0.02088,0.03133,2.0456,0.01728,0.0,0.01423,1.88378,0.116,0.05431,0.0,0.88621,0.0,0.0,0.0,0.00073,0.0,0.0,0.0,0.0,0.0,0.01517,0.0,0.00051,0.0,0.0,0.29889,0.0,0.41533,0.00566,0.0,0.0,0.0
CRR1012463,1,0.0,22.12901,17.89221,47.080299999999994,0.00251,0.16629,0.41692,0.62241,0.07306000000000001,7.07434,2.4493,0.0,0.0,0.0,0.0,0.0,0.08918,0.0,0.00201,0.0,0.0,0.08893,0.0,0.00406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0,0.02887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012467,1,0.0,29.717329999999997,0.07514,63.353280000000005,0.0,0.01975,0.6985899999999999,0.32686000000000004,1.26064,0.02658,0.56406,0.0,0.0,0.0,0.0,0.0,0.0,0.00406,0.0,0.63172,0.0,0.0,0.0,0.0,0.0,0.04093,0.04141,0.01941,0.00605,0.00102,0.0,0.0,0.02655,1.49014,0.04941,0.03319,0.0,0.00455,0.0,0.0,0.07281,0.06495,0.07675,0.14155,0.0,0.33259,0.0,0.0,0.0,0.0,0.0,0.0,0.00258,0.0,0.0,0.0,0.0,0.07814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012468,1,34.38693,40.04496000000001,1.71251,10.94516,0.6789,0.45747,0.49683,0.43851,0.22036,0.10622,0.06219,0.03307,0.02982,0.035449999999999995,0.01667,0.00976,0.00477,0.00313,0.00295,0.00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012470,1,0.00833,48.83050999999999,0.04894,38.827069999999964,1.77537,0.18693,0.17424999999999996,0.0054800000000000005,0.31930000000000003,0.28034,0.11784,0.01666,0.0,0.0393,0.0,0.0,0.84027,0.0,0.00768,0.194,0.0,0.0,0.0,0.0,0.0,0.06826,0.0,0.0,0.03008,0.00119,0.03278,0.01338,0.01733,0.37407,0.00999,0.0,0.0,0.0,0.0,0.0,0.61748,0.3211,0.29632,0.06072,0.04711,0.0114,0.0096,0.00517,0.00141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012471,1,0.00471,27.176759999999998,0.18669,26.94903,0.07647,0.34898,1.6415899999999999,0.0317,0.06299,0.48218,0.86281,0.00062,0.00608,0.0,0.00346,0.00887,0.0,0.0,0.00272,0.14233,2.00568,0.0,0.20555,0.33891,0.0,0.0,0.01901,0.01075,0.004,0.0,0.00435,0.0,0.00105,0.34898,0.00272,0.00843,0.15568,0.0,0.0,0.0,0.0,0.0,0.03107,0.0,0.76506,0.27581,0.0,0.0,0.0,0.0,0.0,1.69802,0.0,0.00721,0.02902,0.0,0.10788,0.0,0.0,0.0,0.02752,0.00301,0.01454,0.06061,0.0,0.0
CRR1012474,1,0.0,54.574529999999996,0.26252,17.92789,0.0,0.25978999999999997,0.88684,0.01047,0.8575799999999999,17.98686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00268,0.02908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141,0.7511599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012480,1,0.0,33.73183,0.90583,48.19170999999999,0.00586,0.07537,1.2489499999999996,0.46813,0.21381,0.17637000000000003,0.18367,0.01812,0.0,0.03791,0.00253,0.0,0.77964,0.0,0.010029999999999999,0.46915,1.79524,0.0,0.01767,0.0,0.0,0.01652,0.0,0.51199,0.0,0.0,0.0,0.00893,0.04084,0.13574,0.02973,0.0,0.00169,0.0,0.0,0.0,2.51989,0.05253,0.0,0.0,0.0,0.08801,0.0,0.0,0.0,0.0,0.0,0.02032,0.01729,0.00536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012487,1,0.0,27.32599,0.0,45.31289999999999,0.00312,0.01543,0.08073,0.28612000000000004,0.61661,1.24551,3.6865,0.0,0.0,0.0,0.0,0.0,0.0,0.00139,0.0,0.0,0.0,0.0,0.0,2.91966,0.0,0.15769,0.0,0.0,0.0,0.05506,0.0,0.00265,0.0,0.0,0.01905,0.00322,0.0,0.0,0.0,0.0,0.00084,0.35988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06974,0.0,0.0,0.0
