sample_id,label,f__Synergistaceae,f__Rikenellaceae,f__Tannerellaceae,f__Bacteroidaceae,f__Coriobacteriaceae,f__Eubacteriales_unclassified,f__Oscillospiraceae,f__Odoribacteraceae,f__Acidaminococcaceae,f__Lachnospiraceae,f__Clostridiaceae,f__Desulfovibrionaceae,f__Christensenellaceae,f__Eubacteriales_Family_XIII_Incertae_Sedis,f__Lactobacillaceae,f__Eggerthellaceae,f__Eubacteriales_incertae_sedis,f__Streptococcaceae,f__Erysipelotrichaceae,f__Enterobacteriaceae,f__Eubacteriaceae,f__Peptostreptococcaceae,f__Bifidobacteriaceae,f__Candidatus_Saccharimonadaceae,f__Prevotellaceae,f__FGB15212,f__Coprobacillaceae,f__Candidatus_Saccharibacteria_unclassified,f__FGB1226,f__Enterococcaceae,f__FGB1262,f__Barnesiellaceae,f__Selenomonadaceae,f__FGB1126,f__Actinomycetaceae,f__Sutterellaceae,f__Atopobiaceae,f__FGB1776,f__FGB14936,f__FGB2982,f__FGB1765,f__Turicibacteraceae,f__FGB3069,f__FGB1217,f__FGB75721,f__Pasteurellaceae,f__FGB3048,f__FGB3038,f__FGB1011,f__Clostridia_unclassified,f__FGB3047,f__Veillonellaceae,f__Bacteria_unclassified,f__FGB3023,f__FGB1354,f__FGB2915,f__Carnobacteriaceae,f__FGB1227,f__FGB3057,f__Akkermansiaceae,f__FGB1292,f__Firmicutes_unclassified,f__FGB1380,f__FGB3062,f__FGB38642,f__FGB77988,f__Propionibacteriaceae,f__FGB45628,f__Candidatus_Nanogingivalaceae,f__Bacillales_unclassified,f__FGB4806,f__Micrococcaceae,f__FGB4605,f__Oxalobacteraceae,f__FGB1359,f__FGB45503,f__FGB72924,f__FGB2997,f__FGB3072,f__FGB1325,f__FGB2960,f__FGB10477,f__FGB32970,f__FGB9989,f__Corynebacteriaceae,f__Fusobacteriaceae
CRR1012336,1,0.0,5.59229,1.31285,18.03826,0.04381,0.53589,12.261270000000001,0.6853800000000001,0.11784,24.66876,1.8996699999999995,0.47435000000000005,0.0064,0.04659,0.00936,0.042609999999999995,0.56501,0.10869999999999999,0.14852,4.4836100000000005,2.26741,0.02212,0.68367,0.0049,1.16076,0.09341,0.0,0.00557,0.01158,0.0,0.0,0.95234,0.0,0.00046,0.01043,0.01488,0.0,1.35153,0.40243,0.24074,1.90822,0.0,0.0,0.0751,0.0,0.0,0.02203,0.05163,0.00767,0.02553,0.01376,0.99204,0.00869,0.03752,0.0,0.01615,0.0,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,4.410299999999999,0.07264,0.0,0.0,0.0,0.0,0.0,0.0,0.01978,0.0,0.00972,0.0,1.25961,0.0,0.00031,1.91515,0.00981,0.0,0.0,0.0,0.0,0.0
CRR1012349,0,0.0,2.33526,0.18818000000000001,5.683760000000001,0.0052,4.51571,23.57871,0.07305,0.0,26.941620000000004,6.3527200000000015,0.01924,0.10192999999999999,0.20111,0.0,1.16752,0.90197,0.39296,0.27205,0.01816,6.71846,0.33038999999999996,0.0,0.00302,0.15414,0.0,0.0,0.041319999999999996,0.0,0.00642,0.0,0.4331,0.00668,0.00287,0.00187,0.16179,0.0,4.47303,0.0,0.0,0.0,0.2893,0.0,0.0,0.0,0.0,0.01947,0.06071,0.01963,0.43423,0.00213,2.2257499999999997,0.02309,0.10884,2.84697,0.39487,0.00055,0.02338,0.01999,0.0,0.0,0.10077,0.0,0.0,0.0,0.0,0.0,0.01557,0.0,0.00054,0.0,0.00167,0.0,0.002,0.0,0.0,0.0,0.00109,0.00401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012358,0,0.0,0.05459,1.5698,4.44012,1.24359,0.2873,5.48367,0.04301,5.70814,47.77476999999998,1.1763600000000003,1.23365,0.01241,0.01219,0.14439,1.2078700000000002,0.0,5.4666700000000015,0.7823599999999999,1.27171,0.06269999999999999,0.04393,7.8498,0.02851,0.0,0.0,0.01688,0.17706999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.03308,0.06183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00849,0.0,0.0,0.0,0.03847,0.0,0.23502,0.0,0.0,0.0,0.0,0.00342,0.0,0.0,0.0,0.023280000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01293,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012371,1,0.0,9.636110000000002,0.6662800000000001,4.26324,0.49506000000000006,1.3998199999999998,16.986980000000003,0.25532,1.36797,26.453839999999996,1.86373,1.0593700000000001,0.03619,0.21479999999999996,0.01906,1.14055,0.6816,0.50407,2.5032799999999997,0.29340999999999995,2.5574000000000003,0.24488,0.40058,0.00693,0.75313,0.0,0.0,0.04173,0.00012,0.0,0.03916,1.49902,0.0,0.0,0.01948,0.13383,0.00512,0.71471,2.05979,0.02124,0.0,0.27085,0.0,0.0,0.0,0.01798,0.03005,0.01392,0.0,0.00041,0.01427,0.01828,0.0245,0.02047,0.26247,0.0,0.00135,0.00989,0.01129,0.00063,0.0,0.28062000000000004,0.0,0.56488,0.49585,0.14653,0.0,0.00052,0.0,0.02471,0.0,0.00395,0.0,0.12951,0.03284,0.02413,0.02115,0.00527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012380,0,0.0,1.0520199999999997,0.06628,1.4179199999999998,21.461589999999998,2.4988200000000003,9.62666,0.00191,0.01649,33.743919999999996,0.8979500000000001,0.08767,0.04161,0.22446,0.02586,1.10009,2.30818,2.4869200000000005,2.64551,0.8511700000000001,1.9068100000000001,0.15291,2.59033,0.0061,0.0,0.0,0.0,0.32700999999999997,0.0,0.026510000000000002,0.0,0.0,3.04054,0.0,0.55529,0.05701,0.04864,0.00367,0.0,0.0,0.0,0.0,0.0,0.01869,0.0,0.01555,0.12427,0.0,0.0005,0.12228,0.0176,0.21488,0.09131,0.0,0.0,0.0,0.02154,0.01371,0.0,1.40032,0.12626,0.09712,0.19993,0.0,0.0,0.0,0.00428,0.0,0.03743,0.01113,0.0,0.01512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01465,0.0
CRR1012436,1,0.0,4.87618,5.26716,4.78657,1.24281,0.8816599999999999,11.198470000000002,0.54786,0.55467,31.067639999999994,1.7814899999999998,0.02697,0.0,0.25333,0.0,0.98417,1.28429,0.18642999999999998,0.5293800000000001,0.16862,1.3166900000000001,0.30561,0.51418,0.01606,3.42227,0.18477,0.0,0.032799999999999996,0.02623,0.0,0.0,0.0,0.0,0.0,0.0008799999999999999,0.21570999999999999,0.0,6.73696,5.78396,0.74188,0.41213999999999995,0.22348,0.06591,0.05302,0.03001,0.02693,0.02628,0.02075,0.01267,0.01019,0.01018,0.01778,0.00807,0.00667,0.00413,0.00228,0.00211,0.00112,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012452,1,0.0,2.39494,0.21195,1.0796700000000001,4.06575,1.07872,10.01167,0.00899,0.00185,24.39847,0.43178,1.01703,0.01022,0.36559,0.03793,0.43157999999999996,4.22447,0.29033000000000003,5.47175,0.36097,1.6526999999999998,1.9909599999999998,21.29426,0.0266,2.47133,0.0,0.0,0.02808,0.0,0.00973,0.12075,0.00883,0.34574,0.0,0.0483,0.049389999999999996,0.0,0.0,0.02216,0.0,0.0,0.61914,0.0,0.0,0.0,0.0098,0.0,0.0,0.02316,0.01224,0.0,0.07043,0.00368,0.04026,0.48578,0.0,0.0,0.0,0.07384,1.05182,0.15494,0.0,0.02885,0.0,0.0,0.0,0.01414,0.0,0.00275,0.00396,0.0,0.00188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01021,0.0
CRR1012459,1,0.02569,9.99875,1.30807,13.518169999999998,0.0,1.17085,19.61135,0.32157,0.0,23.48073,0.8581000000000001,0.18185,0.01745,0.0045,0.05995,1.69005,0.63659,0.77085,4.01813,2.03909,1.2274500000000002,0.04099,0.81226,0.0,0.0,0.0,0.0,0.0,0.0259,0.0,0.01814,0.0,0.0,0.0,0.0,0.05856,0.0,0.0,0.83751,0.74194,0.0,0.0,0.12789,0.20848,0.00683,0.0,0.03438,0.10011,0.05591,0.00296,0.0,0.0,0.02088,0.03133,2.0456,0.01728,0.00295,0.0,0.01423,1.88378,0.116,0.05431,0.0,0.88621,0.0,0.0,0.0,0.00073,0.0,0.0,0.0,0.0,0.0,0.0,0.01517,0.0,0.00051,0.0,0.0,0.29889,0.0,0.41533,0.00566,0.0,0.0,0.0
CRR1012463,1,0.0,0.1395,1.44114,20.464530000000003,17.89221,0.03024,10.4078,0.07686,0.00251,35.96794,0.26328,0.16629,0.0,0.0,0.0,0.62241,0.01861,0.41489000000000004,0.07306000000000001,7.07434,0.00167,0.39076,2.4493,0.0,0.00547,0.0,0.0,0.0,0.0,0.0,0.0,0.00151,0.08918,0.0,0.00201,0.0,0.0,0.0,0.08893,0.0,0.00406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.0,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.14645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0,0.0,0.02887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012467,1,0.0,11.438379999999999,1.72604,13.5773,0.07514,1.03321,21.092950000000002,0.64253,0.0,22.922170000000012,2.1347800000000006,0.01975,0.00482,0.07442,0.04136,0.32686000000000004,3.57774,0.65576,1.25617,0.02658,12.274080000000001,0.23911,0.56406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33308,0.0,0.00406,0.0,0.39375,0.0,0.0,0.0,0.0,0.0,0.00447,0.0,0.04093,0.04141,0.01941,0.00605,0.00102,0.0,0.0,0.02655,1.49014,0.04941,0.03319,0.0,0.00455,0.00147,0.0,0.0,0.07281,0.06495,0.07675,0.14155,0.0,0.33259,0.0,0.0,0.0,0.0,0.0,0.0,0.00258,0.0,0.23797,0.0,0.0,0.0,0.07814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012468,1,34.38693,31.2897,3.1112200000000003,4.5043,1.7112,1.9450500000000002,4.493730000000001,1.10122,0.6789,2.8504000000000005,0.62129,0.45747,0.32017,0.33857000000000004,0.30232,0.43851,0.18923,0.17969000000000002,0.20223,0.10622,0.12852,0.0582,0.06219,0.03307,0.03007,0.02982,0.01813,0.035449999999999995,0.01667,0.01482,0.00976,0.00845,0.00477,0.00313,0.00295,0.00142,0.00131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012470,1,0.00833,9.64053,1.74993,37.22773000000001,0.04835,0.14597999999999997,21.419080000000008,0.14505,1.77537,9.553890000000004,1.4881300000000002,0.18693,0.00439,0.01889,0.0,0.0054800000000000005,5.93602,0.17424999999999996,0.27601000000000003,0.28034,0.26069,0.0,0.11784,0.01666,0.0,0.0,0.04329,0.0393,0.0,0.0,0.0,0.06727,0.84027,0.0,0.00768,0.194,0.00059,0.0,0.0,0.0,0.0,0.0,0.0,0.06826,0.0,0.0,0.03008,0.00119,0.03278,0.01338,0.01733,0.37407,0.00999,0.0,0.0,0.0,0.0,0.0,0.0,0.61748,0.3211,0.29632,0.06072,0.04711,0.0114,0.0096,0.00517,0.00141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
