sample_id,label,g__Pyramidobacter,g__Alistipes,g__Parabacteroides,g__Phocaeicola,g__Collinsella,g__Bacteroides,g__Gemmiger,g__Oscillospiraceae_unclassified,g__Odoribacter,g__Phascolarctobacterium,g__Vescimonas,g__Ruthenibacterium,g__GGB9715,g__Ruminococcus,g__Blautia,g__Evtepia,g__Anaerobutyricum,g__Butyricimonas,g__Faecalibacterium,g__Hungatella,g__Desulfovibrio,g__Mediterraneibacter,g__Christensenella,g__GGB9760,g__Lentihominibacter,g__Clostridium,g__Ligilactobacillus,g__Eggerthella,g__Dorea,g__Anaerotruncus,g__Raoultibacter,g__Candidatus_Cibionibacter,g__Streptococcus,g__Erysipelatoclostridium,g__GGB3433,g__Bilophila,g__Coprococcus,g__Escherichia,g__Eubacteriaceae_unclassified,g__GGB3653,g__Wujia,g__Romboutsia,g__GGB3345,g__Limosilactobacillus,g__Agathobaculum,g__Bifidobacterium,g__Roseburia,g__Intestinimonas,g__Candidatus_Nanosynsacchari,g__Segatella,g__GGB41458,g__Lachnoclostridium,g__Lachnospiraceae_unclassified,g__Faecalibacillus,g__Anaerofustis,g__Faecalicatena,g__Lachnospira,g__Eubacterium,g__Coprobacillus,g__Candidatus_Saccharibacteria_unclassified,g__Anaerostipes,g__Fusicatenibacter,g__GGB2998,g__GGB12798,g__Enterococcus,g__Provencibacterium,g__Lactobacillus,g__Holdemania,g__GGB3061,g__Coprobacter,g__Oscillibacter,g__Dysosmobacter,g__Simiaoa,g__Enterocloster,g__Emergencia,g__Brotolimicola,g__Intestinibacter,g__Parascardovia,g__Megamonas,g__Fumia,g__GGB2848,g__Wansuia,g__GGB3632,g__Flavonifractor,g__Actinomyces,g__Clostridiaceae_unclassified,g__Parasutterella,g__GGB4456,g__Lancefieldella,g__Neobittarella,g__Schaalia,g__Mogibacterium,g__GGB4683,g__GGB3256,g__GGB9342,g__Gordonibacter,g__Paraprevotella,g__GGB9699,g__GGB4578,g__GGB9634,g__GGB9730,g__Turicibacter,g__Sutterella,g__Klebsiella,g__GGB9365,g__Oliverpabstia,g__Anaerotignum,g__GGB51441,g__GGB9770,g__Anaeromassilibacillus,g__GGB2982,g__GGB9707,g__Eubacteriales_unclassified,g__Tyzzerella,g__Massilioclostridium,g__Hydrogeniiclostridium,g__GGB9614,g__GGB9524,g__Haemophilus,g__Lacrimispora,g__GGB9561,g__Pseudoflavonifractor,g__GGB33586,g__GGB35068,g__Jingyaoa,g__GGB2653,g__Clostridia_unclassified,g__GGB52130,g__Veillonella,g__Lawsonibacter,g__Bacteria_unclassified,g__GGB9616,g__GGB4552,g__GGB9501,g__Enterobacter,g__GGB3444,g__Anaerofilum,g__GGB3304,g__Massiliimalia,g__Lactonifactor,g__GGB9646,g__GGB36267,g__Granulicatella,g__GGB3005,g__GGB9719,g__Lachnotalea,g__GGB3619,g__Akkermansia,g__GGB3109,g__GGB9512,g__Barnesiella,g__GGB3363,g__Megasphaera,g__Jutongia,g__GGB9747,g__GGB9559,g__Hydrogenoanaerobacterium,g__Phocea,g__GGB9766,g__GGB9359,g__Actinobaculum,g__Propionibacterium,g__GGB33469,g__Zhenpiania,g__GGB58233,g__GGB9531,g__Dialister,g__Faecalimonas,g__GGB9759,g__GGB3740,g__Lactococcus,g__Amedibacillus,g__GGB12785,g__Gemella,g__GGB3278,g__GGB4684,g__Adlercreutzia,g__GGB9635,g__GGB9758,g__GGB9708,g__Mesosutterella,g__Allisonella,g__GGB51647,g__Rothia,g__GGB13493,g__GGB9627,g__GGB13404,g__GGB51959,g__GGB9595,g__GGB9813,g__GGB9593,g__Senegalimassilia,g__GGB9602,g__Oxalobacter,g__GGB9597,g__Eisenbergiella,g__GGB3321,g__GGB9790,g__GGB3612,g__GGB9502,g__Citrobacter,g__GGB9534,g__GGB2980,g__GGB9444,g__Dielma,g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,g__Negativibacillus,g__GGB9590,g__Peptostreptococcus,g__Bittarella,g__GGB3537,g__GGB45613,g__Cuneatibacter,g__GGB9781,g__GGB4585,g__GGB4605,g__GGB3277,g__Sellimonas,g__GGB3175,g__Longicatena,g__GGB9302,g__Weissella,g__GGB9345,g__Cloacibacillus,g__GGB51884,g__GGB3818,g__GGB36331,g__GGB9712,g__Scardovia,g__Leuconostoc,g__Corynebacterium,g__GGB3550,g__Holdemanella,g__Massilimicrobiota,g__Fusobacterium,g__Butyricicoccus
CRR1012336,1,0.0,5.59229,1.31285,7.10581,0.02259,10.932450000000001,0.43235,1.38654,0.61944,0.11784,0.03754,0.0742,0.49642000000000003,1.40088,1.29889,0.05469,0.04092,0.06594,4.524520000000001,0.00286,0.40127,0.39978,0.0064,0.0,0.02355,0.98851,0.00293,0.0,0.19249,0.01105,0.01339,0.56501,0.10869999999999999,0.0,0.0,0.07308,0.35756,3.71453,0.0,0.44824,1.34145,0.01963,0.02783,0.0,0.23211,0.68367,2.9063100000000004,0.022949999999999998,0.0049,0.0,0.09341,0.00502,16.15522,0.12418,0.00034,0.26489,0.40619000000000005,2.26707,0.0,0.00557,0.1329,0.13126,0.01158,0.0,0.0,0.0,0.0,0.01167,0.0,0.0,1.8896,0.05077,0.00049,0.08648,0.0,0.30117,0.00249,0.0,0.0,0.0,0.00046,0.00568,0.0,0.01307,0.01043,0.9082999999999999,0.01488,0.0,0.0,0.0,0.0,0.00128,1.35153,0.40243,0.24074,0.00609,1.16076,0.00107,0.3067,0.0,0.2191,0.0,0.0,0.71196,0.00131,0.0,0.08981,0.00712,0.0,0.02009,0.0751,0.10877,0.0259,0.0,0.0,0.0,0.00148,0.0,0.0,0.0187,0.02203,0.00068,0.0,0.0,0.0,0.00767,0.02553,0.01376,0.0864,0.05491,0.00869,0.0,0.0,0.0,0.05712,0.02131,0.00032,0.0,0.0,0.0,0.00212,0.01615,0.0,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.95234,0.0,0.0,0.03902,0.0,0.0,0.00998,0.00152,0.04224,0.07264,0.0,0.0,0.0,0.0173,0.0,0.0,0.90564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02182,0.0,4.36806,0.0,0.0,0.0,0.0,0.0,0.0,0.11016,0.01978,0.0,0.0,0.0,1.18899,0.02122,0.37193,0.0,0.0,0.01786,0.00972,0.0,1.25961,0.03752,0.0,0.05163,0.00446,0.0,0.0007,0.0,0.0,0.02562,0.0,0.0,0.0,0.0,0.0,0.00031,0.92481,0.67671,0.0,0.0,1.91515,0.01197,0.00981,0.00643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012349,0,0.0,2.33526,0.18818000000000001,2.8207,0.0052,2.86306,3.07071,8.36814,0.05374,0.0,0.02279,0.6593,4.79154,4.271240000000001,4.488709999999999,0.74084,2.7308499999999998,0.01931,2.7107799999999997,0.0,0.0,0.9534800000000001,0.10192999999999999,0.30327,0.15342,6.0336500000000015,0.0,0.51002,0.90789,0.01178,0.16831,0.90197,0.39296,0.01127,0.08698,0.01924,0.232,0.01765,0.10383,2.52596,0.0,0.13503,0.0,0.0,0.36127,0.0,2.63467,0.15299,0.00302,0.0,0.0,0.021519999999999997,1.65223,0.20988,0.0026,0.52969,2.6353,0.19079,0.0,0.03915,1.82691,0.7426999999999999,0.0,0.00217,0.00642,0.0,0.0,0.049240000000000006,0.0,0.22948,1.09448,0.06468,2.97859,0.12433999999999999,0.03433,0.34316,0.12761,0.0,0.00668,0.00458,0.00287,0.00138,0.0,0.07058,0.0,0.31533000000000005,0.16179,0.06775,0.0,0.01113,0.00187,0.0,0.0,0.0,0.0,0.00054,0.15414,0.42603,0.0,0.0,0.31409,0.2893,0.0,0.0,0.0,0.22969,0.09944,0.0,0.0,0.0,0.0,0.0,0.2479,0.0,0.0,0.0,0.00049,0.0,0.0,0.0297,0.01947,0.00183,0.02454,0.0,0.0,0.01963,0.43423,0.00213,0.00119,0.05076,0.02309,0.0,0.0,0.10884,0.00051,0.0,0.00144,2.84697,0.0,0.00374,0.16956,0.39487,0.00055,0.02338,0.01999,0.09784,0.72897,0.0,0.0,0.0,0.20362,0.0,0.0,0.08739,0.0,0.0,0.07749,0.03119,0.0,0.0,0.0,0.0,0.0,0.01336,0.00203,0.02993,2.22456,0.0,0.0,0.19502,0.0,0.0,0.0,0.00054,6.42124,4.47303,0.48865,0.0,0.0,0.0,0.0,0.0,0.0,0.00167,0.0,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01717,0.03182,0.0,0.0,0.0,0.0,0.0,0.00624,0.0,0.00109,0.00166,0.0,0.10077,0.0,0.0,0.04489,0.01441,0.01354,0.01098,0.00401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012358,0,0.0,0.05459,1.5698,1.8974900000000001,1.24359,2.54263,0.0,0.0,0.0,5.70814,0.0,1.83623,0.0,0.61073,3.25333,0.0,11.47257,0.04301,1.1764,0.0,0.0,12.54064,0.01241,0.00627,0.0,0.5379900000000001,0.08169,0.92382,5.7392,0.00023,0.2431,0.0,5.439020000000001,0.7656999999999999,0.0,1.23365,0.0,0.31199,0.0,0.0,0.0,0.04393,0.0,0.052969999999999996,0.84359,7.8498,1.1243999999999998,0.0,0.02851,0.0,0.0,0.04046,12.43482,0.0,0.00162,0.00454,0.01362,0.061079999999999995,0.01688,0.17440999999999998,0.046180000000000006,0.0,0.0,0.00266,0.0,0.0,0.00973,0.0,0.0,0.0,0.0,0.64253,0.0,0.04732,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.04397,0.0,0.34145,0.03308,0.6038600000000001,0.0,0.0,0.0,0.0,0.0,0.01219,0.0,0.0,0.0,0.04095,0.0,0.0,0.0,0.0,0.0,0.0,0.06183,0.14171,0.0,0.0,0.60923,0.04694,0.0,0.0,0.0,0.0,0.11447,0.0,0.03451,0.0,0.0,0.0,0.00849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03847,0.0,0.21865,0.0,0.0,0.0,0.0,0.0,0.81801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00342,0.0,0.0,0.0,0.0,0.0,0.023280000000000002,0.0,0.0,0.0,0.00118,0.0,0.0,0.0,0.0,0.03251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01519,0.20249,0.16656,0.12946,0.02765,0.01666,0.01293,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012371,1,0.0,9.636110000000002,0.6662800000000001,1.07164,0.11391,3.1916,0.76187,0.37616,0.20404,1.36797,0.66948,0.30142,1.19569,3.49822,1.02135,0.2035,0.6333,0.05128,2.00507,0.0,0.0,3.07009,0.03619,0.33099,0.07088,1.34755,0.0,0.00454,5.851039999999999,0.0,0.08052,0.6816,0.49339000000000005,0.13086,0.0,0.04401,0.22221999999999997,0.0,2.03539,0.69789,0.81856,0.01976,0.0,0.00524,0.4673,0.40058,8.847379999999998,0.05294,0.00693,0.2592,0.0,0.0,1.0360600000000002,2.29901,0.02839,0.04036,0.34335000000000004,0.37389,0.0,0.04173,0.11231,0.32643,0.00012,0.0,0.0,0.0,0.01382,0.06829,0.03916,0.0,2.19761,0.10458,0.79405,0.30559,0.00037,0.41896,0.21592,0.0,0.0,0.00252,0.0,0.01376,0.0,0.03107,0.00688,0.51323,0.0,0.00818,0.00512,0.0,0.0126,0.00635,0.71471,2.05979,0.02124,0.00225,0.49393,0.28886,0.0,0.79155,0.51631,0.27085,0.13383,0.24386,0.74224,0.11895,0.02524,0.04742,0.0,0.02681,0.0,0.29223,0.03049,0.0,0.0,0.0,0.0,0.0,0.01798,0.0,0.03005,0.00432,0.00727,0.11973,0.00736,0.0,0.00041,0.01427,0.01828,0.00467,0.0245,0.0,0.0,0.0,0.03337,0.0,0.0,0.26247,0.00212,0.00295,0.00922,0.0,0.00135,0.00989,0.01129,0.0,0.80241,0.00063,0.0,0.27771,1.49902,0.0,0.0,0.53292,0.56488,0.0,0.0,0.00387,0.14621,0.14653,0.0,0.0,0.0,0.12618,0.00052,0.0,0.0,0.26267,0.02003,0.0,0.01068,0.0,0.0,0.02471,0.0,0.0,0.311,0.0,0.34964,0.0,0.0,0.0,0.0,0.00395,0.0,0.01096,0.0,0.00085,3.2014,1.01536,0.63618,0.3803,0.23548,0.12951,0.11222,0.10417,0.03284,0.02413,0.02115,0.02047,0.01618,0.00665,0.00593,0.00527,0.00512,0.00509,0.00291,0.00166,0.00102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012380,0,0.0,1.0520199999999997,0.06628,0.56142,21.409489999999998,0.8565,1.50901,0.06141,0.00191,0.01649,0.0,0.80287,0.06471,2.41394,4.923719999999999,0.96905,1.06358,0.0,4.214169999999999,0.0,0.0,0.87055,0.04161,0.0,0.03205,0.2905,0.0,0.23754,8.12092,0.0,0.17013,2.30818,1.9646400000000002,0.01901,0.03831,0.08767,0.33936,0.18516,0.0,0.0,0.0,0.15291,0.0,0.0,1.55971,2.5902399999999997,4.10933,0.0,0.0061,0.0,0.0,0.01928,8.0549,2.56898,0.0,3.95828,0.06711,1.0798,0.0,0.29613999999999996,0.18774,1.66096,0.0,0.03087,0.026510000000000002,0.0,0.0,0.01904,0.0,0.0,0.27523,0.00858,0.0,0.14738,0.0,0.00611,0.0,9e-05,3.04054,0.0,0.0,0.00128,0.0,0.04361,0.40323000000000003,0.60465,0.0,0.0,0.04864,0.0,0.14307999999999998,0.01404,0.00367,0.0,0.0,0.03972,0.0,0.00758,0.0,0.0,0.13478,0.0,0.05701,0.63702,0.11404,0.0,0.01466,0.04196,0.0,0.0,0.01869,0.00209,0.00435,0.0,0.0,0.0,0.0,0.0,0.01555,0.00011,0.12427,0.0,0.0,0.08272,0.00096,0.0005,0.12228,0.0176,0.02344,0.00536,0.09131,0.0,0.0,0.0,0.02899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02154,0.01371,0.0,0.0,0.0,1.40032,0.12626,0.09712,0.0,0.19993,0.0,0.0,0.0,0.0,0.02125,0.00328,0.0,0.0,0.00898,0.00428,0.0,0.15806,0.0,0.0,0.0,0.01279,0.01641,0.0,0.52228,0.03848,0.03743,0.01113,0.0,0.0,0.53866,0.0,0.0,0.00319,0.0,0.19144,0.0,0.01512,0.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031,0.0,0.0,0.0,0.0049,0.0,0.0,0.0346,0.0,0.0,0.0,0.74429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02586,0.01465,0.0028,0.0,0.0,0.0,0.0
CRR1012436,1,0.0,4.87618,5.26716,0.79313,1.24281,3.99344,0.44209,3.9016700000000006,0.54786,0.55467,0.17944,0.08924,0.0,1.06196,2.9850399999999992,0.36389,3.11802,0.0,2.8324800000000003,0.0,0.0,0.34533,0.0,0.0,0.25333,0.47796,0.0,0.0203,1.4429500000000002,0.0032700000000000003,0.12,1.28429,0.18642999999999998,0.01319,0.0,0.02697,0.62481,0.0114,0.08657,0.27658,3.13458,0.12722,0.0,0.0,0.47637,0.51418,2.4856200000000004,0.02259,0.01606,2.75805,0.18477,0.0,10.49124,0.50546,0.0,0.05498,0.29244000000000003,1.21669,0.0,0.030359999999999998,2.42428,0.08468,0.02623,0.00244,0.0,0.0,0.0,0.01073,0.0,0.0,1.14838,0.01205,1.95754,0.0,0.0,0.97432,0.17634,0.0,0.0,0.0,0.0,0.00276,0.0,0.01424,0.00056,1.25809,0.00047,0.00205,0.0,0.0027,0.00032,0.0,6.73696,5.78396,0.74188,0.70983,0.66422,0.66219,0.40506,0.33176,0.23193,0.22348,0.21524,0.15143,0.13404,0.09848,0.11022,0.07519,0.06591,0.06439,0.05302,0.04983,0.05309,0.04437,0.0415,0.04135,0.03778,0.03001,0.02693,0.02664,0.02628,0.02165,0.02075,0.01343,0.01306,0.01267,0.01019,0.01018,0.01778,0.01233,0.00807,0.01193,0.00708,0.00667,0.00579,0.00443,0.00422,0.00413,0.00403,0.00394,0.00328,0.00228,0.00211,0.00112,0.0006,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012452,1,0.0,2.39494,0.21195,0.5784100000000001,3.92279,0.50126,0.61597,0.10992,0.00899,0.00185,0.0,2.17717,0.0,0.17619999999999997,8.087159999999999,0.43897,3.01254,0.0,5.20136,0.0,0.47273,3.14506,0.01022,0.0,0.15762,0.062279999999999995,0.01092,0.17476,0.37555,0.01145,0.14147,4.22447,0.29033000000000003,0.16910999999999998,0.5582,0.5443,1.42504,0.0,0.0,0.62096,0.78752,1.68797,0.63407,0.02701,0.62706,21.234750000000002,1.12965,0.00175,0.0266,2.47133,0.0,1.79283,0.0,0.0,0.03734,0.12591,0.04101,0.43681,0.0,0.02808,1.35218,1.10063,0.0,0.0,0.00973,0.0,0.0,0.02488,0.12075,0.00883,0.01073,0.83282,0.26101,0.036699999999999997,0.02698,0.00554,0.2703,0.00754,0.34574,0.0,0.0,0.04772,0.0,0.11671,0.04612,0.36261,0.04613,0.03269,0.0,0.0,0.00218,0.0,0.0,0.02216,0.0,0.0465,0.0,0.0,0.0,0.0,0.0,0.61914,0.00326,0.0,0.0,0.0,0.04015,0.10912,0.0,0.08325,0.0,0.0,0.02203,0.21167,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.02316,0.01224,0.0,0.0,0.0,0.00368,0.0,0.0,0.04026,0.36097,0.0,0.0,0.48578,0.0,0.00689,0.0,0.0,0.0,0.0,0.07384,0.0,0.0,1.05182,0.15494,0.0,0.0,0.02885,0.0,0.0,0.0,0.0,0.0,0.00298,0.0,0.0,0.0,0.01414,0.0,0.18099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.00396,0.0,0.0,0.06885,0.0,0.0,0.0,0.0,0.07043,0.0,0.00188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14296,0.0,0.0,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02795,0.0,0.0,0.01917,0.0,0.0,0.0,1.17855,0.10235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05197,0.0,0.01021,0.0,5.25186,0.0259,0.0,0.0
CRR1012459,1,0.0,9.99875,1.30807,4.97542,0.0,8.542749999999998,0.74824,0.04597,0.32157,0.0,0.01043,0.10202,0.18197,4.930160000000001,3.2139800000000003,0.25154,2.34605,0.0,4.03789,0.0,0.0,1.69906,0.01745,0.1163,0.00308,0.43273999999999996,0.04219,0.11271,0.9685900000000001,0.01666,0.01397,0.63659,0.77085,0.0,0.04811,0.18185,3.11637,0.05554,0.64378,0.12899,0.0,0.02568,0.0,0.00789,0.19142,0.81226,2.10033,0.02421,0.0,0.0,0.0,0.00068,5.147869999999999,4.01438,0.01524,0.26725,0.4304,0.56843,0.0,0.0,1.30617,1.2812299999999999,0.0259,0.0,0.0,0.0018,0.00987,0.00375,0.01814,0.0,7.30146,0.12138,0.00818,0.00214,0.0,0.69326,0.01531,0.0,0.0,0.0,0.0,0.0,0.0,0.04953,0.0,0.42536,0.05856,0.0,0.0,0.0,0.0,0.0,0.0,0.83751,0.74194,0.01273,0.0,0.10317,0.0,0.00328,0.08361,0.0,0.0,1.98355,0.51817,0.37183,0.22003999999999999,0.01173,0.12789,0.00859,0.20848,0.0092,0.03056,0.0,0.0,0.0,0.00682,0.00683,0.0,0.05038,0.0333,0.0,0.05749,0.0,0.00409,0.05591,0.00296,0.0,0.0,0.0383,0.02088,0.02689,0.0,0.03133,0.0,0.0,0.0,2.0456,0.0,0.0,0.0,0.01728,0.00295,0.0,0.01423,0.00186,0.00439,1.88378,0.116,0.05431,0.0,0.0,0.0,0.04679,0.88621,0.00108,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.00142,0.0,0.04262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03247,0.80142,0.0,0.15796,0.0,0.0,0.0,0.0,0.00292,0.05337,0.0,0.0,0.24514,0.0,0.0,0.0,1.07087,0.0,0.0,0.01096,0.01517,0.0,0.00051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.00073,0.0,0.0,0.0,0.0,0.0,0.0,0.29889,0.0,0.0,0.0,0.41533,0.02569,0.00566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012463,1,0.0,0.1395,1.44114,9.155,17.89221,11.309530000000002,0.03024,0.04388,0.07686,0.00251,0.0,6.12071,0.0,3.15407,3.8358,0.0,0.71434,0.0,0.42957,0.0,0.0,18.8885,0.0,0.0,0.0,0.24544000000000002,0.0,0.61861,0.00506,0.0,0.0,0.01861,0.41489000000000004,0.0504,0.0,0.16629,0.00378,0.23855,0.0,0.0,0.05584,0.2412,0.0,0.0,0.46315,2.4493,0.05711,0.0,0.0,0.0,0.0,2.6026,0.10108,0.00182,0.0,0.06421,0.023059999999999997,0.00167,0.0,0.0,0.03929,0.24003,0.0,0.0,0.0,0.0,0.0,0.02084,0.0,0.0,0.00452,0.0,0.0,0.9584900000000001,0.0,0.009,0.06513,0.0,0.08918,0.0,0.0,0.02458,0.0,0.12602,0.00201,0.00076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08893,0.0,0.0038,0.00547,0.0,0.00406,0.0,0.00598,0.0,0.0,6.83579,0.0,0.00889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9371,0.0,0.0,0.0,0.0,0.0,0.00533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.01219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01708,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.14645,0.0,0.00151,0.0,0.0,0.0,0.0,0.0,0.0,0.04771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRR1012467,1,0.0,11.438379999999999,1.72604,2.83946,0.07348,10.737840000000002,0.78955,0.18295,0.45173,0.0,0.45536,0.11845,2.37766,5.20007,1.8709,0.0,0.66874,0.1908,6.82695,0.0,0.0,0.40066999999999997,0.00482,0.08932000000000001,0.0,1.3731200000000001,0.0,0.0057,1.2069300000000003,0.03316,0.0,3.57774,0.65576,0.0,0.0,0.01975,0.69272,0.02658,0.03632,0.21895,0.0,0.23006,0.49793,0.0,0.58637,0.56406,11.48687,0.00778,0.0,0.0,0.0,0.0,2.99314,0.30896999999999997,0.0,0.27043,0.55233,0.78006,0.0,0.0,0.38588,0.55604,0.0,0.0,0.0,0.00133,0.04136,0.01716,0.0,0.0,3.3864,0.0395,0.01929,0.26968000000000003,0.06473,0.06807,0.00458,0.0,0.0,0.0,0.00406,0.0,0.0,0.05,0.0,0.76166,0.13222,0.00447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00938,0.0,0.42906,0.0,0.0,0.0714,0.00447,0.26153,0.0,0.18169,0.01051,0.24058,0.01062,0.0,0.00333,0.04093,0.20734,0.14656,0.0,0.0,0.0,0.02407,0.04141,0.01941,0.06994,0.00605,0.00633,0.00102,0.0,0.0,0.0,0.0,0.02655,0.009049999999999999,0.05202999999999999,0.04941,0.03085,0.0,0.0,0.0,0.0,0.01206,0.0,0.00036,0.0,0.0,0.00455,0.00147,0.0,0.0,0.00184,0.01956,0.07281,0.06495,0.0,2.33308,0.14155,0.0,0.43652,0.0,0.0,0.04907,0.01467,0.05441,0.0,0.0,0.0,0.0,0.00969,0.0,0.0,1.48109,0.0,0.0,0.47196,0.0,0.0,0.0,0.0,11.4577,0.0,0.13009,0.0,0.27818,0.37145,0.0,0.0,0.0,0.00258,0.0,0.0,0.0,0.00166,0.0,0.0,0.0,0.0,0.0148,0.23797,0.05,0.0,0.0,0.0,0.0,0.03319,0.0,0.0,0.0,0.07814,0.0,0.0,0.07675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9233,0.00674,0.0,0.0
