AMP 层级生物标志物列表
==================================================

1. Cluster_2523
2. Cluster_4159
3. Cluster_1191
4. Cluster_3705
5. Cluster_2809
6. Cluster_3387
7. Cluster_4122
8. Cluster_889
9. Cluster_879
10. Cluster_651
11. Cluster_1579
12. Cluster_4389
13. Cluster_388
14. Cluster_324
15. Cluster_4361
16. Cluster_517
17. Cluster_2441
18. Cluster_40
19. Cluster_3152
20. Cluster_2299
21. Cluster_3850
22. Cluster_578
23. Cluster_4169
24. Cluster_622
25. Cluster_1379
26. Cluster_2289
27. Cluster_2733
28. Cluster_2853
29. Cluster_3526
30. Cluster_4079
31. Cluster_3551
32. Cluster_4058
33. Cluster_141
34. Cluster_2283
35. Cluster_1473
36. Cluster_3103
37. Cluster_3609
38. Cluster_15
39. Cluster_2624
40. Cluster_329
41. Cluster_2157
42. Cluster_610
43. Cluster_3618
44. Cluster_344
45. Cluster_3202
46. Cluster_3094
47. Cluster_3871
48. Cluster_620
49. Cluster_229
50. Cluster_1357
51. Cluster_3992
52. Cluster_4366
53. Cluster_1760
54. Cluster_3635
55. Cluster_30
56. Cluster_1824
57. Cluster_2821
58. Cluster_1268
59. Cluster_3771
60. Cluster_1833
61. Cluster_1798
62. Cluster_1590
63. Cluster_1960
64. Cluster_4249
65. Cluster_419
66. Cluster_3397
67. Cluster_2605
68. Cluster_4106
69. Cluster_3354
70. Cluster_987
71. Cluster_1967
72. Cluster_1463
73. Cluster_1825
74. Cluster_1430
75. Cluster_2386
76. Cluster_3123
77. Cluster_217
78. Cluster_3610
79. Cluster_3832
80. Cluster_348
81. Cluster_3073
82. Cluster_4267
83. Cluster_368
84. Cluster_3626
85. Cluster_178
86. Cluster_804
87. Cluster_2325
88. Cluster_3422
89. Cluster_2916
90. Cluster_1902
91. Cluster_1010
92. Cluster_2537
93. Cluster_1731
94. Cluster_3097
95. Cluster_2541
96. Cluster_3391
97. Cluster_1359
98. Cluster_1103
99. Cluster_2869
100. Cluster_1702
101. Cluster_4148
102. Cluster_1665
103. Cluster_640
104. Cluster_2037
105. Cluster_779
106. Cluster_29
107. Cluster_3063
108. Cluster_1580
109. Cluster_2608
110. Cluster_1651
111. Cluster_3733
112. Cluster_2064
113. Cluster_2609
114. Cluster_2833
115. Cluster_1416
116. Cluster_1133
117. Cluster_500
118. Cluster_1446
119. Cluster_49
120. Cluster_4264
121. Cluster_3176
122. Cluster_1551
123. Cluster_1418
124. Cluster_2410
125. Cluster_3969
126. Cluster_1295
127. Cluster_220
128. Cluster_1641
129. Cluster_2820
130. Cluster_2242
131. Cluster_286
132. Cluster_202
133. Cluster_1791
134. Cluster_809
135. Cluster_52
136. Cluster_2955
137. Cluster_1024
138. Cluster_566
139. Cluster_2963
140. Cluster_4146
141. Cluster_2
142. Cluster_3870
143. Cluster_3906
144. Cluster_3878
145. Cluster_1594
146. Cluster_129
147. Cluster_670
148. Cluster_3287
149. Cluster_897
150. Cluster_2946
151. Cluster_4201
152. Cluster_437
153. Cluster_2270
154. Cluster_4016
155. Cluster_2660
156. Cluster_3445
157. Cluster_2993
158. Cluster_970
159. Cluster_2973
160. Cluster_3570
161. Cluster_1422
162. Cluster_3062
163. Cluster_44
164. Cluster_3033
165. Cluster_3409
166. Cluster_159
167. Cluster_508
168. Cluster_3741
169. Cluster_2227
170. Cluster_191
171. Cluster_3528
172. Cluster_3881
173. Cluster_2565
174. Cluster_2075
175. Cluster_3086
176. Cluster_3450
177. Cluster_61
178. Cluster_3035
179. Cluster_1096
180. Cluster_2455
181. Cluster_3457
182. Cluster_4125
183. Cluster_3087
184. Cluster_4304
185. Cluster_2721
186. Cluster_3872
187. Cluster_4439
188. Cluster_2024
189. Cluster_3665
190. Cluster_2968
191. Cluster_584
192. Cluster_365
193. Cluster_1095
194. Cluster_168
195. Cluster_360
196. Cluster_2042
197. Cluster_80
198. Cluster_498
199. Cluster_1969
200. Cluster_3476
