feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info,rank
Cluster_2523,4,3.8156312625250504,1.0,0.9759519038076152,1.0,0.8396793587174349,1,1,1,1,1
Cluster_4159,4,3.696166019573525,0.9319371727748691,0.9559118236472945,0.9766536964980544,0.8316633266533067,1,1,1,1,2
Cluster_1191,4,3.549792068909755,0.8900523560209423,0.9278557114228457,0.7859922178988327,0.9458917835671343,1,1,1,1,3
Cluster_3705,4,3.1492902075261,0.9685863874345549,0.969939879759519,0.4552529182879378,0.7555110220440882,1,1,1,1,4
Cluster_2809,4,3.1212507521613198,0.9214659685863874,0.9458917835671343,0.8871595330739299,0.36673346693386777,1,1,1,1,5
Cluster_3387,4,3.0307751404371275,0.8743455497382199,0.9859719438877755,0.9961089494163424,0.17434869739478953,1,1,1,1,6
Cluster_4122,4,3.017308559302891,0.9109947643979057,0.3106212424849699,0.9299610894941635,0.8657314629258517,1,1,1,1,7
Cluster_889,4,2.997686247880282,0.9424083769633508,0.6793587174348698,0.9610894941634242,0.41482965931863724,1,1,1,1,8
Cluster_879,4,2.8761268539074605,0.9528795811518325,0.9498997995991983,0.9533073929961089,0.02004008016032066,1,1,1,1,9
Cluster_651,4,2.6531550684639797,0.9581151832460733,0.9959919839679359,0.011673151750972721,0.687374749498998,1,1,1,1,10
Cluster_1579,4,2.647541584278831,0.7277486910994764,0.8857715430861723,0.8015564202334631,0.23246492985971945,1,1,1,1,11
Cluster_4389,4,2.3874114068379595,0.6073298429319371,0.8196392785571143,0.7159533073929961,0.24448897795591185,1,1,1,1,12
Cluster_388,4,2.294646864981006,0.7853403141361257,0.5591182364729459,0.7237354085603113,0.22645290581162325,1,1,1,1,13
Cluster_324,4,2.195673519508306,0.31413612565445026,0.845691382765531,0.5408560311284047,0.4949899799599199,1,1,1,1,14
Cluster_4361,4,1.89240134066491,0.5759162303664922,0.37274549098196397,0.8715953307392996,0.07214428857715427,1,1,1,1,15
Cluster_517,4,1.8862651658563936,0.12565445026178013,0.6072144288577155,0.6303501945525292,0.5230460921843687,1,1,1,1,16
Cluster_2441,4,1.7729439362355817,0.5445026178010471,0.2885771543086172,0.933852140077821,0.006012024048096198,1,1,1,1,17
Cluster_40,4,1.6959882239268196,0.32460732984293195,0.47895791583166336,0.7120622568093385,0.18036072144288573,1,1,1,1,18
