feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
Cluster_1,0.8911242210632292,1158.5,0.028086779954288967,-0.028086779954288967,-0.03918878134723425,1.5118472471181739,1.5510360284654081,down,0.9904941484480364
Cluster_2,0.28339890964627834,1000.5,0.2222149987833671,-0.2222149987833671,-0.2606131999405238,0.20485768457334871,0.4654708845138725,down,0.8303465897933522
Cluster_4,0.24365466752812337,1284.5,0.27689994813811514,0.27689994813811514,0.2245061695769192,0.0067588686264857265,-0.2177473009504335,up,0.8247422758675907
Cluster_5,0.6429251613669262,1185.5,0.2179785431892731,0.2179785431892731,0.18049383382343256,-0.2291889937684374,-0.40968282759186997,up,0.9640344612055934
Cluster_7,0.0925025723221764,1326.5,0.374836695498317,0.374836695498317,0.21041894903966873,-0.2704329668008422,-0.48085191584051096,up,0.7456155691519907
Cluster_8,0.7998038591535861,1108.0,0.029112671099226,-0.029112671099226,-0.0195965777892671,-0.2051044749927264,-0.1855078972034593,down,0.9719581057913325
Cluster_10,0.6594048622549602,1188.5,0.07897978200139782,0.07897978200139782,0.05692748013515603,-0.2617780682607107,-0.31870554839586673,up,0.970721072263799
Cluster_12,0.4620531268897087,1046.5,0.11152571971427275,-0.11152571971427275,-0.07108240821863542,-0.16901261948604673,-0.09793021126741132,down,0.9236660441860765
Cluster_14,0.2922075635816006,1281.5,0.24144044324849653,0.24144044324849653,0.2876344581086746,1.003436569045257,0.7158021109365823,up,0.8350401994198567
Cluster_15,0.0009361230639810251,1585.5,0.7061242546760289,0.7061242546760289,0.7829934062071109,1.309655604639545,0.526662198432434,up,0.36361694442348674
Cluster_17,0.5047515505009379,1074.0,0.03643048947895229,-0.03643048947895229,-0.01272745127198982,-0.528557911223577,-0.5158304599515872,down,0.9236660441860765
Cluster_20,0.8035341805687022,1153.0,0.14354698485831544,0.14354698485831544,0.03315183970207736,-0.6277559371108937,-0.6609077768129711,up,0.9719581057913325
Cluster_21,0.8621024621362209,1163.0,0.0650372388057595,0.0650372388057595,0.0709325038216384,0.5141192241813807,0.44318672035974227,up,0.9803666225631052
Cluster_22,0.021980301566003346,943.0,0.2992445897021923,-0.2992445897021923,-0.11131810277196758,-0.6015994397312731,-0.4902813369593055,down,0.5763922350135433
Cluster_23,0.04999415571157715,937.0,0.3250359579631171,-0.3250359579631171,-0.27389722403919164,-0.41803087057294575,-0.1441336465337541,down,0.7034148118932773
Cluster_25,0.6146670360106286,1081.5,0.09372878129084936,-0.09372878129084936,-0.0583046398496071,-0.33902985245358036,-0.28072521260397326,down,0.9462733529301497
Cluster_26,0.7732956428595681,1113.0,0.07545229395461192,-0.07545229395461192,-0.042489789120759236,-0.4816728800955016,-0.43918309097474234,down,0.9719581057913325
Cluster_27,0.22605735322835385,1256.5,0.402914714575513,0.402914714575513,0.32831680215341963,-0.2008942193075526,-0.5292110214609722,up,0.8247422758675907
Cluster_29,0.11706627941862931,1281.5,0.42614301825073925,0.42614301825073925,0.33685543465627876,-0.20602504412799869,-0.5428804787842775,up,0.7507151267435214
Cluster_30,0.00675428926727802,1505.0,0.569177168021119,0.569177168021119,0.7303821654247494,1.448588794924222,0.7182066294994726,up,0.5101364588258038
Cluster_31,0.3414575050134515,1250.0,0.21660163593635015,0.21660163593635015,0.18378016640536765,-0.10513622279370682,-0.2889163891990745,up,0.8534637296189568
Cluster_32,0.33168206795299826,1231.5,0.31975765391389305,0.31975765391389305,0.168982672837604,-0.39520689273444437,-0.5641895655720484,up,0.8473599862889556
Cluster_33,0.11884464415751199,1002.0,0.32917242133339186,-0.32917242133339186,-0.11800838352666015,-0.6015994397312731,-0.4835910562046129,down,0.7567648418367098
Cluster_36,0.24545187946370484,1256.0,0.3406291218823174,0.3406291218823174,0.26039796528600034,-0.20433424868102343,-0.4647322139670238,up,0.8247422758675907
Cluster_37,0.9847132368663335,1142.0,0.006661959682349866,-0.006661959682349866,-0.003690305661613047,-0.413373133253483,-0.40968282759186997,down,1.0
Cluster_39,0.7408378992884928,1117.5,0.16112014514522655,-0.16112014514522655,-0.0444052164816815,-0.6408341858007042,-0.5964289693190227,down,0.9719581057913325
Cluster_40,0.03553732847857608,875.5,0.41872320558347254,-0.41872320558347254,-0.38181902475996043,-0.1667902980585678,0.21502872670139261,down,0.6315424583872442
Cluster_41,0.37912476850483723,1022.0,0.132808471717783,-0.132808471717783,-0.15355762929337147,0.5091018439909222,0.6626594732842936,down,0.8727587260940638
Cluster_42,0.22111448083002938,1304.0,0.27537427907296935,0.27537427907296935,0.34075523997900303,0.9669992508320883,0.6262440108530852,up,0.8247422758675907
Cluster_44,0.2445807843668747,1294.0,0.2983744624727729,0.2983744624727729,0.35390066393762065,0.7278459160442049,0.37394525210658425,up,0.8247422758675907
Cluster_45,0.1350177519471843,1264.5,0.4339312884250091,0.4339312884250091,0.2550126064179535,-0.3575360647745563,-0.6125486711925098,up,0.7854512723869518
Cluster_49,0.9851608803669184,1142.5,0.04683009777052939,0.04683009777052939,0.05864955852576559,1.1203728354138174,1.0617232768880518,up,1.0
Cluster_50,0.8482559779678711,1150.0,0.017708614913317006,-0.017708614913317006,-0.008137533899055471,-0.5993771183037941,-0.5912395844047387,down,0.9747716577312011
Cluster_51,0.13351751269981532,1306.0,0.4585964910895268,0.4585964910895268,0.2674356391892405,-0.24839482076234654,-0.515830459951587,up,0.7807185312490277
Cluster_52,0.17816894250797843,964.0,0.1678064724919377,-0.1678064724919377,-0.2006054945754356,0.23849024671072808,0.4390957412861637,down,0.8104727134351158
Cluster_53,0.7437789929862033,1181.0,0.05562751194663444,0.05562751194663444,0.038229762043000465,-0.10560931029469012,-0.14383907233769058,up,0.9719581057913325
Cluster_55,0.23697836683123896,1278.0,0.3098483973969782,0.3098483973969782,0.26348821350375495,-0.044875804165101424,-0.30836401766885635,up,0.8247422758675907
Cluster_56,0.1004004752956668,1240.5,0.26995065917292854,0.26995065917292854,0.08003687083015276,-0.5808709059828182,-0.660907776812971,up,0.7456155691519907
Cluster_58,0.7875212222825055,1161.0,0.1278254611258347,0.1278254611258347,0.056799912882507075,-0.530199635317721,-0.586999548200228,up,0.9719581057913325
Cluster_60,0.8597119090180148,1120.0,0.09366715994413226,0.09366715994413226,0.08445594533477893,-0.1962692672691944,-0.2807252126039733,up,0.9795555596262348
Cluster_61,0.8798340060062391,1160.5,0.06551890916052196,-0.06551890916052196,-0.08696270111236748,2.1902696385441596,2.277232339656527,down,0.9860959036813537
Cluster_62,0.0463423915141126,1324.0,0.29788734166091324,0.29788734166091324,0.19664352663938145,-0.3368075310261014,-0.5334510576654828,up,0.6774460350907106
Cluster_63,0.21473412750596643,1022.0,0.2163941909189468,-0.2163941909189468,-0.11770628113021009,-0.511269406848593,-0.3935631257183829,down,0.8247422758675907
Cluster_64,0.996231324024509,1138.5,0.0011992310537217487,0.0011992310537217487,0.0006988460874514102,-0.39012513926682957,-0.390823985354281,up,1.0
Cluster_65,0.7947821552179904,1171.5,0.07541770044764756,0.07541770044764756,0.04267252209785932,-0.24748211162490846,-0.2901546337227678,up,0.9719581057913325
Cluster_66,0.05492323488345799,1284.0,0.4199583485370399,0.4199583485370399,0.19109543746128782,-0.46981233935168315,-0.660907776812971,up,0.7096528481720156
Cluster_67,0.7586599214183763,1181.5,0.02853076426776674,0.02853076426776674,0.03931656207947065,1.3525096454567762,1.3131930833773056,up,0.9719581057913325
Cluster_68,0.3514385182969769,1197.0,0.2764473652446336,0.2764473652446336,0.08768715588879739,-0.5732206209241736,-0.660907776812971,up,0.8577749831682947
Cluster_69,0.3532587709285677,1243.0,0.17182862589875053,0.17182862589875053,0.11336416381934672,-0.27745982153493426,-0.390823985354281,up,0.8587316402951506
Cluster_70,0.25987438866493184,1035.0,0.3102669942097539,-0.3102669942097539,-0.17487953442612958,-0.5416361599133873,-0.36675662548725774,down,0.8247422758675907
