feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info,rank
K07452,4,3.7516861370575607,0.8996062992125984,0.963963963963964,0.9501779359430605,0.9379379379379379,1,1,1,1,1
K07027,4,3.7052719839518953,0.9744094488188977,0.997997997997998,0.8149466192170819,0.9179179179179179,1,1,1,1,2
K07494,4,3.6928345668503146,0.8740157480314961,0.9189189189189189,1.0,0.8998998998998999,1,1,1,1,3
K05795,4,3.6418167614191375,0.9114173228346457,0.7677677677677678,0.9786476868327402,0.983983983983984,1,1,1,1,4
K11527,4,3.5662390891465905,0.9606299212598425,0.7467467467467468,0.9679715302491103,0.8908908908908909,1,1,1,1,5
K01465,4,3.4964922470036375,0.9960629921259843,0.9169169169169169,0.6405693950177935,0.9429429429429429,1,1,1,1,6
K01586,4,3.428897590672187,0.9429133858267716,0.987987987987988,0.5160142348754448,0.9819819819819819,1,1,1,1,7
K03147,4,3.372897093579695,0.9448818897637795,0.968968968968969,0.7153024911032029,0.7437437437437437,1,1,1,1,8
K03453,4,3.317590617209526,0.9330708661417323,0.9259259259259259,0.7829181494661922,0.6756756756756757,1,1,1,1,9
K01658,4,3.1612764724822338,0.905511811023622,0.995995995995996,0.4199288256227758,0.8398398398398399,1,1,1,1,10
K03315,4,3.141454755116593,0.8681102362204725,0.9819819819819819,0.35943060498220636,0.9319319319319319,1,1,1,1,11
K00088,4,3.1240244433634183,0.9901574803149606,0.9719719719719719,0.402135231316726,0.7597597597597597,1,1,1,1,12
K01719,4,3.093690995335852,0.9763779527559056,0.97997997997998,0.23843416370106763,0.8988988988988988,1,1,1,1,13
K10206,4,3.0477760103814413,0.8700787401574803,0.9619619619619619,0.3238434163701067,0.8918918918918919,1,1,1,1,14
K01955,4,3.0222317127562732,0.7421259842519685,0.984984984984985,0.5693950177935942,0.7257257257257257,1,1,1,1,15
K15738,4,3.0081046944890923,0.9212598425196851,0.9469469469469469,0.1779359430604982,0.9619619619619619,1,1,1,1,16
K01633,4,2.9861709791726323,0.9271653543307087,0.992992992992993,0.4804270462633452,0.5855855855855856,1,1,1,1,17
K01956,4,2.9678607348907455,0.8346456692913385,0.9369369369369369,0.2633451957295374,0.9329329329329329,1,1,1,1,18
K07484,4,2.9514847952444274,0.9665354330708661,0.948948948948949,0.32028469750889677,0.7157157157157157,1,1,1,1,19
K17758,4,2.940058645245408,0.5984251968503937,0.9769769769769769,0.3736654804270463,0.990990990990991,1,1,1,1,20
K03332,4,2.9259798790580307,0.6968503937007874,0.94994994994995,0.896797153024911,0.3823823823823824,1,1,1,1,21
K02470,4,2.919545957535982,0.765748031496063,0.986986986986987,0.20284697508896798,0.963963963963964,1,1,1,1,22
K15255,4,2.8932109737445018,0.39370078740157477,0.8788788788788788,0.9039145907473309,0.7167167167167168,1,1,1,1,23
K00956,4,2.8723603531796993,0.8188976377952756,0.7417417417417418,0.3167259786476868,0.994994994994995,1,1,1,1,24
K01703,4,2.8659733654129376,0.9015748031496063,0.964964964964965,0.09252669039145911,0.9069069069069069,1,1,1,1,25
K24180,4,2.865956367441502,0.8858267716535433,0.9139139139139139,0.6548042704626335,0.41141141141141147,1,1,1,1,26
K22522,4,2.858779254497583,0.7480314960629921,0.975975975975976,0.26690391459074736,0.8678678678678678,1,1,1,1,27
K00852,4,2.854694320795422,0.702755905511811,0.9529529529529529,0.9217081850533808,0.27727727727727725,1,1,1,1,28
K03547,4,2.836906273269655,0.9488188976377953,0.9109109109109109,0.20640569395017794,0.7707707707707707,1,1,1,1,29
K19147,4,2.8282860648077675,0.7578740157480315,0.9159159159159159,0.9252669039145908,0.22922922922922928,1,1,1,1,30
K12410,4,2.816503847978895,0.8090551181102362,0.985985985985986,0.028469750889679735,0.992992992992993,1,1,1,1,31
K00965,4,2.777349504631148,0.7913385826771654,0.5905905905905906,0.7758007117437722,0.6196196196196196,1,1,1,1,32
K01934,4,2.7739680162691345,0.9291338582677166,0.9669669669669669,0.09608540925266906,0.7817817817817818,1,1,1,1,33
K00609,4,2.7208610872199857,0.9980314960629921,0.974974974974975,0.039145907473309594,0.7087087087087087,1,1,1,1,34
K05366,4,2.717619046737493,0.8326771653543307,0.8678678678678678,0.4875444839857651,0.5295295295295295,1,1,1,1,35
K07444,4,2.713238387601601,0.6850393700787402,0.8368368368368369,0.4626334519572953,0.7287287287287287,1,1,1,1,36
K23997,4,2.705745669170726,0.545275590551181,0.95995995995996,0.21352313167259784,0.986986986986987,1,1,1,1,37
K28192,4,2.632864545549837,0.16535433070866146,0.8998998998998999,0.6156583629893239,0.9519519519519519,1,1,1,1,38
K23060,4,2.601829608631806,0.6633858267716535,0.9319319319319319,0.45195729537366547,0.5545545545545545,1,1,1,1,39
K09458,4,2.5358549767858483,0.6259842519685039,0.9329329329329329,0.35231316725978645,0.6246246246246246,1,1,1,1,40
K02346,4,2.5191538737998234,0.6909448818897638,0.8448448448448449,0.5729537366548043,0.4104104104104104,1,1,1,1,41
K01200,4,2.5153654929903984,0.5078740157480315,0.4444444444444444,0.6441281138790036,0.9189189189189189,1,1,1,1,42
K02371,4,2.4842952628420725,0.7322834645669292,0.3723723723723724,0.6619217081850534,0.7177177177177176,1,1,1,1,43
K07271,4,2.440278097190979,0.6515748031496063,0.8628628628628628,0.7686832740213523,0.15715715715715717,1,1,1,1,44
K01952,4,2.430643501124348,0.6594488188976377,0.960960960960961,0.18861209964412806,0.6216216216216216,1,1,1,1,45
K16213,4,2.3901452030672754,0.23818897637795278,0.9049049049049049,0.7615658362989324,0.48548548548548554,1,1,1,1,46
K02283,4,2.384739181976271,0.889763779527559,0.18418418418418414,0.6761565836298933,0.6346346346346347,1,1,1,1,47
K01938,4,2.298672316781152,0.3366141732283464,0.9129129129129129,0.13523131672597866,0.9139139139139139,1,1,1,1,48
K07141,4,2.295258501419008,0.7381889763779528,0.2742742742742743,0.3879003558718861,0.8948948948948949,1,1,1,1,49
K03484,4,2.238459380163642,0.5118110236220472,0.5425425425425425,0.7046263345195729,0.47947947947947944,1,1,1,1,50
K10709,4,2.212419820274221,0.06692913385826771,0.6956956956956957,0.8932384341637011,0.5565565565565566,1,1,1,1,51
K04517,4,2.1823165320727456,0.2696850393700787,0.6146146146146146,0.5302491103202847,0.7677677677677678,1,1,1,1,52
K07030,4,2.1411196061699047,0.5807086614173229,0.5465465465465466,0.34519572953736655,0.6686686686686687,1,1,1,1,53
K03154,4,2.1263106845461763,0.8838582677165354,0.18818818818818817,0.11032028469750887,0.943943943943944,1,1,1,1,54
K21071,4,2.074904611507576,0.5846456692913387,0.45945945945945943,0.08185053380782914,0.948948948948949,1,1,1,1,55
K03696,4,2.009961126817405,0.17913385826771655,0.998998998998999,0.03202846975088969,0.7997997997997998,1,1,1,1,56
K23351,4,1.9874822983377918,0.5314960629921259,0.7407407407407407,0.22775800711743777,0.4874874874874875,1,1,1,1,57
K01187,4,1.9549362459665933,0.36220472440944884,0.6466466466466467,0.7508896797153025,0.19519519519519524,1,1,1,1,58
K07301,4,1.9194549721071983,0.6220472440944882,0.4194194194194194,0.007117437722419906,0.8708708708708709,1,1,1,1,59
K02775,4,1.896824774728493,0.025590551181102317,0.8378378378378378,0.7330960854092528,0.3003003003003003,1,1,1,1,60
K06183,4,1.882452323705441,0.3700787401574803,0.6106106106106106,0.24911032028469748,0.6526526526526526,1,1,1,1,61
K01507,4,1.8726922203398233,0.6181102362204725,0.5455455455455456,0.053380782918149516,0.6556556556556556,1,1,1,1,62
K00625,4,1.8583589193475145,0.5236220472440944,0.40640640640640646,0.3807829181494662,0.5475475475475475,1,1,1,1,63
K00821,4,1.801357112709986,0.46259842519685035,0.1401401401401401,0.22064056939501775,0.977977977977978,1,1,1,1,64
K10240,4,1.7968669344660604,0.7283464566929134,0.12812812812812813,0.9323843416370107,0.00800800800800805,1,1,1,1,65
K01533,4,1.787202367553756,0.2992125984251969,0.3933933933933934,0.48398576512455516,0.6106106106106106,1,1,1,1,66
K08483,4,1.7761022223781773,0.5334645669291338,0.6416416416416417,0.44483985765124556,0.1561561561561562,1,1,1,1,67
K24950,4,1.7390773377687379,0.08267716535433067,0.5625625625625625,0.30604982206405695,0.7877877877877878,1,1,1,1,68
K03169,4,1.731702938963286,0.7125984251968505,0.40740740740740744,0.23131672597864772,0.38038038038038036,1,1,1,1,69
K07862,4,1.6895616509271343,0.7460629921259843,0.3373373373373373,0.003558718861209953,0.6026026026026026,1,1,1,1,70
K01652,4,1.5841416485838824,0.4114173228346457,0.950950950950951,0.03558718861209964,0.1861861861861862,1,1,1,1,71
K01442,4,1.5373322786176207,0.344488188976378,0.7977977977977978,0.1387900355871886,0.25625625625625625,1,1,1,1,72
K02160,4,1.514381742405953,0.48425196850393704,0.5395395395395395,0.10320284697508897,0.3873873873873874,1,1,1,1,73
K07720,4,1.4371422519557695,0.2578740157480315,0.5955955955955956,0.19928825622775803,0.3843843843843844,1,1,1,1,74
K01962,4,1.3389156522790622,0.40944881889763785,0.4964964964964965,0.1637010676156584,0.2692692692692693,1,1,1,1,75
K02117,4,1.319672216560439,0.297244094488189,0.3213213213213213,0.3487544483985765,0.3523523523523524,1,1,1,1,76
K03639,4,1.2641617224588615,0.7696850393700787,0.13613613613613618,0.16014234875444844,0.19819819819819817,1,1,1,1,77
K02502,4,1.244336407750256,0.29330708661417326,0.012012012012011963,0.2953736654804271,0.6436436436436437,1,1,1,1,78
K10112,4,1.0592646615848342,0.15748031496062997,0.20520520520520524,0.05693950177935947,0.6396396396396397,1,1,1,1,79
K01937,4,1.039128762242221,0.34055118110236215,0.5865865865865866,0.08896797153024916,0.02302302302302306,1,1,1,1,80
K03972,4,0.991282621203881,0.6299212598425197,0.031031031031030998,0.0,0.3303303303303303,1,1,1,1,81
K00048,4,0.9407719920441641,0.34842519685039375,0.07207207207207211,0.2099644128113879,0.3103103103103103,1,1,1,1,82
K02118,4,0.8086016635628538,0.5275590551181102,0.10510510510510507,0.14590747330960852,0.03003003003003002,1,1,1,1,83
K01609,4,0.8077822407270107,0.09842519685039375,0.23423423423423428,0.1708185053380783,0.30430430430430433,1,1,1,1,84
K10542,4,0.739055578401839,0.25393700787401574,0.17517517517517522,0.29893238434163705,0.011011011011010985,1,1,1,1,85
K00602,3,2.9581589463479228,0.9881889763779528,0.980980980980981,0.0,0.988988988988989,1,1,0,1,86
K00262,3,2.924191908443877,0.984251968503937,0.988988988988989,0.0,0.950950950950951,1,1,0,1,87
K03149,3,2.899367871808817,0.9724409448818898,0.967967967967968,0.0,0.958958958958959,1,1,0,1,88
K01193,3,2.8826562783255696,0.8956692913385826,0.98998998998999,0.0,0.996996996996997,1,1,0,1,89
K01733,3,2.875682769383557,0.8937007874015748,0.993993993993994,0.0,0.987987987987988,1,1,0,1,90
K00762,3,2.8706068272997407,0.9566929133858267,0.982982982982983,0.0,0.9309309309309309,1,1,0,1,91
K01738,3,2.8301017552986054,0.9251968503937008,0.996996996996997,0.0,0.9079079079079079,1,1,0,1,92
K00891,3,2.8286652794526814,0.9507874015748031,0.9099099099099099,0.0,0.967967967967968,1,1,0,1,93
K03734,3,2.795795795795796,1.0,0.8848848848848849,0.0,0.9109109109109109,1,1,0,1,94
K02040,3,2.7956992425496363,0.9468503937007874,0.9009009009009009,0.0,0.9479479479479479,1,1,0,1,95
K00286,3,2.7545360320950874,0.7775590551181102,0.978978978978979,0.0,0.997997997997998,1,1,0,1,96
K19302,3,2.7314341900956074,0.9586614173228346,0.8308308308308309,0.0,0.9419419419419419,1,1,0,1,97
K00969,3,2.7243680688562577,0.844488188976378,0.92992992992993,0.0,0.94994994994995,1,1,0,1,98
K00784,3,2.7142496827536196,0.9685039370078741,0.983983983983984,0.0,0.7617617617617618,1,1,0,1,99
K14155,3,2.703723408447818,0.704724409448819,1.0,0.0,0.998998998998999,1,1,0,1,100
K00764,3,2.687821679947664,0.9921259842519685,0.8488488488488488,0.0,0.8468468468468469,1,1,0,1,101
K03152,3,2.6851241004784314,0.9153543307086615,0.7737737737737738,0.0,0.995995995995996,1,1,0,1,102
K03695,3,2.679862933799942,0.7539370078740157,0.9519519519519519,0.0,0.973973973973974,1,1,0,1,103
K01710,3,2.6748914268599306,0.7519685039370079,0.96996996996997,0.0,0.9529529529529529,1,1,0,1,104
K02837,3,2.6684381231625327,0.9547244094488189,0.9359359359359359,0.0,0.7777777777777778,1,1,0,1,105
K01696,3,2.6313754699581473,0.8385826771653544,0.8728728728728729,0.0,0.91991991991992,1,1,0,1,106
K01791,3,2.629198593611405,0.0,0.7967967967967968,0.8754448398576512,0.9569569569569569,0,1,1,1,107
K01950,3,2.623136916444003,0.7933070866141733,0.8958958958958959,0.0,0.933933933933934,1,1,0,1,108
K00950,3,2.620922103205568,0.9822834645669292,0.991991991991992,0.0,0.6466466466466467,1,1,0,1,109
K02115,3,2.6051780126583273,0.9074803149606299,0.8008008008008007,0.0,0.8968968968968969,1,1,0,1,110
K07139,3,2.6023543228267636,0.7204724409448819,0.954954954954955,0.0,0.9269269269269269,1,1,0,1,111
K26937,3,2.5901334405271412,0.8503937007874016,0.9569569569569569,0.0,0.7827827827827828,1,1,0,1,112
K12257,3,2.5897610208633832,0.9311023622047244,0.9219219219219219,0.0,0.7367367367367368,1,1,0,1,113
K03111,3,2.581686016725387,0.9350393700787402,0.994994994994995,0.0,0.6516516516516517,1,1,0,1,114
K07098,3,2.5781923655939405,0.7874015748031495,0.953953953953954,0.0,0.8368368368368369,1,1,0,1,115
K03437,3,2.573551898355048,0.8248031496062992,0.7927927927927928,0.0,0.955955955955956,1,1,0,1,116
