feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K00003,0.001098914734839474,1583.0,0.6426041354113676,0.6426041354113676,0.20758856131866388,5.3597299881364835,5.15214142681782,up,0.007903958921706379
K00012,0.006852059755017802,1507.0,0.43434783171617236,0.43434783171617236,0.15658566321806422,4.946220216633111,4.789634553415047,up,0.026033955848867075
K00013,8.60155333925689e-05,1673.0,0.5142459972825376,0.5142459972825376,0.21210411175791766,4.9144659798623715,4.702361868104454,up,0.0029707110433051837
K00014,0.00816889093121581,1499.0,0.4666851745971945,0.4666851745971945,0.2452863831547898,4.638092273249931,4.392805890095141,up,0.029066556355781124
K00016,0.025587448957836607,1443.0,0.3891506354443771,0.3891506354443771,0.13759581859634284,4.888767968205277,4.7511721496089345,up,0.06145556937194685
K00018,0.0009393048319008929,1589.0,0.5397199309340777,0.5397199309340777,0.19942358550331996,4.76941628724387,4.56999270174055,up,0.007565059873692819
K00027,0.009102779812718686,1494.0,0.37195995067282794,0.37195995067282794,0.1541192314520945,4.862879491745002,4.708760260292907,up,0.03147362171749777
K00031,0.7908264291084358,1176.0,0.16139170521461388,0.16139170521461388,0.021863468909236516,5.372734571196506,5.35087110228727,up,0.8536609527695395
K00046,0.054483488521411355,1401.0,0.3846818207612523,0.3846818207612523,0.2087040094965924,4.1440732694437274,3.935369259947135,up,0.10856339564636783
K00048,0.0010162130226736051,1586.0,0.4993108911856635,0.4993108911856635,0.20185468842429266,4.858951601910998,4.657096913486705,up,0.007751343436270744
K00052,0.0015736452506899456,1569.0,0.4259644681991597,0.4259644681991597,0.1526876298292139,5.0100697898938655,4.857382160064652,up,0.01003105621885297
K00053,0.24141148493039888,1299.0,0.2674817859212522,0.2674817859212522,0.0434939748696177,5.589699663462632,5.546205688593014,up,0.3544742873705093
K00057,0.002985882373054269,1543.0,0.5189290085632112,0.5189290085632112,0.1758726225901226,5.1712988897375505,4.995426267147428,up,0.015154761478332045
K00058,0.037063648874715305,1423.0,0.269275147210218,0.269275147210218,0.16439809459758337,4.342159777645431,4.177761683047848,up,0.08158855603353861
K00059,0.010796166995107747,1486.0,0.5025918994123489,0.5025918994123489,0.12450065208863048,5.852883005510416,5.728382353421786,up,0.03465595371937929
K00067,0.00028092629500860747,1633.0,0.7551656390757835,0.7551656390757835,0.26054455281501276,5.027262836483089,4.766718283668077,up,0.004019636880708267
K00075,0.20244588716783662,1313.0,0.2794970549372545,0.2794970549372545,0.03753190380754656,5.585061296026641,5.5475293922190945,up,0.3101249638277224
K00077,0.0860382584306389,1373.0,0.3461077409104093,0.3461077409104093,0.08132420300189303,5.31241835000493,5.231094147003037,up,0.15616930848746197
K00088,9.841505547602414e-06,1740.0,0.8649075364291406,0.8649075364291406,0.2149078252623351,5.350009214929957,5.135101389667622,up,0.00151648314362862
K00099,0.002072069166508016,1558.0,0.6168275697831989,0.6168275697831989,0.12242724117718762,5.342853242458637,5.220426001281449,up,0.01196108596117288
K00111,0.061289847044753286,1394.0,0.27406988107557767,0.27406988107557767,0.14494677906508802,4.514675300776633,4.369728521711545,up,0.11999249530595803
