feature,p_value,u_stat,cohens_d,cohens_d_raw,mean_diff,ad_mean,control_mean,direction,p_adj
K03734,4.0639224672680086e-05,1697.0,0.9152999333126272,0.9152999333126272,0.1291095135943756,5.719682151187614,5.5905726375932385,up,0.0023870736752372246
K00609,2.270977000872109e-05,1715.0,0.883623401743785,0.883623401743785,0.20632903005954528,5.357674658247618,5.151345628188072,up,0.002036309377448658
K01465,3.463174826424936e-05,1702.0,0.8786450267864743,0.8786450267864743,0.33161096864522577,5.112945342075732,4.781334373430506,up,0.0023870736752372246
K00243,0.0001617702777121964,1652.0,0.8682561880811407,0.8682561880811407,0.2676269113217167,4.9779268392082985,4.710299927886582,up,0.0033997034925453778
K00764,9.71831121973443e-05,1669.0,0.8656402523364488,0.8656402523364488,0.15068401896678107,5.82487453574199,5.674190516775209,up,0.0029707110433051837
K00088,9.841505547602414e-06,1740.0,0.8649075364291406,0.8649075364291406,0.2149078252623351,5.350009214929957,5.135101389667622,up,0.00151648314362862
K00602,6.122607770161969e-05,1684.0,0.8593853826848051,0.8593853826848051,0.13238801174646486,5.6120233875127274,5.479635375766263,up,0.0027387641979573682
K01704,6.516018909638348e-05,1682.0,0.8533941574886215,0.8533941574886215,0.1766059446285766,5.425503603981569,5.248897659352992,up,0.0027387641979573682
K00262,1.4275406397409041e-05,1729.0,0.8436157956423443,0.8436157956423443,0.17391108076624917,5.462704801441204,5.2887937206749545,up,0.0016000351337095966
K00950,0.00012008858282937398,1662.0,0.8424094014467882,0.8424094014467882,0.17854351814883263,5.056011778931262,4.87746826078243,up,0.0031556599548419476
K17828,7.375721254215786e-05,1678.0,0.8340278319060523,0.8340278319060523,0.23080443962466113,5.1972669520695565,4.966462512444895,up,0.0028343843105486377
K03324,0.0005345374049160718,1610.0,0.8216615192466243,0.8216615192466243,0.1288378991800636,6.000433081006153,5.871595181826089,up,0.005705974679461242
K01719,6.721583152165681e-05,1681.0,0.8065585975680308,0.8065585975680308,0.1874190498856274,4.864468535448968,4.677049485563341,up,0.0027395543453523764
K07027,3.7113908766571346e-06,1768.0,0.803761046201072,0.803761046201072,0.23349431820651745,4.727340107340028,4.493845789133511,up,0.00151648314362862
K03149,0.0002577994328329844,1636.0,0.8020640330773942,0.8020640330773942,0.26909651018447533,4.7720653804954605,4.502968870310985,up,0.00394022996773141
K02108,0.00012008858282937398,1662.0,0.7992286019490457,0.7992286019490457,0.23968442691965475,5.543779588599653,5.3040951616799985,up,0.0031556599548419476
K00784,1.1274967610621709e-05,1736.0,0.7987403583894938,0.7987403583894938,0.21510821538505542,5.397887805266981,5.1827795898819256,up,0.00151648314362862
K07484,0.0007011037692427487,1600.0,0.7978760578382297,0.7978760578382297,0.2603398859251431,6.4466140192240005,6.186274133298857,up,0.006548503955774285
K19824,0.0002167996091355737,1642.0,0.7926821334181753,0.7926821334181753,0.09989814083767179,5.492908233673917,5.393010092836245,up,0.0036784536548088173
K03310,0.00019867593544510684,1645.0,0.7916292456491155,0.7916292456491155,0.2808233500889852,6.139220937565547,5.858397587476562,up,0.0036784536548088173
K11527,0.0005801411441006361,1607.0,0.7912878933358439,0.7912878933358439,0.6140116359369143,4.023000736090592,3.4089891001536774,up,0.006002488353975735
K19302,0.00015705789190388777,1653.0,0.7840971348933612,0.7840971348933612,0.20332412681149403,5.112358707301272,4.909034580489778,up,0.0033997034925453778
K00762,7.479411930410132e-06,1748.0,0.7827620044127952,0.7827620044127952,0.16298284125682372,5.210391797974828,5.047408956718004,up,0.00151648314362862
K02837,0.0001313880724692558,1659.0,0.780434096422389,0.780434096422389,0.17280864363893222,5.1971800186300605,5.024371374991128,up,0.0031556599548419476
K02564,0.0002045527639703117,1644.0,0.780204465338561,0.780204465338561,0.16996098336309196,5.500880361832211,5.330919378469119,up,0.0036784536548088173
K00891,9.143842109570473e-05,1671.0,0.776476453303639,0.776476453303639,0.18960618851176125,5.804735513377372,5.6151293248656104,up,0.0029707110433051837
K03547,3.812629346239054e-05,1699.0,0.7735319757135591,0.7735319757135591,0.23096248275756537,5.414080701012643,5.1831182182550775,up,0.0023870736752372246
K02040,0.0004054643979999189,1620.0,0.7726475700196631,0.7726475700196631,0.13248716088422352,6.095374433320017,5.962887272435793,up,0.0048691929938383125
K03147,1.0534979122488048e-05,1738.0,0.7638893892653811,0.7638893892653811,0.3154406384505153,4.823775568474215,4.5083349300236994,up,0.00151648314362862
K01586,2.5019904183785218e-06,1779.0,0.7620653006909063,0.7620653006909063,0.2281584953156095,5.0542868833082615,4.826128387992652,up,0.00151648314362862
K00145,0.00024338665843595913,1638.0,0.757773213241462,0.757773213241462,0.12872397108908729,5.424523631038265,5.295799659949178,up,0.0038064541348414535
K00949,0.0011574609632606166,1581.0,0.7562168971595615,0.7562168971595615,0.15471625952305512,5.206456197954203,5.051739938431147,up,0.008193605239923837
K00067,0.00028092629500860747,1633.0,0.7551656390757835,0.7551656390757835,0.26054455281501276,5.027262836483089,4.766718283668077,up,0.004019636880708267
K03111,0.00010018165411013952,1668.0,0.7550937778247081,0.7550937778247081,0.10640806284378179,6.678671426307564,6.572263363463782,up,0.0029943183284030592
K03453,0.0004658470178907673,1615.0,0.7534883229905015,0.7534883229905015,0.4341533588643198,4.475427842939089,4.041274484074769,up,0.005309866432737983
K12257,0.00028092629500860747,1633.0,0.7516649310501141,0.7516649310501141,0.3039765905867009,4.638721634172918,4.334745043586217,up,0.004019636880708267
K01934,5.5744111741006605e-05,1687.0,0.7515324015338589,0.7515324015338589,0.18096636465427984,5.178205866152407,4.997239501498127,up,0.0026777082247019246
K01633,1.0898978707061908e-05,1737.0,0.7481742680289798,0.7481742680289798,0.25877299346513283,4.630594877992577,4.371821884527444,up,0.00151648314362862
