feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info,rank
s__GGB9524_SGB14924,4,3.9330947609504725,0.9888888888888889,1.0,0.9682539682539683,0.9759519038076152,1,1,1,1,1
s__Holdemania_sp_1001095H_141210_F2,4,3.5268028119731527,0.9666666666666667,0.9779559118236473,0.6984126984126984,0.8837675350701403,1,1,1,1,2
s__Bacteroides_ovatus,4,3.3665839615739417,0.7888888888888889,0.9859719438877755,0.746031746031746,0.845691382765531,1,1,1,1,3
s__Blautia_wexlerae,4,3.3210229983777078,1.0,0.9939879759519038,0.7619047619047619,0.5651302605210421,1,1,1,1,4
s__Bacteroides_finegoldii,4,3.221363361643923,0.6666666666666667,0.9559118236472945,0.8412698412698413,0.7575150300601202,1,1,1,1,5
s__Bifidobacterium_dentium,4,3.102172599166587,0.8888888888888888,0.9659318637274549,0.7142857142857143,0.533066132264529,1,1,1,1,6
s__Streptococcus_mutans,4,2.9288545344657573,0.9777777777777777,0.9839679358717435,0.6825396825396826,0.28456913827655306,1,1,1,1,7
s__Enterocloster_citroniae,4,2.7911282883226773,0.8777777777777778,0.9879759519038076,0.04761904761904767,0.8777555110220441,1,1,1,1,8
s__Prevotella_copri_clade_A,4,2.7244743455164295,0.5666666666666667,0.7294589178356714,0.6507936507936508,0.7775551102204409,1,1,1,1,9
s__Anaerotruncus_massiliensis,4,2.683586220059166,0.5888888888888889,0.8577154308617234,0.3492063492063492,0.8877755511022044,1,1,1,1,10
s__Holdemanella_biformis,4,2.4232242262302384,0.25555555555555554,0.5731462925851704,0.6666666666666667,0.9278557114228457,1,1,1,1,11
s__GGB3433_SGB4573,4,2.0513789483729363,0.6,0.19839679358717432,0.9523809523809523,0.3006012024048096,1,1,1,1,12
s__Enterocloster_bolteae,4,1.9703724910137734,0.9111111111111111,0.7575150300601202,0.2857142857142857,0.01603206412825653,1,1,1,1,13
s__GGB51269_SGB5062,3,2.6752552724496614,0.0,0.9579158316633266,0.8095238095238095,0.9078156312625251,0,1,1,1,14
s__Lacrimispora_saccharolytica,3,2.6717212202182146,0.9222222222222223,0.935871743486974,0.0,0.8136272545090181,1,1,0,1,15
s__Phascolarctobacterium_faecium,3,2.6582689187899606,0.0,0.8336673346693386,0.9047619047619048,0.9198396793587175,0,1,1,1,16
s__Clostridium_SGB6179,3,2.6252505010020037,0.0,0.8937875751503006,1.0,0.7314629258517034,0,1,1,1,17
s__Clostridiales_bacterium,3,2.567834080860133,0.0,0.875751503006012,0.7301587301587302,0.9619238476953907,0,1,1,1,18
s__Flavonifractor_plautii,3,2.567356936094411,0.7777777777777778,0.9599198396793587,0.0,0.8296593186372745,1,1,0,1,19
s__Blautia_hydrogenotrophica,3,2.53874415497662,0.8333333333333334,0.9799599198396793,0.0,0.7254509018036073,1,1,0,1,20
s__Ellagibacter_isourolithinifaciens,3,2.51146737920285,0.5555555555555556,0.9959919839679359,0.0,0.9599198396793587,1,1,0,1,21
s__Isoptericola_variabilis,3,2.5056112224448897,0.7,0.9539078156312625,0.0,0.8517034068136272,1,1,0,1,22
s__GGB9634_SGB15101,3,2.4850144733912267,0.7555555555555555,0.9899799599198397,0.0,0.7394789579158316,1,1,0,1,23
s__Streptococcus_vestibularis,3,2.45437541750167,0.9333333333333333,0.9919839679358717,0.0,0.5290581162324649,1,1,0,1,24
s__GGB4659_SGB6447,3,2.4451569806279227,0.5333333333333333,0.9418837675350702,0.0,0.969939879759519,1,1,0,1,25
s__Enterocloster_aldenensis,3,2.4254063682921396,0.9444444444444444,0.9759519038076152,0.0,0.5050100200400802,1,1,0,1,26
s__Lachnospiraceae_bacterium_AM48_27BH,3,2.422909310684862,0.0,0.8957915831663327,0.7936507936507937,0.7334669338677355,0,1,1,1,27
s__Streptococcus_anginosus,3,2.3924293030505455,0.9555555555555556,0.9338677354709419,0.0,0.503006012024048,1,1,0,1,28
s__Bacteroides_cellulosilyticus,3,2.3885230779018354,0.0,0.969939879759519,0.8253968253968254,0.5931863727454909,0,1,1,1,29
s__GGB9491_SGB14888,3,2.360565575595636,0.8555555555555556,0.8436873747494991,0.0,0.6613226452905812,1,1,0,1,30
s__GGB9412_SGB14770,3,2.3508604510608517,0.0,0.9038076152304609,0.9841269841269842,0.46292585170340683,0,1,1,1,31
s__Veillonella_atypica,3,2.345847250055667,0.6444444444444444,0.7494989979959921,0.0,0.9519038076152304,1,1,0,1,32
s__Ruminococcus_lactaris,3,2.3440849953876004,0.0,0.9719438877755511,0.46031746031746035,0.9118236472945892,0,1,1,1,33
s__Lachnoclostridium_sp_An138,3,2.317212202182142,0.8222222222222222,0.9819639278557114,0.0,0.5130260521042085,1,1,0,1,34
s__Clostridia_bacterium_UC5_1_1D1,3,2.3155867290135825,0.7444444444444445,0.8797595190380761,0.0,0.6913827655310621,1,1,0,1,35
s__Mediterraneibacter_glycyrrhizinilyticus,3,2.296838120685816,0.6555555555555556,0.8717434869739479,0.0,0.7695390781563126,1,1,0,1,36
s__GGB2848_SGB3813,3,2.2034863377548746,0.0,0.8096192384769539,0.4920634920634921,0.9018036072144289,0,1,1,1,37
s__Lactococcus_lactis,3,2.18793141839234,0.0,0.8276553106212425,0.4444444444444444,0.9158316633266533,0,1,1,1,38
s__Veillonella_dispar,3,2.1718993542640836,0.4444444444444444,0.9979959919839679,0.0,0.7294589178356714,1,1,0,1,39
s__Phocaeicola_dorei,3,2.146101727264052,0.0,0.9639278557114228,0.6190476190476191,0.56312625250501,0,1,1,1,40
s__Collinsella_bouchesdurhonensis,3,2.1118013805388554,0.3222222222222222,0.8977955911823647,0.0,0.8917835671342685,1,1,0,1,41
s__GGB9715_SGB15265,3,2.0729395298533575,0.0,0.9498997995991983,0.9206349206349207,0.20240480961923846,0,1,1,1,42
s__GGB4689_SGB6487,3,2.0722778891115565,0.2666666666666667,0.8517034068136272,0.0,0.9539078156312625,1,1,0,1,43
s__Holdemanella_porci,3,2.0722556223558226,0.38888888888888884,0.8557114228456913,0.0,0.8276553106212425,1,1,0,1,44
s__GGB33586_SGB53517,3,2.067512803384547,0.4222222222222223,0.9679358717434869,0.0,0.6773547094188377,1,1,0,1,45
s__GGB42639_SGB59836,3,2.0495880650189267,0.8111111111111111,0.7735470941883767,0.0,0.4649298597194389,1,1,0,1,46
s__GGB3511_SGB4688,3,2.0228011578712985,0.8444444444444444,0.5130260521042085,0.0,0.6653306613226453,1,1,0,1,47
s__GGB3491_SGB4665,3,2.0119604287940964,0.0,0.9298597194388778,0.2063492063492064,0.875751503006012,0,1,1,1,48
s__GGB4604_SGB6371,3,2.0066164074180106,0.0,0.5691382765531062,0.5396825396825398,0.8977955911823647,0,1,1,1,49
s__Alistipes_indistinctus,3,1.986608136908738,0.0,0.9378757515030061,0.9365079365079365,0.11222444889779559,0,1,1,1,50
s__Clostridium_butyricum,3,1.9277443776441774,0.6111111111111112,0.7374749498997997,0.0,0.5791583166332666,1,1,0,1,51
s__GGB9641_SGB15117,3,1.9191080573846104,0.0,0.7955911823647295,0.873015873015873,0.25050100200400804,0,1,1,1,52
s__GGB9614_SGB15049,3,1.9143175239367625,0.3111111111111111,0.9478957915831663,0.0,0.655310621242485,1,1,0,1,53
s__Rothia_mucilaginosa,3,1.8896459585838343,0.7333333333333334,0.1823647294589178,0.0,0.9739478957915831,1,1,0,1,54
s__Dysosmobacter_welbionis,3,1.8533956802493876,0.7111111111111111,0.9178356713426854,0.0,0.22444889779559118,1,1,0,1,55
s__GGB9189_SGB14128,3,1.8468937875751505,0.4,0.8076152304609219,0.0,0.6392785571142284,1,1,0,1,56
s__Mediterraneibacter_massiliensis,3,1.8415561281292745,0.0,0.687374749498998,0.4126984126984127,0.7414829659318638,0,1,1,1,57
s__Blautia_schinkii,3,1.8407704297483858,0.011111111111111072,0.9198396793587175,0.0,0.9098196392785571,1,1,0,1,58
s__GGB1266_SGB1699,3,1.8366956134491204,0.37777777777777777,0.7555110220440882,0.0,0.7034068136272544,1,1,0,1,59
s__Neglectibacter_timonensis,3,1.8265737824856059,0.0,0.5571142284569138,0.5079365079365079,0.7615230460921844,0,1,1,1,60
s__Intestinibacter_bartlettii,3,1.7826764640391892,0.0,0.7775551102204409,0.8888888888888888,0.11623246492985972,0,1,1,1,61
s__Clostridium_sp_AT4,3,1.7726786907147627,0.7666666666666666,0.4308617234468938,0.0,0.5751503006012024,1,1,0,1,62
s__GGB3538_SGB4728,3,1.7360944110443106,0.5777777777777777,0.8837675350701403,0.0,0.27454909819639284,1,1,0,1,63
s__Enterocloster_clostridioformis,3,1.7303941215764862,0.8666666666666667,0.21643286573146292,0.0,0.6472945891783567,1,1,0,1,64
