feature,coefficient,abs_coefficient
s__Clostridium_SGB6179,-0.21794757958128377,0.21794757958128377
s__GGB9412_SGB14770,-0.19589359778349574,0.19589359778349574
s__GGB9524_SGB14924,-0.1709761138230457,0.1709761138230457
s__GGB3433_SGB4573,0.16541361886232248,0.16541361886232248
s__Alistipes_indistinctus,-0.14663088016683629,0.14663088016683629
s__GGB9715_SGB15265,0.1430518659215391,0.1430518659215391
s__Phascolarctobacterium_faecium,-0.14095771977654617,0.14095771977654617
s__Intestinibacter_bartlettii,-0.127021781699137,0.127021781699137
s__GGB9641_SGB15117,-0.12015104254750122,0.12015104254750122
s__GGB9712_SGB15244,0.11770073864987847,0.11770073864987847
s__Bacteroides_finegoldii,0.11746594051786596,0.11746594051786596
s__Bacteroides_cellulosilyticus,-0.11590589512983099,0.11590589512983099
s__GGB51269_SGB5062,-0.11479171766077699,0.11479171766077699
s__Lachnospiraceae_bacterium_AM48_27BH,-0.10866933091628482,0.10866933091628482
s__GGB3653_SGB4964,-0.09326730480994565,0.09326730480994565
s__Blautia_wexlerae,0.08677707942818345,0.08677707942818345
s__Bacteroides_ovatus,0.08545537057447482,0.08545537057447482
s__Clostridiales_bacterium,0.08499497528061468,0.08499497528061468
s__Bifidobacterium_dentium,0.0766938020689095,0.0766938020689095
s__Holdemania_sp_1001095H_141210_F2,0.06821253998752888,0.06821253998752888
s__Streptococcus_mutans,0.06706386638123304,0.06706386638123304
s__Holdemanella_biformis,0.06701008206868489,0.06701008206868489
s__Prevotella_copri_clade_A,0.06346262746365265,0.06346262746365265
s__GGB2653_SGB3574,-0.06225972010316021,0.06225972010316021
s__Phocaeicola_dorei,-0.06138716874850268,0.06138716874850268
s__Eubacterium_sp_AF16_48,0.059235875082539934,0.059235875082539934
s__Blautia_sp_MSK_20_85,0.05315891014922698,0.05315891014922698
s__GGB9627_SGB15081,0.049212095174707524,0.049212095174707524
s__Clostridium_SGB4909,-0.04845328279967482,0.04845328279967482
s__GGB4604_SGB6371,-0.04786708557967601,0.04786708557967601
s__GGB3619_SGB4894,-0.04751838266922916,0.04751838266922916
s__Neglectibacter_timonensis,-0.04645645274086926,0.04645645274086926
s__GGB2848_SGB3813,-0.0446223137442912,0.0446223137442912
s__Pseudoflavonifractor_capillosus,-0.04323969990825395,0.04323969990825395
s__Ruminococcus_lactaris,-0.042514315669587535,0.042514315669587535
s__Lactococcus_lactis,-0.042199273798343304,0.042199273798343304
s__Clostridium_sp_1001270J_160509_D11,-0.04148030746569906,0.04148030746569906
s__Mediterraneibacter_massiliensis,-0.040065910399528025,0.040065910399528025
s__GGB4597_SGB6359,-0.03750079825719649,0.03750079825719649
s__Escherichia_coli,-0.03500955712408026,0.03500955712408026
s__Lachnotalea_sp_AF33_28,0.03338234973511467,0.03338234973511467
s__Anaerotruncus_massiliensis,0.03140015999805638,0.03140015999805638
s__GGB3256_SGB4303,-0.03123927611527121,0.03123927611527121
s__GGB4683_SGB6473,-0.027356644941790482,0.027356644941790482
s__GGB4604_SGB6370,-0.024047406365200287,0.024047406365200287
s__Enterocloster_bolteae,0.023475685167061465,0.023475685167061465
s__Clostridium_sp_AF34_10BH,0.021653520833970794,0.021653520833970794
s__Alistipes_finegoldii,-0.020799710165097376,0.020799710165097376
s__Lachnospira_eligens,-0.02007837430833719,0.02007837430833719
s__Eubacteriaceae_bacterium,-0.018761687340497383,0.018761687340497383
s__GGB3491_SGB4665,-0.017738542820130872,0.017738542820130872
s__Clostridium_sp_AM49_4BH,0.011955535590211088,0.011955535590211088
s__Mediterraneibacter_butyricigenes,-0.011857018501035804,0.011857018501035804
s__Blautia_luti,-0.011156713607045409,0.011156713607045409
s__GGB9636_SGB15107,0.00897973479580921,0.00897973479580921
s__Traorella_massiliensis,-0.008821924255408842,0.008821924255408842
s__Anaerobutyricum_soehngenii,0.008621921563559516,0.008621921563559516
s__GGB4569_SGB6310,-0.006767631122531725,0.006767631122531725
s__Adlercreutzia_equolifaciens,-0.006229913668135773,0.006229913668135773
s__Clostridium_sp_AF27_2AA,-0.00468189224636391,0.00468189224636391
s__Enterocloster_citroniae,0.0034838792633271895,0.0034838792633271895
s__Parasutterella_excrementihominis,-0.0012814832972787497,0.0012814832972787497
s__GGB3005_SGB3996,-0.001138078309984211,0.001138078309984211
s__Faecalibacillus_intestinalis,-0.00012862750535802306,0.00012862750535802306
