feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
s__GGB9524_SGB14924,4,3.9330947609504725,0.9888888888888889,1.0,0.9682539682539683,0.9759519038076152,1,1,1,1
s__Holdemania_sp_1001095H_141210_F2,4,3.5268028119731527,0.9666666666666667,0.9779559118236473,0.6984126984126984,0.8837675350701403,1,1,1,1
s__Bacteroides_ovatus,4,3.3665839615739417,0.7888888888888889,0.9859719438877755,0.746031746031746,0.845691382765531,1,1,1,1
s__Blautia_wexlerae,4,3.3210229983777078,1.0,0.9939879759519038,0.7619047619047619,0.5651302605210421,1,1,1,1
s__Bacteroides_finegoldii,4,3.221363361643923,0.6666666666666667,0.9559118236472945,0.8412698412698413,0.7575150300601202,1,1,1,1
s__Bifidobacterium_dentium,4,3.102172599166587,0.8888888888888888,0.9659318637274549,0.7142857142857143,0.533066132264529,1,1,1,1
s__Streptococcus_mutans,4,2.9288545344657573,0.9777777777777777,0.9839679358717435,0.6825396825396826,0.28456913827655306,1,1,1,1
s__Enterocloster_citroniae,4,2.7911282883226773,0.8777777777777778,0.9879759519038076,0.04761904761904767,0.8777555110220441,1,1,1,1
s__Prevotella_copri_clade_A,4,2.7244743455164295,0.5666666666666667,0.7294589178356714,0.6507936507936508,0.7775551102204409,1,1,1,1
s__Anaerotruncus_massiliensis,4,2.683586220059166,0.5888888888888889,0.8577154308617234,0.3492063492063492,0.8877755511022044,1,1,1,1
s__Holdemanella_biformis,4,2.4232242262302384,0.25555555555555554,0.5731462925851704,0.6666666666666667,0.9278557114228457,1,1,1,1
s__GGB3433_SGB4573,4,2.0513789483729363,0.6,0.19839679358717432,0.9523809523809523,0.3006012024048096,1,1,1,1
s__Enterocloster_bolteae,4,1.9703724910137734,0.9111111111111111,0.7575150300601202,0.2857142857142857,0.01603206412825653,1,1,1,1
s__GGB51269_SGB5062,3,2.6752552724496614,0.0,0.9579158316633266,0.8095238095238095,0.9078156312625251,0,1,1,1
s__Lacrimispora_saccharolytica,3,2.6717212202182146,0.9222222222222223,0.935871743486974,0.0,0.8136272545090181,1,1,0,1
s__Phascolarctobacterium_faecium,3,2.6582689187899606,0.0,0.8336673346693386,0.9047619047619048,0.9198396793587175,0,1,1,1
s__Clostridium_SGB6179,3,2.6252505010020037,0.0,0.8937875751503006,1.0,0.7314629258517034,0,1,1,1
s__Clostridiales_bacterium,3,2.567834080860133,0.0,0.875751503006012,0.7301587301587302,0.9619238476953907,0,1,1,1
s__Flavonifractor_plautii,3,2.567356936094411,0.7777777777777778,0.9599198396793587,0.0,0.8296593186372745,1,1,0,1
s__Blautia_hydrogenotrophica,3,2.53874415497662,0.8333333333333334,0.9799599198396793,0.0,0.7254509018036073,1,1,0,1
