feature,p_value,u_stat,cohens_d,cohens_d_raw,log2_fc,ad_mean,control_mean,direction,p_adj
s__Blautia_wexlerae,0.0002890577322703799,1632.0,0.7786890630361538,0.7786890630361538,0.2321467325182125,6.5739586348670525,5.596852184957132,up,0.012896421901293873
s__GGB9524_SGB14924,0.0010162130226736051,693.0,0.7671941485956616,-0.7671941485956616,-1.134654034410885,1.1725122614622758,2.5744371396631873,down,0.02562624144133439
s__Streptococcus_mutans,3.692584052332447e-05,1700.0,0.7200837000396723,0.7200837000396723,0.0,-1.7743675197570947,-3.4412569999473153,up,0.00953894142337834
s__Holdemania_sp_1001095H_141210_F2,9.143842109570473e-05,1671.0,0.7097510776200906,0.7097510776200906,0.0,-0.5793647756378373,-1.6893026484749498,up,0.00953894142337834
s__Streptococcus_anginosus,0.00022317809140424814,1641.0,0.697821932768735,0.697821932768735,0.0,-1.881954008525194,-2.7235208266785405,up,0.011763688491071358
s__Enterocloster_aldenensis,0.0001480180565696639,1655.0,0.6874891882684783,0.6874891882684783,0.0,-1.0889599701949861,-2.120943810558801,up,0.00953894142337834
s__Streptococcus_vestibularis,5.2351397123128965e-05,1689.0,0.6861535939496208,0.6861535939496208,0.0,0.20438711896174314,-0.9966322492890627,up,0.00953894142337834
s__Lacrimispora_saccharolytica,0.0001480180565696639,1655.0,0.6859691147746098,0.6859691147746098,0.0,-0.8018116270148593,-1.7159388454663285,up,0.00953894142337834
s__Enterocloster_bolteae,0.0007011037692427487,1600.0,0.6543119130943988,0.6543119130943988,0.0,-0.1377531123447301,-1.7044339331290153,up,0.021127985934686493
s__Mediterraneibacter_SGB48424,0.001784653121254149,1564.0,0.6386460075538565,0.6386460075538565,0.0,-1.1167061845268162,-2.0738900699987233,up,0.029574251723640182
s__Bifidobacterium_dentium,0.00024338665843595913,1638.0,0.632282740724869,0.632282740724869,0.0,-1.5228401115799257,-2.668286978481616,up,0.011763688491071358
s__Enterocloster_citroniae,0.0001480180565696639,1655.0,0.6281076046887554,0.6281076046887554,0.0,-2.3449418130539197,-3.498945551451166,up,0.00953894142337834
s__Enterocloster_clostridioformis,0.0012188783864143383,1579.0,0.6228916821298176,0.6228916821298176,0.0,-1.1480640587255957,-2.210105566459846,up,0.02696655307055682
s__GGB9491_SGB14888,0.003611444720982482,1535.0,0.606380055778159,0.606380055778159,0.0,-0.40849629204222837,-1.2468727331850837,up,0.034338326855243274
s__GGB3511_SGB4688,0.0007597856126408055,1597.0,0.6008972349103152,0.6008972349103152,0.0,-1.4500794563870647,-2.327508755902415,up,0.021127985934686493
s__Blautia_hydrogenotrophica,0.00038342528480441005,1622.0,0.5925555105914904,0.5925555105914904,0.0,-1.0304190157083326,-2.2641028877745177,up,0.015884761799039845
s__Lachnoclostridium_sp_An138,0.00012008858282937398,1662.0,0.5849530475586797,0.5849530475586797,0.0,-1.9214802386078764,-2.5319633782090936,up,0.00953894142337834
s__GGB42639_SGB59836,0.0005961644673633037,1606.0,0.5846706517887904,0.5846706517887904,0.0,-2.988262724337891,-3.8083706755035056,up,0.02089953667518775
s__Blautia_producta,0.002985882373054269,1543.0,0.5740581564003129,0.5740581564003129,0.0,-0.06218184313284564,-1.0134333909712252,up,0.031487486843117744
s__Bacteroides_ovatus,0.004254184884651849,1528.0,0.5690467882556025,0.5690467882556025,0.7254153894712143,2.9324869747673565,1.7736352038029854,up,0.03855355051715738
s__Flavonifractor_plautii,0.00320785557370164,1540.0,0.5655373242236444,0.5655373242236444,0.0,0.04741804981004805,-1.3136263777128683,up,0.03264133741661318
s__Clostridium_sp_AT4,0.0015343038816006468,1570.0,0.547736794382833,0.547736794382833,0.0,0.505259789010707,-0.2678544624289639,up,0.02696655307055682
