feature,mi_score
s__Negativibacillus_massiliensis,0.17199948395347198
s__Oscillospiraceae_unclassified_SGB4196,0.16187471181728363
s__Coprococcus_comes,0.15850747720004876
s__Clostridium_sp_AF20_17LB,0.15827359649741823
s__GGB9677_SGB53522,0.1560552419353134
s__GGB9758_SGB15368,0.15570609744554398
s__Ruminococcus_sp_BSD2780120874_150323_B10,0.15250962667094847
s__Clostridium_saudiense,0.15121069412201593
s__Dysosmobacter_sp_BX15,0.1454358844409558
s__Eubacterium_sp_AF34_35BH,0.14403822249641918
s__GGB4599_SGB6362,0.14388040866673024
s__Butyrivibrio_crossotus,0.13991730001612135
s__GGB9524_SGB14924,0.13599678051655784
s__Rothia_mucilaginosa,0.1347039369902585
s__Alistipes_putredinis,0.13414364233529485
s__GGB4659_SGB6447,0.13053982642618656
s__GGB3118_SGB4130,0.13050871092003247
s__Traorella_massiliensis,0.12855240730327044
s__Clostridium_sp_NSJ_42,0.12564011308268475
s__Clostridiales_bacterium,0.12436512938582611
s__Ellagibacter_isourolithinifaciens,0.1238080021162371
s__GGB9253_SGB14199,0.12303129250511402
s__GGB9302_SGB14263,0.12226138821958465
s__GGB4689_SGB6487,0.1213656795573319
s__Veillonella_atypica,0.1212014629868654
s__GGB4689_SGB6486,0.12106396006903153
s__Bacteroides_xylanisolvens,0.11935862989403234
s__Blautia_stercoris,0.11854735052117205
s__Eubacterium_ramulus,0.11680911587247844
s__Butyricimonas_faecihominis,0.11491616842032082
s__Candidatus_Gastranaerophilales_bacterium,0.11480456552838691
s__Clostridium_fessum,0.11469032791414979
s__GGB2970_SGB3952,0.1131745693671411
s__GGB2983_SGB3965,0.11176569178638851
s__GGB9619_SGB15066,0.11130092218099352
s__GGB4605_SGB6376,0.10993593878476049
s__Holdemanella_biformis,0.10955890080976394
s__GGB6613_SGB9347,0.10908453324585454
s__GGB9762_SGB15377,0.10881272750529924
s__Roseburia_sp_BX1005,0.10808524318406465
s__Phascolarctobacterium_faecium,0.10620119993972765
s__GGB3277_SGB4327,0.10561268680525826
s__Lactococcus_lactis,0.10526135989143137
s__Clostridium_sp_AF36_4,0.10404053210810349
s__Ruminococcus_lactaris,0.10275013867745963
s__Blautia_schinkii,0.10131122590912822
s__GGB51269_SGB5062,0.10050850771694608
s__Dorea_formicigenerans,0.10039323172955994
s__GGB3486_SGB4658,0.10013142038649181
s__GGB2848_SGB3813,0.09923273862843507
s__Alistipes_sp_AF17_16,0.09918682315222749
s__GGB4604_SGB6371,0.09878297138179293
s__Lachnospiraceae_bacterium_OM04_12BH,0.09844051869559034
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.0977175148475864
s__Collinsella_bouchesdurhonensis,0.09723399526939747
s__GGB3175_SGB4191,0.09689117105249268
s__Anaerotruncus_massiliensis,0.09631629317982049
s__Clostridium_sp_1001270H_150608_G6,0.0962108575275098
s__Holdemania_sp_1001095H_141210_F2,0.09461978792173431
s__GGB3815_SGB5180,0.09449304834186978
s__Coprococcus_eutactus,0.09407092995100141
s__Enterocloster_citroniae,0.09400659174917037
s__GGB3491_SGB4665,0.09384309066066221
s__Clostridiaceae_unclassified_SGB4771,0.09358729899862062
s__GGB52130_SGB14966,0.09336483627615766
s__Anaerotruncus_colihominis,0.0931517547151175
s__GGB9237_SGB14179,0.09251695730327891
s__GGB9444_SGB14834,0.0920645451321167
s__GGB4567_SGB6308,0.09204290878235555
s__GGB58485_SGB80143,0.0919677090977804
s__GGB3654_SGB4965,0.09175613066324351
s__Parabacteroides_distasonis,0.0914075054125767
s__Clostridium_SGB6173,0.09100225383545046
s__GGB4604_SGB6369,0.0909504393305105
s__Isoptericola_variabilis,0.09060090567989354
s__Sutterella_wadsworthensis,0.09008512987145134
s__Turicibacter_sanguinis,0.0891909430397646
s__Bacteroides_ovatus,0.08897174672681829
s__Lachnospira_eligens,0.08887473725480866
s__GGB2996_SGB3983,0.08761216880474043
s__Candidatus_Pseudobutyricicoccus_lothianensis,0.0872007746433463
s__GGB9534_SGB14937,0.08712906519059005
s__GGB9347_SGB14313,0.08668021699358008
s__Oscillospiraceae_bacterium_BX1,0.08514787962170112
s__GGB9787_SGB15410,0.08503612794744941
s__Flavonifractor_plautii,0.08474027218284363
s__Holdemanella_porci,0.08470859090116245
s__Clostridium_sp_AM33_3,0.08383749593539869
s__Ruminococcus_bovis,0.08379969077351235
s__GGB4578_SGB6328,0.08341101694733832
s__Eubacterium_SGB4961,0.08326206289213434
s__GGB9696_SGB15212,0.08324879491011639
s__Dialister_invisus,0.08315709081420364
s__Lacrimispora_saccharolytica,0.08314762293394451
s__GGB3351_SGB4434,0.0831310264789289
s__GGB9616_SGB15051,0.08271371078128231
s__GGB9291_SGB14248,0.08244337926095091
s__GGB3189_SGB4212,0.08159197372204519
s__GGB4642_SGB6422,0.08141453422934819
s__GGB4768_SGB6601,0.08126852691422348
s__GGB9551_SGB14958,0.08025467829008082
s__GGB9710_SGB15239,0.07966158351040487
s__Ruminococcus_SGB4421,0.07965733428740607
s__GGB9778_SGB15398,0.07933578084085213
s__Paraprevotella_clara,0.07894961761001995
s__GGB3287_SGB4341,0.07886601044920694
s__Phocaeicola_massiliensis,0.07876782177105524
s__GGB74665_SGB13972,0.07822413207295353
s__GGB1627_SGB2230,0.07800476232233389
s__GGB9537_SGB14940,0.07790104659361807
s__Butyricimonas_virosa,0.07782348679638895
s__Prevotella_copri_clade_A,0.07751662199044307
