feature,importance
s__GGB9524_SGB14924,0.01603842734642099
s__Veillonella_dispar,0.011517262217623888
s__Ellagibacter_isourolithinifaciens,0.010522733339054796
s__Blautia_wexlerae,0.009705669033191939
s__Streptococcus_vestibularis,0.009472079152499238
s__GGB9634_SGB15101,0.009439635773692147
s__Enterocloster_citroniae,0.009105943685245137
s__Bacteroides_ovatus,0.007959663321612109
s__Streptococcus_mutans,0.007874153219120711
s__Lachnoclostridium_sp_An138,0.007809386602123427
s__Blautia_hydrogenotrophica,0.007667368479577825
s__Holdemania_sp_1001095H_141210_F2,0.007438089262302642
s__Enterocloster_aldenensis,0.007087443991148387
s__Negativibacillus_massiliensis,0.0068641782322884344
s__Ruminococcus_lactaris,0.0064178635653614775
s__Bacteroides_cellulosilyticus,0.006351119465408743
s__GGB33586_SGB53517,0.006184944664681833
s__Bifidobacterium_dentium,0.005752197139185475
s__Phocaeicola_dorei,0.005510329451330612
s__Alistipes_shahii,0.005214449775227943
s__Flavonifractor_plautii,0.005118190586985668
s__GGB51269_SGB5062,0.004972545297228551
s__Bacteroides_finegoldii,0.00494938165753182
s__Isoptericola_variabilis,0.004820783769422953
s__Faecalibacillus_intestinalis,0.0047959737008496026
s__GGB9715_SGB15265,0.004780287816505365
s__GGB9614_SGB15049,0.004740460068424176
s__Lachnospira_sp_NSJ_43,0.004640430836635262
s__Streptococcus_parasanguinis,0.004610789652381217
s__GGB4659_SGB6447,0.004560833046856949
s__Bifidobacterium_longum,0.0045029582090796135
s__Alistipes_indistinctus,0.004494287669710878
s__Lacrimispora_saccharolytica,0.004354659384641649
s__Streptococcus_anginosus,0.0042848149169958435
s__GGB9758_SGB15368,0.004263073999353827
s__GGB3491_SGB4665,0.004260875234212969
s__Dysosmobacter_sp_BX15,0.003941071649049492
s__GGB3478_SGB4643,0.003897410525862045
s__GGB9621_SGB15073,0.003839863560921594
s__GGB34228_SGB53814,0.0037971958155441133
s__Blautia_schinkii,0.0037969358803051057
s__Dysosmobacter_welbionis,0.0037864092509259264
s__Leuconostoc_mesenteroides,0.0037314138662697845
s__Mediterraneibacter_butyricigenes,0.003726307519126288
s__GGB33469_SGB15236,0.003711913459629519
