feature,coefficient,abs_coefficient
K05795,0.4812058992702142,0.4812058992702142
K07452,0.3865979835491074,0.3865979835491074
K03286,0.33289600327655766,0.33289600327655766
K10240,0.3057809087490067,0.3057809087490067
K00852,0.301839058897516,0.301839058897516
K05878,0.29727178914466396,0.29727178914466396
K15255,0.2860553204118138,0.2860553204118138
K12678,-0.275745764826635,0.275745764826635
K01318,-0.2752628607867914,0.2752628607867914
K07494,-0.27159008830096754,0.27159008830096754
K06079,-0.2681708152165115,0.2681708152165115
K03543,0.2677694529503642,0.2677694529503642
K14699,-0.24784965049731142,0.24784965049731142
K18320,-0.24530109597859454,0.24530109597859454
K07467,-0.2374049372855126,0.2374049372855126
K14698,-0.23314112974131238,0.23314112974131238
K07000,0.20840442721493288,0.20840442721493288
K07780,-0.20768072191855846,0.20768072191855846
K15519,-0.20603942940423547,0.20603942940423547
K01185,-0.2027196511951902,0.2027196511951902
K23775,-0.20247203248463452,0.20247203248463452
K07488,0.1979346986438554,0.1979346986438554
K07484,0.19224062065301428,0.19224062065301428
K01406,-0.19172108095840143,0.19172108095840143
K03465,-0.18023535036435198,0.18023535036435198
K07498,-0.17865880918900404,0.17865880918900404
K07480,0.1780221802504276,0.1780221802504276
K07451,0.1764532166051215,0.1764532166051215
K04651,-0.1740635602538796,0.1740635602538796
K23396,0.17301745953464448,0.17301745953464448
K06221,-0.15917201642017004,0.15917201642017004
K16213,0.15721062546825934,0.15721062546825934
K20836,0.15481870008408116,0.15481870008408116
K17108,-0.14842223890982675,0.14842223890982675
K07027,0.1482952708101515,0.1482952708101515
K06207,-0.14398118661112827,0.14398118661112827
K02346,0.1422290376699427,0.1422290376699427
K21745,-0.14128068075636274,0.14128068075636274
K18918,0.13989052232960963,0.13989052232960963
K22093,-0.1379147450271094,0.1379147450271094
K01992,-0.13390791842657282,0.13390791842657282
K02781,0.13033434303623637,0.13033434303623637
K23981,0.12748275025714922,0.12748275025714922
K02760,-0.12546485213536254,0.12546485213536254
K16964,0.12357505967915323,0.12357505967915323
K03307,0.12294101958394545,0.12294101958394545
K16214,0.12210266512713293,0.12210266512713293
K01173,-0.1216346283020384,0.1216346283020384
K10542,0.12002016740285287,0.12002016740285287
K03585,-0.11922802823557452,0.11922802823557452
K05366,0.11689155740526046,0.11689155740526046
K01206,-0.1154929635854375,0.1154929635854375
K02793,0.11520136496299963,0.11520136496299963
K16692,-0.11507277929817215,0.11507277929817215
K18220,0.11499952443887419,0.11499952443887419
K19271,-0.11387655062637728,0.11387655062637728
K07322,0.11384803497506904,0.11384803497506904
K09607,0.11369335062906276,0.11369335062906276
K15580,-0.11323201626360047,0.11323201626360047
K03284,-0.10686066413748171,0.10686066413748171
K19158,0.1060246233892055,0.1060246233892055
K07706,0.10508728286054984,0.10508728286054984
K09955,-0.10264409298547625,0.10264409298547625
K02821,-0.10204107694480069,0.10204107694480069
K03722,-0.10006113541021437,0.10006113541021437
K07085,-0.10001195708534251,0.10001195708534251
K23102,0.0978653036271149,0.0978653036271149
K13735,0.09215904605497105,0.09215904605497105
K19310,-0.09062849981073744,0.09062849981073744
K23397,0.08881034532120612,0.08881034532120612
K07487,0.08805012777714608,0.08805012777714608
K06320,-0.08708040702930729,0.08708040702930729
K01218,0.08408694493751973,0.08408694493751973
K01465,0.08347903488295429,0.08347903488295429
K23536,-0.08324819449830756,0.08324819449830756
K06132,-0.08233629846619513,0.08233629846619513
K02117,0.08205856800247614,0.08205856800247614
K01811,0.08131556826009362,0.08131556826009362
K00426,-0.08024327860531463,0.08024327860531463
K03972,0.07932008515446175,0.07932008515446175
K08217,0.07888784561803817,0.07888784561803817
K06972,0.07886578876514731,0.07886578876514731
