feature,n_methods,score,mw_rank_score,rf_rank_score,elastic_net_rank_score,mi_rank_score,in_mann_whitney,in_random_forest,in_elastic_net,in_mutual_info
K07027,4,3.7826662267180526,0.9488536155202822,0.993993993993994,0.8798586572438163,0.95995995995996,1,1,1,1
K05795,4,3.744601744601745,0.9417989417989419,0.8958958958958959,1.0,0.9069069069069069,1,1,1,1
K07484,4,3.6896479181520405,0.9435626102292769,0.994994994994995,0.9222614840989399,0.8288288288288288,1,1,1,1
K05366,4,3.5056229037383337,0.8694885361552028,0.938938938938939,0.823321554770318,0.8738738738738738,1,1,1,1
K22522,4,3.464330391303301,0.9347442680776015,0.996996996996997,0.6537102473498233,0.8788788788788788,1,1,1,1
K02346,4,3.4446014245778676,0.8871252204585538,0.97997997997998,0.872791519434629,0.7047047047047047,1,1,1,1
K00852,4,3.4341711726870736,0.7566137566137566,0.973973973973974,0.9858657243816255,0.7177177177177176,1,1,1,1
K07452,4,3.336330104292413,0.8924162257495591,0.988988988988989,0.9964664310954063,0.45845845845845845,1,1,1,1
K01955,4,3.316741779639306,0.8042328042328042,0.9719719719719719,0.646643109540636,0.8938938938938938,1,1,1,1
K01658,4,3.3013198289994525,0.9294532627865961,0.98998998998999,0.46996466431095407,0.9119119119119119,1,1,1,1
K00609,4,3.2885018621178808,0.998236331569665,0.964964964964965,0.5265017667844523,0.7987987987987988,1,1,1,1
K01703,4,3.259053433376166,0.9453262786596119,0.986986986986987,0.34275618374558303,0.983983983983984,1,1,1,1
K01465,4,3.2574219853371797,0.9788359788359788,0.6706706706706707,0.7420494699646643,0.8658658658658659,1,1,1,1
K15255,4,3.2561711972783822,0.5696649029982364,0.7227227227227226,0.9787985865724381,0.984984984984985,1,1,1,1
K12410,4,3.2344995171850295,0.8518518518518519,0.8828828828828829,0.5017667844522968,0.997997997997998,1,1,1,1
K02283,4,3.1354344416770803,0.9276895943562611,0.6566566566566567,0.7102473498233215,0.8408408408408409,1,1,1,1
